geoid,name,total,native,foreign_born,county,county subdivision,state
1000391924,"Lower Christiana CCD, New Castle County, Delaware",35936.0,31900.0,4036.0,003,91924,10
1000392960,"Piedmont CCD, New Castle County, Delaware",29131.0,25429.0,3702.0,003,92960,10
1000393996,"Wilmington CCD, New Castle County, Delaware",71276.0,67099.0,4177.0,003,93996,10
1000393256,"Red Lion CCD, New Castle County, Delaware",10053.0,9181.0,872.0,003,93256,10
1000393848,"Upper Christiana CCD, New Castle County, Delaware",27480.0,22704.0,4776.0,003,93848,10
1000390148,"Brandywine CCD, New Castle County, Delaware",80434.0,72601.0,7833.0,003,90148,10
1000392072,"Middletown-Odessa CCD, New Castle County, Delaware",57275.0,54588.0,2687.0,003,92072,10
1000393108,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",43026.0,37616.0,5410.0,003,93108,10
1000591628,"Laurel-Delmar CCD, Sussex County, Delaware",22650.0,21431.0,1219.0,005,91628,10
1000592664,"Milton CCD, Sussex County, Delaware",17621.0,16579.0,1042.0,005,92664,10
1000392812,"New Castle CCD, New Castle County, Delaware",89089.0,76693.0,12396.0,003,92812,10
1000590296,"Bridgeville-Greenwood CCD, Sussex County, Delaware",13618.0,12483.0,1135.0,005,90296,10
1000591776,"Lewes CCD, Sussex County, Delaware",33376.0,31685.0,1691.0,005,91776,10
1000592516,"Millsboro CCD, Sussex County, Delaware",29310.0,27819.0,1491.0,005,92516,10
1000593404,"Seaford CCD, Sussex County, Delaware",26282.0,23677.0,2605.0,005,93404,10
1000592368,"Milford South CCD, Sussex County, Delaware",22870.0,21182.0,1688.0,005,92368,10
1000591036,"Georgetown CCD, Sussex County, Delaware",15729.0,13286.0,2443.0,005,91036,10
1000191480,"Kenton CCD, Kent County, Delaware",6849.0,6717.0,132.0,001,91480,10
1000192220,"Milford North CCD, Kent County, Delaware",11295.0,10355.0,940.0,001,92220,10
1000191332,"Harrington CCD, Kent County, Delaware",13009.0,12764.0,245.0,001,91332,10
1000190888,"Felton CCD, Kent County, Delaware",6877.0,6754.0,123.0,001,90888,10
1000190740,"Dover CCD, Kent County, Delaware",80031.0,74249.0,5782.0,001,90740,10
1000190444,"Central Kent CCD, Kent County, Delaware",28252.0,27159.0,1093.0,001,90444,10
1000193700,"Smyrna CCD, Kent County, Delaware",26832.0,24774.0,2058.0,001,93700,10
1000392738,"Newark CCD, New Castle County, Delaware",69782.0,61270.0,8512.0,003,92738,10
1000391110,"Glasgow CCD, New Castle County, Delaware",41554.0,35861.0,5693.0,003,91110,10
1000593552,"Selbyville-Frankford CCD, Sussex County, Delaware",34095.0,31848.0,2247.0,005,93552,10
