geoid,name,total,county,county subdivision,state
090038490,"Bristol town, Hartford County, Connecticut",60498.0,003,8490,09
0900327600,"Farmington town, Hartford County, Connecticut",25596.0,003,27600,09
0900370550,"Southington town, Hartford County, Connecticut",43817.0,003,70550,09
0900322070,"East Granby town, Hartford County, Connecticut",5220.0,003,22070,09
090032060,"Avon town, Hartford County, Connecticut",18381.0,003,2060,09
0900384900,"Wethersfield town, Hartford County, Connecticut",26395.0,003,84900,09
090034300,"Berlin town, Hartford County, Connecticut",20584.0,003,4300,09
0900310100,"Burlington town, Hartford County, Connecticut",9598.0,003,10100,09
0900332640,"Granby town, Hartford County, Connecticut",11323.0,003,32640,09
0900337140,"Hartland town, Hartford County, Connecticut",2083.0,003,37140,09
0900322630,"East Hartford town, Hartford County, Connecticut",50812.0,003,22630,09
0900337070,"Hartford town, Hartford County, Connecticut",124390.0,003,37070,09
0900344700,"Manchester town, Hartford County, Connecticut",58172.0,003,44700,09
090035910,"Bloomfield town, Hartford County, Connecticut",20848.0,003,5910,09
0900331240,"Glastonbury town, Hartford County, Connecticut",34688.0,003,31240,09
0900374540,"Suffield town, Hartford County, Connecticut",15675.0,003,74540,09
0900345820,"Marlborough town, Hartford County, Connecticut",6420.0,003,45820,09
0900365370,"Rocky Hill town, Hartford County, Connecticut",20015.0,003,65370,09
0901513810,"Chaplin town, Windham County, Connecticut",2365.0,015,13810,09
0901512130,"Canterbury town, Windham County, Connecticut",5074.0,015,12130,09
0901559980,"Plainfield town, Windham County, Connecticut",15138.0,015,59980,09
0901575870,"Thompson town, Windham County, Connecticut",9299.0,015,75870,09
0901588190,"Woodstock town, Windham County, Connecticut",7827.0,015,88190,09
0901567400,"Scotland town, Windham County, Connecticut",1691.0,015,67400,09
0901561030,"Pomfret town, Windham County, Connecticut",4184.0,015,61030,09
0901586790,"Windham town, Windham County, Connecticut",24839.0,015,86790,09
090151430,"Ashford town, Windham County, Connecticut",4254.0,015,1430,09
090159190,"Brooklyn town, Windham County, Connecticut",8232.0,015,9190,09
0901540500,"Killingly town, Windham County, Connecticut",17160.0,015,40500,09
0901562710,"Putnam town, Windham County, Connecticut",9395.0,015,62710,09
0901573420,"Sterling town, Windham County, Connecticut",3748.0,015,73420,09
0901521860,"Eastford town, Windham County, Connecticut",1639.0,015,21860,09
0901536000,"Hampton town, Windham County, Connecticut",1829.0,015,36000,09
0901115910,"Colchester town, New London County, Connecticut",16015.0,011,15910,09
0901142600,"Ledyard town, New London County, Connecticut",14926.0,011,42600,09
0901152350,"New London town, New London County, Connecticut",27147.0,011,52350,09
090116820,"Bozrah town, New London County, Connecticut",2587.0,011,6820,09
0901162150,"Preston town, New London County, Connecticut",4693.0,011,62150,09
090110,"County subdivisions not defined, New London County, Connecticut",0.0,011,0,09
0901129910,"Franklin town, New London County, Connecticut",1908.0,011,29910,09
0901142390,"Lebanon town, New London County, Connecticut",7242.0,011,42390,09
0901166210,"Salem town, New London County, Connecticut",4162.0,011,66210,09
0901180280,"Waterford town, New London County, Connecticut",19200.0,011,80280,09
0901155500,"North Stonington town, New London County, Connecticut",5255.0,011,55500,09
0901171670,"Sprague town, New London County, Connecticut",2942.0,011,71670,09
0901173770,"Stonington town, New London County, Connecticut",18483.0,011,73770,09
0901156270,"Norwich town, New London County, Connecticut",39875.0,011,56270,09
0901123400,"East Lyme town, New London County, Connecticut",18883.0,011,23400,09
0901134250,"Groton town, New London County, Connecticut",39492.0,011,34250,09
0901178600,"Voluntown town, New London County, Connecticut",2570.0,011,78600,09
0901143230,"Lisbon town, New London County, Connecticut",4300.0,011,43230,09
0901133900,"Griswold town, New London County, Connecticut",11791.0,011,33900,09
0901148900,"Montville town, New London County, Connecticut",19384.0,011,48900,09
0901144210,"Lyme town, New London County, Connecticut",2423.0,011,44210,09
0901157040,"Old Lyme town, New London County, Connecticut",7494.0,011,57040,09
0900781680,"Westbrook town, Middlesex County, Connecticut",6927.0,007,81680,09
090070,"County subdivisions not defined, Middlesex County, Connecticut",0.0,007,0,09
0900722280,"East Haddam town, Middlesex County, Connecticut",9072.0,007,22280,09
0900757320,"Old Saybrook town, Middlesex County, Connecticut",10162.0,007,57320,09
0900720810,"Durham town, Middlesex County, Connecticut",7292.0,007,20810,09
0900719130,"Deep River town, Middlesex County, Connecticut",4547.0,007,19130,09
0900715350,"Clinton town, Middlesex County, Connecticut",13041.0,007,15350,09
0900761800,"Portland town, Middlesex County, Connecticut",9391.0,007,61800,09
0900735230,"Haddam town, Middlesex County, Connecticut",8303.0,007,35230,09
0900740710,"Killingworth town, Middlesex County, Connecticut",6441.0,007,40710,09
0900747360,"Middletown town, Middlesex County, Connecticut",46747.0,007,47360,09
0900747080,"Middlefield town, Middlesex County, Connecticut",4402.0,007,47080,09
0900714300,"Chester town, Middlesex County, Connecticut",4286.0,007,14300,09
0900726270,"Essex town, Middlesex County, Connecticut",6588.0,007,26270,09
0900722490,"East Hampton town, Middlesex County, Connecticut",12890.0,007,22490,09
0900718080,"Cromwell town, Middlesex County, Connecticut",14021.0,007,18080,09
090131080,"Andover town, Tolland County, Connecticut",3179.0,013,1080,09
0901317800,"Coventry town, Tolland County, Connecticut",12458.0,013,17800,09
090136260,"Bolton town, Tolland County, Connecticut",4947.0,013,6260,09
0901376290,"Tolland town, Tolland County, Connecticut",14838.0,013,76290,09
