geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
5002114350,"Chittenden town, Rutland County, Vermont",1182.0,1138.0,7.0,0.0,18.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,14350,50,1182.0,0.0
5002154250,"Pawlet town, Rutland County, Vermont",1241.0,1171.0,10.0,3.0,20.0,0.0,9.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,021,54250,50,1228.0,13.0
5002172925,"Tinmouth town, Rutland County, Vermont",538.0,530.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,72925,50,536.0,2.0
5002175925,"Wallingford town, Rutland County, Vermont",1975.0,1869.0,39.0,0.0,48.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,75925,50,1956.0,19.0
5002177950,"Wells town, Rutland County, Vermont",879.0,877.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,77950,50,879.0,0.0
5002180875,"West Haven town, Rutland County, Vermont",301.0,292.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,80875,50,301.0,0.0
5002171050,"Sudbury town, Rutland County, Vermont",586.0,577.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,71050,50,584.0,2.0
5002161300,"Rutland town, Rutland County, Vermont",3846.0,3721.0,84.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,61300,50,3837.0,9.0
5001928075,"Glover town, Orleans County, Vermont",1041.0,1014.0,0.0,0.0,11.0,9.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,28075,50,1032.0,9.0
5001973525,"Troy town, Orleans County, Vermont",1335.0,1264.0,0.0,0.0,40.0,21.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,019,73525,50,1311.0,24.0
50019475,"Albany town, Orleans County, Vermont",893.0,831.0,51.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,475,50,889.0,4.0
5001930175,"Greensboro town, Orleans County, Vermont",695.0,649.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,30175,50,687.0,8.0
5001936325,"Jay town, Orleans County, Vermont",630.0,608.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,36325,50,626.0,4.0
5001935575,"Irasburg town, Orleans County, Vermont",1153.0,1115.0,3.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,35575,50,1136.0,17.0
5001980200,"Westfield town, Orleans County, Vermont",534.0,500.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,80200,50,532.0,2.0
5001913150,"Charleston town, Orleans County, Vermont",1007.0,968.0,0.0,0.0,32.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,13150,50,1007.0,0.0
5001917350,"Derby town, Orleans County, Vermont",4246.0,3956.0,0.0,0.0,196.0,65.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,2.0,0.0,019,17350,50,4172.0,74.0
5001940525,"Lowell town, Orleans County, Vermont",726.0,708.0,5.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,40525,50,723.0,3.0
5001933775,"Holland town, Orleans County, Vermont",632.0,602.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,33775,50,619.0,13.0
5001948850,"Newport city, Orleans County, Vermont",4212.0,3925.0,33.0,2.0,159.0,52.0,8.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,019,48850,50,4158.0,54.0
5001946450,"Morgan town, Orleans County, Vermont",500.0,467.0,16.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,46450,50,498.0,2.0
5001948925,"Newport town, Orleans County, Vermont",2149.0,2013.0,0.0,0.0,73.0,39.0,9.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,48925,50,2110.0,39.0
500193550,"Barton town, Orleans County, Vermont",2443.0,2375.0,0.0,0.0,51.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,3550,50,2430.0,13.0
