geoid,name,total,county,county subdivision,state
5401792094,"Maple district, Doddridge County, West Virginia",1889.0,017,92094,54
5401792374,"Oak district, Doddridge County, West Virginia",2240.0,017,92374,54
5401792466,"Pine district, Doddridge County, West Virginia",2359.0,017,92466,54
5402590449,"Central district, Greenbrier County, West Virginia",13510.0,025,90449,54
5402590972,"Eastern district, Greenbrier County, West Virginia",11744.0,025,90972,54
5402593601,"Western district, Greenbrier County, West Virginia",10269.0,025,93601,54
5403190372,"Capon district, Hardy County, West Virginia",2911.0,031,90372,54
5403191968,"Lost River district, Hardy County, West Virginia",2201.0,031,91968,54
5403192232,"Moorefield district, Hardy County, West Virginia",2891.0,031,92232,54
5403192928,"South Fork district, Hardy County, West Virginia",2685.0,031,92928,54
5403192382,"Old Fields district, Hardy County, West Virginia",3124.0,031,92382,54
5404992154,"Middletown district, Marion County, West Virginia",17050.0,049,92154,54
5404993594,"West Augusta district, Marion County, West Virginia",16777.0,049,93594,54
5404992418,"Palatine district, Marion County, West Virginia",22748.0,049,92418,54
5405790820,"District 2, Mineral County, West Virginia",9318.0,057,90820,54
5405790856,"District 3, Mineral County, West Virginia",9489.0,057,90856,54
5405790784,"District 1, Mineral County, West Virginia",8614.0,057,90784,54
5405993696,"Williamson district, Mingo County, West Virginia",4166.0,059,93696,54
5405992064,"Magnolia district, Mingo County, West Virginia",2329.0,059,92064,54
5405993012,"Stafford district, Mingo County, West Virginia",3429.0,059,93012,54
5405991848,"Lee district, Mingo County, West Virginia",3796.0,059,91848,54
5402991308,"Grant district, Hancock County, West Virginia",10341.0,029,91308,54
5402990312,"Butler district, Hancock County, West Virginia",9807.0,029,90312,54
5402990540,"Clay district, Hancock County, West Virginia",9773.0,029,90540,54
5404191176,"Freemans Creek district, Lewis County, West Virginia",5377.0,041,91176,54
5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",5855.0,041,91480,54
5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",5139.0,041,90676,54
5405190780,"District 1, Marshall County, West Virginia",10769.0,051,90780,54
5405190816,"District 2, Marshall County, West Virginia",9969.0,051,90816,54
5405190852,"District 3, Marshall County, West Virginia",11268.0,051,90852,54
5406793072,"Summersville district, Nicholas County, West Virginia",5075.0,067,93072,54
5406790132,"Beaver district, Nicholas County, West Virginia",7148.0,067,90132,54
5406791344,"Grant district, Nicholas County, West Virginia",1622.0,067,91344,54
5406791716,"Jefferson district, Nicholas County, West Virginia",1395.0,067,91716,54
5406791500,"Hamilton district, Nicholas County, West Virginia",2866.0,067,91500,54
5406793660,"Wilderness district, Nicholas County, West Virginia",3519.0,067,93660,54
5406791752,"Kentucky district, Nicholas County, West Virginia",3871.0,067,91752,54
5407591944,"Little Levels district, Pocahontas County, West Virginia",1887.0,075,91944,54
5407591656,"Huntersville district, Pocahontas County, West Virginia",1012.0,075,91656,54
5407591416,"Greenbank district, Pocahontas County, West Virginia",2243.0,075,91416,54
5407590996,"Edray district, Pocahontas County, West Virginia",3432.0,075,90996,54
5409390192,"Black Fork district, Tucker County, West Virginia",3397.0,093,90192,54
5409391056,"Fairfax district, Tucker County, West Virginia",696.0,093,91056,54
5409390744,"Davis district, Tucker County, West Virginia",817.0,093,90744,54
5409392688,"St. George district, Tucker County, West Virginia",767.0,093,92688,54
5409390624,"Clover district, Tucker County, West Virginia",407.0,093,90624,54
5409391896,"Licking district, Tucker County, West Virginia",96.0,093,91896,54
5409390948,"Dry Fork district, Tucker County, West Virginia",855.0,093,90948,54
5409590469,"Central district, Tyler County, West Virginia",2271.0,095,90469,54
5409593592,"West district, Tyler County, West Virginia",2415.0,095,93592,54
5409592898,"South district, Tyler County, West Virginia",2202.0,095,92898,54
5409592334,"North district, Tyler County, West Virginia",2061.0,095,92334,54
5408392292,"New Interest district, Randolph County, West Virginia",1033.0,083,92292,54
5408392148,"Middle Fork district, Randolph County, West Virginia",909.0,083,92148,54
5408392640,"Roaring Creek district, Randolph County, West Virginia",1976.0,083,92640,54
5408391824,"Leadsville district, Randolph County, West Virginia",13271.0,083,91824,54
5408390936,"Dry Fork district, Randolph County, West Virginia",1133.0,083,90936,54
5408392220,"Mingo district, Randolph County, West Virginia",996.0,083,92220,54
5408390156,"Beverly district, Randolph County, West Virginia",4520.0,083,90156,54
5408391668,"Huttonsville district, Randolph County, West Virginia",3208.0,083,91668,54
5408393420,"Valley Bend district, Randolph County, West Virginia",2106.0,083,93420,54
5409193621,"Western district, Taylor County, West Virginia",6323.0,091,93621,54
5409190993,"Eastern district, Taylor County, West Virginia",4765.0,091,90993,54
5409193175,"Tygart district, Taylor County, West Virginia",5889.0,091,93175,54
5410592344,"Northeast district, Wirt County, West Virginia",2410.0,105,92344,54
5410590473,"Central district, Wirt County, West Virginia",1709.0,105,90473,54
5410592958,"Southwest district, Wirt County, West Virginia",1681.0,105,92958,54
5410793024,"Steele district, Wood County, West Virginia",973.0,107,93024,54
5410790588,"Clay district, Wood County, West Virginia",6286.0,107,90588,54
5410792424,"Parkersburg district, Wood County, West Virginia",27994.0,107,92424,54
5410793384,"Union district, Wood County, West Virginia",4550.0,107,93384,54
5410792856,"Slate district, Wood County, West Virginia",4588.0,107,92856,54
5410791560,"Harris district, Wood County, West Virginia",1940.0,107,91560,54
5410793672,"Williams district, Wood County, West Virginia",13676.0,107,93672,54
5410793180,"Tygart district, Wood County, West Virginia",13511.0,107,93180,54
5410793444,"Walker district, Wood County, West Virginia",1373.0,107,93444,54
5410791980,"Lubeck district, Wood County, West Virginia",11125.0,107,91980,54
5401590895,"District C, Clay County, West Virginia",2433.0,015,90895,54
5401590891,"District A, Clay County, West Virginia",3495.0,015,90891,54
5401590893,"District B, Clay County, West Virginia",2973.0,015,90893,54
5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",1632.0,021,90758,54
5402190534,"City district, Gilmer County, West Virginia",3373.0,021,90534,54
5402190408,"Center district, Gilmer County, West Virginia",1407.0,021,90408,54
5402191236,"Glenville district, Gilmer County, West Virginia",1893.0,021,91236,54
5405390648,"Cologne district, Mason County, West Virginia",1497.0,053,90648,54
5405393432,"Waggener district, Mason County, West Virginia",2779.0,053,93432,54
5405390048,"Arbuckle district, Mason County, West Virginia",897.0,053,90048,54
5405390612,"Clendenin district, Mason County, West Virginia",3777.0,053,90612,54
5405390660,"Cooper district, Mason County, West Virginia",2315.0,053,90660,54
5405391512,"Hannan district, Mason County, West Virginia",3582.0,053,91512,54
5405391860,"Lewis district, Mason County, West Virginia",5501.0,053,91860,54
5405391260,"Graham district, Mason County, West Virginia",2565.0,053,91260,54
5405392652,"Robinson district, Mason County, West Virginia",2855.0,053,92652,54
5405393264,"Union district, Mason County, West Virginia",1232.0,053,93264,54
5406190983,"Eastern district, Monongalia County, West Virginia",41422.0,061,90983,54
5406193612,"Western district, Monongalia County, West Virginia",30615.0,061,93612,54
5406190456,"Central district, Monongalia County, West Virginia",31678.0,061,90456,54
5406390457,"Central district, Monroe County, West Virginia",4952.0,063,90457,54
5406390984,"Eastern district, Monroe County, West Virginia",3721.0,063,90984,54
5406393613,"Western district, Monroe County, West Virginia",4844.0,063,93613,54
5407390896,"District C, Pleasants County, West Virginia",1463.0,073,90896,54
5407390894,"District B, Pleasants County, West Virginia",1588.0,073,90894,54
5407390898,"District D, Pleasants County, West Virginia",2485.0,073,90898,54
5407390892,"District A, Pleasants County, West Virginia",1991.0,073,90892,54
5410390830,"District 2, Wetzel County, West Virginia",5260.0,103,90830,54
5410390867,"District 3, Wetzel County, West Virginia",5222.0,103,90867,54
5410390794,"District 1, Wetzel County, West Virginia",5311.0,103,90794,54
5401190764,"District 1, Cabell County, West Virginia",16492.0,011,90764,54
5401190798,"District 2, Cabell County, West Virginia",14853.0,011,90798,54
5401190882,"District 5, Cabell County, West Virginia",20783.0,011,90882,54
5401190870,"District 4, Cabell County, West Virginia",23996.0,011,90870,54
5401190834,"District 3, Cabell County, West Virginia",19976.0,011,90834,54
5403790504,"Charles Town district, Jefferson County, West Virginia",11413.0,037,90504,54
5403791548,"Harpers Ferry district, Jefferson County, West Virginia",11816.0,037,91548,54
5403792160,"Middleway district, Jefferson County, West Virginia",11451.0,037,92160,54
5403792760,"Shepherdstown district, Jefferson County, West Virginia",10463.0,037,92760,54
5403791740,"Kabletown district, Jefferson County, West Virginia",10530.0,037,91740,54
5403990876,"District 4, Kanawha County, West Virginia",46825.0,039,90876,54
