geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
0604990010,"Adin-Lookout CCD, Modoc County, California",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,049,90010,06
0604990040,"Alturas CCD, Modoc County, California",260.0,94.0,0.0,0.0,0.0,123.0,0.0,0.0,33.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,049,90040,06
0611592250,"Olivehurst CCD, Yuba County, California",1901.0,98.0,18.0,41.0,149.0,52.0,146.0,112.0,143.0,91.0,341.0,175.0,176.0,136.0,133.0,82.0,8.0,115,92250,06
0611593720,"Wheatland CCD, Yuba County, California",156.0,0.0,0.0,9.0,0.0,9.0,3.0,38.0,16.0,26.0,15.0,23.0,13.0,0.0,4.0,0.0,0.0,115,93720,06
0611591610,"Linda CCD, Yuba County, California",1841.0,133.0,142.0,94.0,176.0,77.0,156.0,233.0,121.0,122.0,126.0,228.0,71.0,140.0,22.0,0.0,0.0,115,91610,06
0601390780,"East Contra Costa CCD, Contra Costa County, California",8860.0,429.0,345.0,277.0,323.0,195.0,274.0,315.0,330.0,610.0,714.0,835.0,920.0,1013.0,885.0,1017.0,378.0,013,90780,06
0601393310,"Tassajara CCD, Contra Costa County, California",1679.0,39.0,0.0,0.0,13.0,0.0,23.0,21.0,54.0,46.0,45.0,207.0,289.0,220.0,305.0,120.0,297.0,013,93310,06
0601393620,"West Contra Costa CCD, Contra Costa County, California",22897.0,808.0,774.0,1066.0,920.0,1364.0,1227.0,1190.0,1489.0,1174.0,2125.0,2785.0,3022.0,1708.0,1348.0,1210.0,687.0,013,93620,06
0601390440,"Central Contra Costa CCD, Contra Costa County, California",21535.0,414.0,534.0,773.0,684.0,794.0,939.0,1134.0,718.0,843.0,1521.0,2352.0,3067.0,2217.0,1598.0,1621.0,2326.0,013,90440,06
0602790650,"Death Valley CCD, Inyo County, California",32.0,0.0,4.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,027,90650,06
0602791720,"Lone Pine CCD, Inyo County, California",239.0,0.0,38.0,36.0,17.0,44.0,32.0,4.0,0.0,19.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,027,91720,06
0602790250,"Bishop CCD, Inyo County, California",812.0,4.0,67.0,45.0,21.0,81.0,48.0,11.0,104.0,20.0,34.0,262.0,103.0,0.0,5.0,0.0,7.0,027,90250,06
0602791390,"Independence CCD, Inyo County, California",101.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,39.0,0.0,25.0,14.0,0.0,11.0,0.0,027,91390,06
0603591820,"Madeline Plains CCD, Lassen County, California",7.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,035,91820,06
0603593280,"Susanville CCD, Lassen County, California",158.0,9.0,3.0,2.0,30.0,2.0,8.0,12.0,0.0,10.0,16.0,21.0,11.0,9.0,11.0,11.0,3.0,035,93280,06
0603593710,"Westwood CCD, Lassen County, California",27.0,0.0,6.0,0.0,6.0,2.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,035,93710,06
0603591320,"Honey Lake CCD, Lassen County, California",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,4.0,0.0,0.0,035,91320,06
0603590240,"Big Valley CCD, Lassen County, California",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,035,90240,06
0609993580,"Waterford CCD, Stanislaus County, California",1440.0,51.0,149.0,18.0,63.0,135.0,197.0,124.0,96.0,60.0,100.0,129.0,143.0,102.0,11.0,49.0,13.0,099,93580,06
0609991350,"Hughson CCD, Stanislaus County, California",1080.0,68.0,135.0,37.0,70.0,84.0,85.0,54.0,23.0,120.0,79.0,122.0,94.0,66.0,34.0,5.0,4.0,099,91350,06
0609993460,"Turlock CCD, Stanislaus County, California",8327.0,373.0,468.0,459.0,527.0,497.0,668.0,508.0,523.0,348.0,900.0,906.0,967.0,554.0,320.0,203.0,106.0,099,93460,06
0609992210,"Oakdale CCD, Stanislaus County, California",2285.0,100.0,55.0,167.0,272.0,139.0,239.0,188.0,99.0,144.0,191.0,137.0,237.0,121.0,146.0,50.0,0.0,099,92210,06
0609993650,"Westport CCD, Stanislaus County, California",499.0,8.0,23.0,16.0,70.0,22.0,67.0,26.0,20.0,42.0,0.0,116.0,57.0,0.0,23.0,0.0,9.0,099,93650,06
0609992120,"Newman CCD, Stanislaus County, California",2042.0,64.0,77.0,27.0,160.0,265.0,134.0,125.0,79.0,186.0,106.0,389.0,278.0,87.0,25.0,27.0,13.0,099,92120,06
0609992420,"Patterson CCD, Stanislaus County, California",4038.0,290.0,145.0,264.0,118.0,210.0,218.0,200.0,122.0,210.0,334.0,378.0,823.0,267.0,241.0,163.0,55.0,099,92420,06
0601390080,"Antioch-Pittsburg CCD, Contra Costa County, California",16208.0,688.0,463.0,758.0,824.0,936.0,870.0,633.0,899.0,818.0,1666.0,2238.0,2331.0,1326.0,662.0,639.0,457.0,013,90080,06
0601390270,"Briones CCD, Contra Costa County, California",120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,69.0,39.0,013,90270,06
