geoid,name,total,native,foreign_born,county,county subdivision,state
3610112265,"Canisteo town, Steuben County, New York",3298.0,3258.0,40.0,101,12265,36
3610173836,"Thurston town, Steuben County, New York",1284.0,1278.0,6.0,101,73836,36
3610176496,"Urbana town, Steuben County, New York",2131.0,2092.0,39.0,101,76496,36
3610118256,"Corning city, Steuben County, New York",10870.0,10297.0,573.0,101,18256,36
3610127551,"Fremont town, Steuben County, New York",1000.0,994.0,6.0,101,27551,36
3610135837,"Howard town, Steuben County, New York",1581.0,1573.0,8.0,101,35837,36
3610159982,"Pulteney town, Steuben County, New York",1387.0,1370.0,17.0,101,59982,36
3610181457,"Wheeler town, Steuben County, New York",1151.0,1146.0,5.0,101,81457,36
3610142576,"Lindley town, Steuben County, New York",2001.0,1973.0,28.0,101,42576,36
361013342,"Avoca town, Steuben County, New York",2013.0,1990.0,23.0,101,3342,36
3610112991,"Caton town, Steuben County, New York",1903.0,1880.0,23.0,101,12991,36
3610175737,"Tuscarora town, Steuben County, New York",1351.0,1329.0,22.0,101,75737,36
3610175440,"Troupsburg town, Steuben County, New York",1200.0,1195.0,5.0,101,75440,36
3610160653,"Rathbone town, Steuben County, New York",1143.0,1127.0,16.0,101,60653,36
3610178883,"Wayne town, Steuben County, New York",1020.0,1015.0,5.0,101,78883,36
3610181105,"West Union town, Steuben County, New York",279.0,275.0,4.0,101,81105,36
3607577662,"Volney town, Oswego County, New York",5792.0,5705.0,87.0,075,77662,36
3607555585,"Oswego town, Oswego County, New York",7938.0,7598.0,340.0,075,55585,36
3607556154,"Palermo town, Oswego County, New York",3611.0,3534.0,77.0,075,56154,36
3607565992,"Scriba town, Oswego County, New York",6667.0,6529.0,138.0,075,65992,36
3607582073,"Williamstown town, Oswego County, New York",1234.0,1227.0,7.0,075,82073,36
3607561533,"Richland town, Oswego County, New York",5642.0,5549.0,93.0,075,61533,36
360751055,"Albion town, Oswego County, New York",2276.0,2258.0,18.0,075,1055,36
3607546822,"Mexico town, Oswego County, New York",5127.0,5053.0,74.0,075,46822,36
3607560873,"Redfield town, Oswego County, New York",486.0,480.0,6.0,075,60873,36
3607555453,"Orwell town, Oswego County, New York",1533.0,1480.0,53.0,075,55453,36
3607556352,"Parish town, Oswego County, New York",2509.0,2490.0,19.0,075,56352,36
3607532028,"Hannibal town, Oswego County, New York",4701.0,4638.0,63.0,075,32028,36
3607741531,"Laurens town, Otsego County, New York",2637.0,2488.0,149.0,077,41531,36
3607719895,"Decatur town, Otsego County, New York",308.0,298.0,10.0,077,19895,36
3607754881,"Oneonta city, Otsego County, New York",13932.0,13152.0,780.0,077,54881,36
3607723613,"Edmeston town, Otsego County, New York",1766.0,1722.0,44.0,077,23613,36
3607745920,"Maryland town, Otsego County, New York",1913.0,1891.0,22.0,077,45920,36
3607748494,"Morris town, Otsego County, New York",1824.0,1766.0,58.0,077,48494,36
3607754892,"Oneonta town, Otsego County, New York",5088.0,4869.0,219.0,077,54892,36
3607761467,"Richfield town, Otsego County, New York",2147.0,2100.0,47.0,077,61467,36
3607763638,"Roseboom town, Otsego County, New York",664.0,659.0,5.0,077,63638,36
3607783129,"Worcester town, Otsego County, New York",2035.0,1990.0,45.0,077,83129,36
3607755629,"Otego town, Otsego County, New York",2961.0,2855.0,106.0,077,55629,36
3607758343,"Pittsfield town, Otsego County, New York",1303.0,1265.0,38.0,077,58343,36
