geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,county subdivision,state,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
2203594249,"District 2, East Carroll Parish, Louisiana",1784.0,1607.0,11.0,0.0,9.0,31.0,69.0,240.0,251.0,7.0,562.0,49.0,320.0,54.0,4.0,0.0,0.0,0.0,177.0,10.0,0.0,0.0,11.0,19.0,8.0,0.0,4.0,104.0,0.0,11.0,9.0,0.0,1.0,0.0,0.0,035,94249,22,21.0,0.0,9.0,42.0,88.0,248.0,251.0,11.0,666.0,49.0,331.0,63.0,4.0,1.0,0.0,0.0,670.0,618.0,52.0,380.0,369.0,11.0,1.0,0.0,1.0,5.0,4.0,1.0
2203594429,"District 3, East Carroll Parish, Louisiana",245.0,81.0,0.0,5.0,0.0,0.0,6.0,1.0,17.0,3.0,40.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,164.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,57.0,9.0,48.0,8.0,4.0,0.0,0.0,0.0,035,94429,22,3.0,5.0,0.0,0.0,6.0,1.0,44.0,11.0,97.0,9.0,55.0,10.0,4.0,0.0,0.0,0.0,70.0,32.0,38.0,64.0,7.0,57.0,0.0,0.0,0.0,4.0,0.0,4.0
2203594807,"District 5, East Carroll Parish, Louisiana",433.0,155.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,78.0,9.0,20.0,0.0,15.0,0.0,0.0,0.0,278.0,29.0,0.0,0.0,0.0,5.0,37.0,0.0,0.0,70.0,20.0,43.0,23.0,34.0,17.0,0.0,0.0,035,94807,22,37.0,0.0,0.0,0.0,5.0,37.0,14.0,11.0,148.0,29.0,63.0,23.0,49.0,17.0,0.0,0.0,104.0,33.0,71.0,92.0,29.0,63.0,17.0,0.0,17.0,66.0,15.0,51.0
2203595269,"District 8, East Carroll Parish, Louisiana",531.0,218.0,7.0,19.0,0.0,22.0,0.0,0.0,46.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,6.0,0.0,19.0,4.0,5.0,15.0,23.0,41.0,143.0,0.0,4.0,10.0,43.0,0.0,0.0,0.0,035,95269,22,13.0,19.0,19.0,26.0,5.0,15.0,69.0,41.0,267.0,0.0,4.0,10.0,43.0,0.0,0.0,0.0,207.0,94.0,113.0,4.0,0.0,4.0,0.0,0.0,0.0,43.0,0.0,43.0
2203594975,"District 6, East Carroll Parish, Louisiana",359.0,90.0,0.0,0.0,4.0,0.0,0.0,9.0,5.0,0.0,53.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,269.0,0.0,0.0,11.0,0.0,0.0,89.0,0.0,20.0,76.0,0.0,30.0,0.0,0.0,43.0,0.0,0.0,035,94975,22,0.0,0.0,15.0,0.0,0.0,98.0,5.0,20.0,129.0,0.0,30.0,4.0,15.0,43.0,0.0,0.0,138.0,18.0,120.0,30.0,0.0,30.0,43.0,0.0,43.0,58.0,15.0,43.0
2203595128,"District 7, East Carroll Parish, Louisiana",268.0,66.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,56.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,202.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,10.0,34.0,14.0,5.0,0.0,0.0,0.0,035,95128,22,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,190.0,10.0,41.0,14.0,6.0,0.0,0.0,0.0,7.0,2.0,5.0,51.0,7.0,44.0,0.0,0.0,0.0,6.0,1.0,5.0
2200595544,"District 11, Ascension Parish, Louisiana",7415.0,3368.0,26.0,9.0,0.0,79.0,62.0,206.0,30.0,88.0,1086.0,195.0,293.0,242.0,820.0,103.0,30.0,99.0,4047.0,20.0,13.0,11.0,54.0,0.0,63.0,23.0,9.0,1248.0,363.0,655.0,269.0,908.0,398.0,0.0,13.0,005,95544,22,46.0,22.0,11.0,133.0,62.0,269.0,53.0,97.0,2334.0,558.0,948.0,511.0,1728.0,501.0,30.0,112.0,693.0,500.0,193.0,1506.0,488.0,1018.0,643.0,232.0,411.0,2371.0,1052.0,1319.0
2200594006,"District 1, Ascension Parish, Louisiana",5305.0,2375.0,2.0,64.0,95.0,122.0,124.0,160.0,148.0,42.0,825.0,77.0,326.0,61.0,250.0,30.0,27.0,22.0,2930.0,16.0,29.0,24.0,17.0,129.0,152.0,90.0,86.0,1226.0,131.0,284.0,264.0,372.0,98.0,12.0,0.0,005,94006,22,18.0,93.0,119.0,139.0,253.0,312.0,238.0,128.0,2051.0,208.0,610.0,325.0,622.0,128.0,39.0,22.0,1300.0,757.0,543.0,818.0,403.0,415.0,189.0,79.0,110.0,811.0,329.0,482.0
2200594387,"District 3, Ascension Parish, Louisiana",6194.0,2995.0,28.0,30.0,15.0,46.0,95.0,109.0,24.0,20.0,1388.0,163.0,569.0,217.0,194.0,87.0,10.0,0.0,3199.0,0.0,0.0,11.0,31.0,7.0,170.0,265.0,65.0,837.0,281.0,515.0,254.0,468.0,287.0,8.0,0.0,005,94387,22,28.0,30.0,26.0,77.0,102.0,279.0,289.0,85.0,2225.0,444.0,1084.0,471.0,662.0,374.0,18.0,0.0,916.0,367.0,549.0,1528.0,732.0,796.0,392.0,97.0,295.0,1054.0,291.0,763.0
2200594765,"District 5, Ascension Parish, Louisiana",7710.0,3936.0,0.0,0.0,0.0,79.0,177.0,53.0,145.0,91.0,1393.0,249.0,493.0,323.0,599.0,294.0,28.0,12.0,3774.0,18.0,0.0,0.0,77.0,65.0,37.0,109.0,25.0,1211.0,327.0,435.0,379.0,818.0,221.0,52.0,0.0,005,94765,22,18.0,0.0,0.0,156.0,242.0,90.0,254.0,116.0,2604.0,576.0,928.0,702.0,1417.0,515.0,80.0,12.0,876.0,545.0,331.0,1504.0,742.0,762.0,607.0,334.0,273.0,2024.0,933.0,1091.0
