geoid,name,median,county,county subdivision,state
090038490,"Bristol town, Hartford County, Connecticut",68508.0,003,8490,09
0900327600,"Farmington town, Hartford County, Connecticut",92325.0,003,27600,09
0900370550,"Southington town, Hartford County, Connecticut",91072.0,003,70550,09
0900322070,"East Granby town, Hartford County, Connecticut",94740.0,003,22070,09
090032060,"Avon town, Hartford County, Connecticut",126268.0,003,2060,09
0900384900,"Wethersfield town, Hartford County, Connecticut",83881.0,003,84900,09
090034300,"Berlin town, Hartford County, Connecticut",92183.0,003,4300,09
0900310100,"Burlington town, Hartford County, Connecticut",122056.0,003,10100,09
0900332640,"Granby town, Hartford County, Connecticut",112409.0,003,32640,09
0900337140,"Hartland town, Hartford County, Connecticut",94483.0,003,37140,09
0900322630,"East Hartford town, Hartford County, Connecticut",59094.0,003,22630,09
0900337070,"Hartford town, Hartford County, Connecticut",48267.0,003,37070,09
0900344700,"Manchester town, Hartford County, Connecticut",72950.0,003,44700,09
090035910,"Bloomfield town, Hartford County, Connecticut",78438.0,003,5910,09
0900331240,"Glastonbury town, Hartford County, Connecticut",110333.0,003,31240,09
0900374540,"Suffield town, Hartford County, Connecticut",103449.0,003,74540,09
0900345820,"Marlborough town, Hartford County, Connecticut",106250.0,003,45820,09
0900365370,"Rocky Hill town, Hartford County, Connecticut",80194.0,003,65370,09
0901513810,"Chaplin town, Windham County, Connecticut",76648.0,015,13810,09
0901512130,"Canterbury town, Windham County, Connecticut",89769.0,015,12130,09
0901559980,"Plainfield town, Windham County, Connecticut",66955.0,015,59980,09
0901575870,"Thompson town, Windham County, Connecticut",78173.0,015,75870,09
0901588190,"Woodstock town, Windham County, Connecticut",81493.0,015,88190,09
0901567400,"Scotland town, Windham County, Connecticut",86518.0,015,67400,09
0901561030,"Pomfret town, Windham County, Connecticut",87730.0,015,61030,09
0901586790,"Windham town, Windham County, Connecticut",50633.0,015,86790,09
090151430,"Ashford town, Windham County, Connecticut",69135.0,015,1430,09
090159190,"Brooklyn town, Windham County, Connecticut",76250.0,015,9190,09
0901540500,"Killingly town, Windham County, Connecticut",56065.0,015,40500,09
