geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
0809391254,"Fairplay CCD, Park County, Colorado",6156.0,5737.0,35.0,5110.0,592.0,419.0,093,91254,08,5145.0,1011.0
0809392128,"Lake George CCD, Park County, Colorado",1233.0,1003.0,0.0,914.0,89.0,230.0,093,92128,08,914.0,319.0
0810990551,"Center CCD, Saguache County, Colorado",1024.0,793.0,12.0,706.0,75.0,231.0,109,90551,08,718.0,306.0
0810990684,"Cochetopa CCD, Saguache County, Colorado",78.0,78.0,0.0,78.0,0.0,0.0,109,90684,08,78.0,0.0
0810993135,"Saguache CCD, Saguache County, Colorado",1524.0,1308.0,14.0,973.0,321.0,216.0,109,93135,08,987.0,537.0
0807791425,"Fruita CCD, Mesa County, Colorado",9586.0,8841.0,97.0,8358.0,386.0,745.0,077,91425,08,8455.0,1131.0
0807790665,"Clifton CCD, Mesa County, Colorado",11305.0,10178.0,129.0,9158.0,891.0,1127.0,077,90665,08,9287.0,2018.0
0807791596,"Grand Junction CCD, Mesa County, Colorado",36341.0,32130.0,249.0,29483.0,2398.0,4211.0,077,91596,08,29732.0,6609.0
0807790950,"De Beque CCD, Mesa County, Colorado",322.0,280.0,5.0,231.0,44.0,42.0,077,90950,08,236.0,86.0
0807790703,"Collbran CCD, Mesa County, Colorado",809.0,670.0,6.0,599.0,65.0,139.0,077,90703,08,605.0,204.0
0807791501,"Glade Park-Gateway CCD, Mesa County, Colorado",1008.0,965.0,35.0,891.0,39.0,43.0,077,91501,08,926.0,82.0
0809991558,"Granada CCD, Prowers County, Colorado",291.0,214.0,0.0,186.0,28.0,77.0,099,91558,08,186.0,105.0
0809992147,"Lamar CCD, Prowers County, Colorado",4011.0,3296.0,0.0,2991.0,305.0,715.0,099,92147,08,2991.0,1020.0
0809993667,"Two Butte Creek CCD, Prowers County, Colorado",87.0,71.0,0.0,69.0,2.0,16.0,099,93667,08,69.0,18.0
0804191387,"Fountain CCD, El Paso County, Colorado",25886.0,24351.0,130.0,23045.0,1176.0,1535.0,041,91387,08,23175.0,2711.0
0809991748,"Holly CCD, Prowers County, Colorado",524.0,428.0,3.0,388.0,37.0,96.0,099,91748,08,391.0,133.0
0805392109,"Lake City CCD, Hinsdale County, Colorado",368.0,330.0,3.0,250.0,77.0,38.0,053,92109,08,253.0,115.0
0804191197,"Elsmere CCD, El Paso County, Colorado",23720.0,23190.0,99.0,22433.0,658.0,530.0,041,91197,08,22532.0,1188.0
0804192907,"Pikes Peak CCD, El Paso County, Colorado",1586.0,1488.0,11.0,1370.0,107.0,98.0,041,92907,08,1381.0,205.0
0804190627,"Cheyenne Mountain CCD, El Paso County, Colorado",4005.0,3812.0,67.0,3541.0,204.0,193.0,041,90627,08,3608.0,397.0
0812190798,"Cope CCD, Washington County, Colorado",229.0,193.0,3.0,178.0,12.0,36.0,121,90798,08,181.0,48.0
0804193420,"Southeastern El Paso CCD, El Paso County, Colorado",5281.0,4941.0,69.0,4470.0,402.0,340.0,041,93420,08,4539.0,742.0
0804190304,"Black Forest-Peyton CCD, El Paso County, Colorado",26082.0,25122.0,170.0,24027.0,925.0,960.0,041,90304,08,24197.0,1885.0
0804190741,"Colorado Springs CCD, El Paso County, Colorado",156923.0,143804.0,941.0,133623.0,9240.0,13119.0,041,90741,08,134564.0,22359.0
0804192565,"Monument CCD, El Paso County, Colorado",6262.0,5972.0,14.0,5650.0,308.0,290.0,041,92565,08,5664.0,598.0
0812190057,"Akron CCD, Washington County, Colorado",1149.0,978.0,11.0,814.0,153.0,171.0,121,90057,08,825.0,324.0
0812192774,"Otis CCD, Washington County, Colorado",430.0,364.0,5.0,327.0,32.0,66.0,121,92774,08,332.0,98.0
0804991577,"Granby CCD, Grand County, Colorado",4564.0,4205.0,0.0,4084.0,121.0,359.0,049,91577,08,4084.0,480.0
0804992033,"Kremmling CCD, Grand County, Colorado",1160.0,947.0,5.0,838.0,104.0,213.0,049,92033,08,843.0,317.0
0800591178,"East Arapahoe CCD, Arapahoe County, Colorado",9996.0,9638.0,35.0,8919.0,684.0,358.0,005,91178,08,8954.0,1042.0
0800593458,"Southwest Arapahoe CCD, Arapahoe County, Colorado",83851.0,79003.0,528.0,73717.0,4758.0,4848.0,005,93458,08,74245.0,9606.0
0800593382,"South Aurora CCD, Arapahoe County, Colorado",141416.0,132467.0,1202.0,119724.0,11541.0,8949.0,005,93382,08,120926.0,20490.0
