geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
4400719180,"Cranston city, Providence County, Rhode Island",80046.0,39460.0,40586.0,71472.0,34691.0,36781.0,5719.0,3228.0,2491.0,1363.0,784.0,579.0,1232.0,683.0,549.0,260.0,74.0,186.0,007,19180,44
440015140,"Barrington town, Bristol County, Rhode Island",16079.0,7807.0,8272.0,14833.0,7180.0,7653.0,391.0,217.0,174.0,358.0,174.0,184.0,390.0,162.0,228.0,107.0,74.0,33.0,001,5140,44
4400173760,"Warren town, Bristol County, Rhode Island",10428.0,4988.0,5440.0,8607.0,4204.0,4403.0,1015.0,488.0,527.0,367.0,137.0,230.0,439.0,159.0,280.0,0.0,0.0,0.0,001,73760,44
440019280,"Bristol town, Bristol County, Rhode Island",22201.0,10674.0,11527.0,19159.0,9222.0,9937.0,1408.0,670.0,738.0,438.0,247.0,191.0,1133.0,504.0,629.0,63.0,31.0,32.0,001,9280,44
4400977000,"Westerly town, Washington County, Rhode Island",22355.0,10138.0,12217.0,19983.0,9193.0,10790.0,1287.0,464.0,823.0,157.0,55.0,102.0,817.0,387.0,430.0,111.0,39.0,72.0,009,77000,44
4400951580,"North Kingstown town, Washington County, Rhode Island",25940.0,12708.0,13232.0,23376.0,11507.0,11869.0,1131.0,584.0,547.0,769.0,327.0,442.0,620.0,267.0,353.0,44.0,23.0,21.0,009,51580,44
4400967460,"South Kingstown town, Washington County, Rhode Island",30523.0,14680.0,15843.0,25722.0,12365.0,13357.0,1248.0,654.0,594.0,1301.0,639.0,662.0,2111.0,974.0,1137.0,141.0,48.0,93.0,009,67460,44
4400935380,"Hopkinton town, Washington County, Rhode Island",8112.0,3852.0,4260.0,7758.0,3633.0,4125.0,213.0,147.0,66.0,85.0,16.0,69.0,56.0,56.0,0.0,0.0,0.0,0.0,009,35380,44
4400961160,"Richmond town, Washington County, Rhode Island",7496.0,3758.0,3738.0,7074.0,3507.0,3567.0,249.0,128.0,121.0,137.0,103.0,34.0,36.0,20.0,16.0,0.0,0.0,0.0,009,61160,44
4400925300,"Exeter town, Washington County, Rhode Island",6761.0,3488.0,3273.0,5839.0,2983.0,2856.0,416.0,257.0,159.0,244.0,143.0,101.0,256.0,99.0,157.0,6.0,6.0,0.0,009,25300,44
4400948340,"Narragansett town, Washington County, Rhode Island",15510.0,7344.0,8166.0,12405.0,5655.0,6750.0,1911.0,1056.0,855.0,501.0,304.0,197.0,651.0,329.0,322.0,42.0,0.0,42.0,009,48340,44
4400950500,"New Shoreham town, Washington County, Rhode Island",822.0,395.0,427.0,788.0,379.0,409.0,18.0,4.0,14.0,8.0,8.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,009,50500,44
4400914500,"Charlestown town, Washington County, Rhode Island",7701.0,4154.0,3547.0,7017.0,3769.0,3248.0,423.0,259.0,164.0,169.0,80.0,89.0,92.0,46.0,46.0,0.0,0.0,0.0,009,14500,44
