geoid,name,median,male,female,county,county subdivision,state
0900551350,"New Hartford town, Litchfield County, Connecticut",44.8,44.6,45.5,005,51350,09
0900579720,"Washington town, Litchfield County, Connecticut",55.5,54.7,55.9,005,79720,09
090052760,"Barkhamsted town, Litchfield County, Connecticut",45.6,45.4,45.8,005,2760,09
0900312270,"Canton town, Hartford County, Connecticut",47.4,47.1,47.9,003,12270,09
0900325990,"Enfield town, Hartford County, Connecticut",41.0,38.7,44.4,003,25990,09
0900352140,"Newington town, Hartford County, Connecticut",44.9,42.3,46.8,003,52140,09
0900360120,"Plainville town, Hartford County, Connecticut",43.4,41.5,44.8,003,60120,09
0900368940,"Simsbury town, Hartford County, Connecticut",44.7,43.4,46.1,003,68940,09
0900371390,"South Windsor town, Hartford County, Connecticut",43.5,41.7,45.8,003,71390,09
0900382590,"West Hartford town, Hartford County, Connecticut",41.1,39.2,42.6,003,82590,09
0900387000,"Windsor town, Hartford County, Connecticut",43.6,42.3,45.7,003,87000,09
0900387070,"Windsor Locks town, Hartford County, Connecticut",44.0,41.4,46.8,003,87070,09
0900324800,"East Windsor town, Hartford County, Connecticut",43.7,42.1,44.5,003,24800,09
0900350440,"New Britain town, Hartford County, Connecticut",34.4,33.1,36.1,003,50440,09
090038490,"Bristol town, Hartford County, Connecticut",40.4,38.6,42.1,003,8490,09
0900327600,"Farmington town, Hartford County, Connecticut",43.8,42.7,44.9,003,27600,09
0900370550,"Southington town, Hartford County, Connecticut",45.0,42.9,46.6,003,70550,09
0900322070,"East Granby town, Hartford County, Connecticut",43.6,44.3,43.2,003,22070,09
090032060,"Avon town, Hartford County, Connecticut",45.1,43.5,47.1,003,2060,09
0900384900,"Wethersfield town, Hartford County, Connecticut",44.8,42.9,46.3,003,84900,09
090034300,"Berlin town, Hartford County, Connecticut",48.6,47.6,49.5,003,4300,09
0900310100,"Burlington town, Hartford County, Connecticut",44.0,44.1,43.7,003,10100,09
0900332640,"Granby town, Hartford County, Connecticut",47.7,47.6,47.7,003,32640,09
0900337140,"Hartland town, Hartford County, Connecticut",46.7,46.0,47.0,003,37140,09
0900322630,"East Hartford town, Hartford County, Connecticut",37.9,35.5,40.1,003,22630,09
0900337070,"Hartford town, Hartford County, Connecticut",30.9,29.3,32.1,003,37070,09
0900344700,"Manchester town, Hartford County, Connecticut",35.4,34.2,36.9,003,44700,09
090035910,"Bloomfield town, Hartford County, Connecticut",50.2,45.3,53.6,003,5910,09
0900331240,"Glastonbury town, Hartford County, Connecticut",45.8,44.5,47.0,003,31240,09
0900374540,"Suffield town, Hartford County, Connecticut",42.1,40.4,44.7,003,74540,09
0900345820,"Marlborough town, Hartford County, Connecticut",44.3,45.0,43.9,003,45820,09
0900365370,"Rocky Hill town, Hartford County, Connecticut",44.7,43.5,45.3,003,65370,09
0901513810,"Chaplin town, Windham County, Connecticut",44.6,45.2,44.3,015,13810,09
0901512130,"Canterbury town, Windham County, Connecticut",43.9,44.7,43.4,015,12130,09
0901559980,"Plainfield town, Windham County, Connecticut",43.0,41.7,43.7,015,59980,09
0901575870,"Thompson town, Windham County, Connecticut",44.1,41.4,45.9,015,75870,09
0901588190,"Woodstock town, Windham County, Connecticut",46.0,45.6,46.6,015,88190,09
0901567400,"Scotland town, Windham County, Connecticut",44.1,44.0,44.3,015,67400,09
0901561030,"Pomfret town, Windham County, Connecticut",44.0,44.0,44.0,015,61030,09
0901586790,"Windham town, Windham County, Connecticut",30.0,28.8,31.7,015,86790,09
090151430,"Ashford town, Windham County, Connecticut",45.0,37.9,47.7,015,1430,09
090159190,"Brooklyn town, Windham County, Connecticut",44.8,43.3,47.3,015,9190,09
0901540500,"Killingly town, Windham County, Connecticut",41.2,39.9,42.4,015,40500,09
0901562710,"Putnam town, Windham County, Connecticut",44.3,44.8,43.7,015,62710,09
0901573420,"Sterling town, Windham County, Connecticut",40.1,38.7,40.3,015,73420,09
0901521860,"Eastford town, Windham County, Connecticut",48.4,47.6,48.9,015,21860,09
0901536000,"Hampton town, Windham County, Connecticut",48.9,48.4,49.7,015,36000,09
0901115910,"Colchester town, New London County, Connecticut",40.9,40.5,41.4,011,15910,09
0901142600,"Ledyard town, New London County, Connecticut",40.5,38.3,43.4,011,42600,09
0901152350,"New London town, New London County, Connecticut",30.9,28.9,33.6,011,52350,09
090116820,"Bozrah town, New London County, Connecticut",47.1,46.9,47.3,011,6820,09
0901162150,"Preston town, New London County, Connecticut",47.0,47.9,46.5,011,62150,09
090110,"County subdivisions not defined, New London County, Connecticut",-666666666.0,-666666666.0,-666666666.0,011,0,09
0901129910,"Franklin town, New London County, Connecticut",48.4,46.4,49.8,011,29910,09
0901142390,"Lebanon town, New London County, Connecticut",46.6,43.7,47.4,011,42390,09
0901166210,"Salem town, New London County, Connecticut",43.6,42.1,44.3,011,66210,09
0901180280,"Waterford town, New London County, Connecticut",48.4,47.0,49.7,011,80280,09
0901155500,"North Stonington town, New London County, Connecticut",45.9,45.2,47.1,011,55500,09
0901171670,"Sprague town, New London County, Connecticut",42.0,39.9,45.0,011,71670,09
0901173770,"Stonington town, New London County, Connecticut",49.4,47.9,51.5,011,73770,09
0901156270,"Norwich town, New London County, Connecticut",37.0,35.1,38.2,011,56270,09
0901123400,"East Lyme town, New London County, Connecticut",47.6,46.8,48.1,011,23400,09
0901134250,"Groton town, New London County, Connecticut",33.1,29.0,38.1,011,34250,09
0901178600,"Voluntown town, New London County, Connecticut",45.9,48.1,45.2,011,78600,09
0901143230,"Lisbon town, New London County, Connecticut",46.0,47.7,44.6,011,43230,09
0901133900,"Griswold town, New London County, Connecticut",37.6,38.2,37.2,011,33900,09
0901148900,"Montville town, New London County, Connecticut",43.5,40.4,47.5,011,48900,09
0901144210,"Lyme town, New London County, Connecticut",55.0,54.1,56.3,011,44210,09
0901157040,"Old Lyme town, New London County, Connecticut",51.9,52.5,51.5,011,57040,09
0900781680,"Westbrook town, Middlesex County, Connecticut",50.8,49.5,51.3,007,81680,09
