geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
4701190202,"District 2, Bradley County, Tennessee",14671.0,6739.0,7932.0,12640.0,5993.0,6647.0,852.0,423.0,429.0,677.0,188.0,489.0,447.0,119.0,328.0,55.0,16.0,39.0,011,90202,47
4701190392,"District 3, Bradley County, Tennessee",14854.0,7054.0,7800.0,10893.0,5224.0,5669.0,2392.0,1134.0,1258.0,411.0,216.0,195.0,1087.0,476.0,611.0,71.0,4.0,67.0,011,90392,47
4701190582,"District 4, Bradley County, Tennessee",13542.0,6617.0,6925.0,12017.0,5831.0,6186.0,1107.0,551.0,556.0,218.0,103.0,115.0,172.0,118.0,54.0,28.0,14.0,14.0,011,90582,47
4701190772,"District 5, Bradley County, Tennessee",13336.0,6612.0,6724.0,10784.0,5214.0,5570.0,1852.0,1119.0,733.0,420.0,220.0,200.0,280.0,59.0,221.0,0.0,0.0,0.0,011,90772,47
4701190962,"District 6, Bradley County, Tennessee",15980.0,8134.0,7846.0,14038.0,7049.0,6989.0,1294.0,732.0,562.0,343.0,202.0,141.0,249.0,138.0,111.0,56.0,13.0,43.0,011,90962,47
4701191152,"District 7, Bradley County, Tennessee",14446.0,7045.0,7401.0,11527.0,5530.0,5997.0,1644.0,739.0,905.0,399.0,264.0,135.0,809.0,484.0,325.0,67.0,28.0,39.0,011,91152,47
4701390014,"District 1, Campbell County, Tennessee",7692.0,3588.0,4104.0,6895.0,3165.0,3730.0,415.0,220.0,195.0,151.0,73.0,78.0,213.0,122.0,91.0,18.0,8.0,10.0,013,90014,47
4701390204,"District 2, Campbell County, Tennessee",7803.0,3743.0,4060.0,6844.0,3196.0,3648.0,815.0,494.0,321.0,14.0,12.0,2.0,130.0,41.0,89.0,0.0,0.0,0.0,013,90204,47
4701390394,"District 3, Campbell County, Tennessee",7287.0,3650.0,3637.0,6619.0,3367.0,3252.0,391.0,182.0,209.0,176.0,32.0,144.0,101.0,69.0,32.0,0.0,0.0,0.0,013,90394,47
4701390584,"District 4, Campbell County, Tennessee",9200.0,4450.0,4750.0,7760.0,3816.0,3944.0,825.0,361.0,464.0,262.0,171.0,91.0,353.0,102.0,251.0,0.0,0.0,0.0,013,90584,47
