geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
5001367000,"South Hero town, Grand Isle County, Vermont",726.0,677.0,7.0,621.0,49.0,49.0,013,67000,50,628.0,98.0
5001335875,"Isle La Motte town, Grand Isle County, Vermont",204.0,182.0,0.0,158.0,24.0,22.0,013,35875,50,158.0,46.0
500177600,"Braintree town, Orange County, Vermont",520.0,426.0,19.0,365.0,42.0,94.0,017,7600,50,384.0,136.0
5001773675,"Tunbridge town, Orange County, Vermont",554.0,476.0,3.0,371.0,102.0,78.0,017,73675,50,374.0,180.0
5001774950,"Vershire town, Orange County, Vermont",288.0,257.0,10.0,200.0,47.0,31.0,017,74950,50,210.0,78.0
5001748175,"Newbury town, Orange County, Vermont",1002.0,796.0,20.0,707.0,69.0,206.0,017,48175,50,727.0,275.0
500177375,"Bradford town, Orange County, Vermont",1226.0,970.0,21.0,825.0,124.0,256.0,017,7375,50,846.0,380.0
5001713525,"Chelsea town, Orange County, Vermont",552.0,464.0,21.0,405.0,38.0,88.0,017,13525,50,426.0,126.0
5001779975,"West Fairlee town, Orange County, Vermont",332.0,278.0,2.0,230.0,46.0,54.0,017,79975,50,232.0,100.0
5001784175,"Williamstown town, Orange County, Vermont",1400.0,1268.0,21.0,1079.0,168.0,132.0,017,84175,50,1100.0,300.0
5001773075,"Topsham town, Orange County, Vermont",432.0,335.0,36.0,273.0,26.0,97.0,017,73075,50,309.0,123.0
5001753425,"Orange town, Orange County, Vermont",425.0,370.0,19.0,271.0,80.0,55.0,017,53425,50,290.0,135.0
5001776750,"Washington town, Orange County, Vermont",471.0,415.0,4.0,358.0,53.0,56.0,017,76750,50,362.0,109.0
500179325,"Brookfield town, Orange County, Vermont",581.0,502.0,17.0,408.0,77.0,79.0,017,9325,50,425.0,156.0
5001725675,"Fairlee town, Orange County, Vermont",475.0,416.0,16.0,380.0,20.0,59.0,017,25675,50,396.0,79.0
5001772400,"Thetford town, Orange County, Vermont",1158.0,1017.0,43.0,916.0,58.0,141.0,017,72400,50,959.0,199.0
5001715700,"Corinth town, Orange County, Vermont",584.0,480.0,18.0,403.0,59.0,104.0,017,15700,50,421.0,163.0
5001758075,"Randolph town, Orange County, Vermont",1806.0,1513.0,11.0,1382.0,120.0,293.0,017,58075,50,1393.0,413.0
5001770675,"Strafford town, Orange County, Vermont",469.0,436.0,10.0,402.0,24.0,33.0,017,70675,50,412.0,57.0
5000714875,"Colchester town, Chittenden County, Vermont",6576.0,6207.0,52.0,5647.0,508.0,369.0,007,14875,50,5699.0,877.0
5000724175,"Essex town, Chittenden County, Vermont",8689.0,8259.0,47.0,7783.0,429.0,430.0,007,24175,50,7830.0,859.0
5000745250,"Milton town, Chittenden County, Vermont",4236.0,3811.0,29.0,3245.0,537.0,425.0,007,45250,50,3274.0,962.0
5000785150,"Winooski city, Chittenden County, Vermont",3205.0,2795.0,10.0,2420.0,365.0,410.0,007,85150,50,2430.0,775.0
5000710300,"Buels gore, Chittenden County, Vermont",12.0,12.0,1.0,9.0,2.0,0.0,007,10300,50,10.0,2.0
5000710675,"Burlington city, Chittenden County, Vermont",16067.0,14445.0,50.0,13071.0,1324.0,1622.0,007,10675,50,13121.0,2946.0
5000762050,"St. George town, Chittenden County, Vermont",280.0,261.0,8.0,249.0,4.0,19.0,007,62050,50,257.0,23.0
5000736700,"Jericho town, Chittenden County, Vermont",1981.0,1870.0,30.0,1723.0,117.0,111.0,007,36700,50,1753.0,228.0
5000766175,"South Burlington city, Chittenden County, Vermont",8757.0,8079.0,21.0,7552.0,506.0,678.0,007,66175,50,7573.0,1184.0
500076550,"Bolton town, Chittenden County, Vermont",584.0,539.0,4.0,497.0,38.0,45.0,007,6550,50,501.0,83.0
5000733475,"Hinesburg town, Chittenden County, Vermont",1790.0,1615.0,54.0,1406.0,155.0,175.0,007,33475,50,1460.0,330.0
5000764300,"Shelburne town, Chittenden County, Vermont",3197.0,2902.0,36.0,2642.0,224.0,295.0,007,64300,50,2678.0,519.0
5000713300,"Charlotte town, Chittenden County, Vermont",1466.0,1423.0,0.0,1390.0,33.0,43.0,007,13300,50,1390.0,76.0
5000780350,"Westford town, Chittenden County, Vermont",747.0,708.0,7.0,658.0,43.0,39.0,007,80350,50,665.0,82.0
5000734600,"Huntington town, Chittenden County, Vermont",765.0,703.0,12.0,615.0,76.0,62.0,007,34600,50,627.0,138.0
5000759275,"Richmond town, Chittenden County, Vermont",1559.0,1507.0,11.0,1416.0,80.0,52.0,007,59275,50,1427.0,132.0
5000773975,"Underhill town, Chittenden County, Vermont",1170.0,1124.0,21.0,1016.0,87.0,46.0,007,73975,50,1037.0,133.0
5000784475,"Williston town, Chittenden County, Vermont",3825.0,3708.0,31.0,3567.0,110.0,117.0,007,84475,50,3598.0,227.0
500154375,"Belvidere town, Lamoille County, Vermont",168.0,140.0,0.0,127.0,13.0,28.0,015,4375,50,127.0,41.0
5001570525,"Stowe town, Lamoille County, Vermont",2066.0,1899.0,38.0,1672.0,189.0,167.0,015,70525,50,1710.0,356.0
5001546675,"Morristown town, Lamoille County, Vermont",2280.0,2025.0,30.0,1786.0,209.0,255.0,015,46675,50,1816.0,464.0
5001577425,"Waterville town, Lamoille County, Vermont",297.0,268.0,0.0,233.0,35.0,29.0,015,77425,50,233.0,64.0
5001511500,"Cambridge town, Lamoille County, Vermont",1591.0,1448.0,9.0,1276.0,163.0,143.0,015,11500,50,1285.0,306.0
5001585375,"Wolcott town, Lamoille County, Vermont",635.0,553.0,2.0,522.0,29.0,82.0,015,85375,50,524.0,111.0
5001523500,"Eden town, Lamoille County, Vermont",475.0,363.0,11.0,319.0,33.0,112.0,015,23500,50,330.0,145.0
5001537075,"Johnson town, Lamoille County, Vermont",1252.0,1104.0,3.0,993.0,108.0,148.0,015,37075,50,996.0,256.0
5001523725,"Elmore town, Lamoille County, Vermont",359.0,333.0,2.0,319.0,12.0,26.0,015,23725,50,321.0,38.0
5001535050,"Hyde Park town, Lamoille County, Vermont",1278.0,1097.0,50.0,881.0,166.0,181.0,015,35050,50,931.0,347.0
5002741275,"Ludlow town, Windsor County, Vermont",938.0,791.0,0.0,710.0,81.0,147.0,027,41275,50,710.0,228.0
5002712250,"Cavendish town, Windsor County, Vermont",566.0,460.0,7.0,415.0,38.0,106.0,027,12250,50,422.0,144.0
5002760850,"Royalton town, Windsor County, Vermont",1210.0,1037.0,19.0,877.0,141.0,173.0,027,60850,50,896.0,314.0
5002782000,"Weston town, Windsor County, Vermont",242.0,221.0,4.0,203.0,14.0,21.0,027,82000,50,207.0,35.0
5002785975,"Woodstock town, Windsor County, Vermont",1325.0,1246.0,3.0,1150.0,93.0,79.0,027,85975,50,1153.0,172.0
500271300,"Andover town, Windsor County, Vermont",217.0,187.0,0.0,165.0,22.0,30.0,027,1300,50,165.0,52.0
5002769550,"Springfield town, Windsor County, Vermont",3888.0,3279.0,47.0,2900.0,332.0,609.0,027,69550,50,2947.0,941.0
5002777500,"Weathersfield town, Windsor County, Vermont",1138.0,1009.0,8.0,928.0,73.0,129.0,027,77500,50,936.0,202.0
5002770375,"Stockbridge town, Windsor County, Vermont",330.0,293.0,12.0,253.0,28.0,37.0,027,70375,50,265.0,65.0
5002752900,"Norwich town, Windsor County, Vermont",1297.0,1187.0,0.0,1149.0,38.0,110.0,027,52900,50,1149.0,148.0
5002756350,"Pomfret town, Windsor County, Vermont",419.0,386.0,12.0,360.0,14.0,33.0,027,56350,50,372.0,47.0
5002763775,"Sharon town, Windsor County, Vermont",615.0,555.0,7.0,486.0,62.0,60.0,027,63775,50,493.0,122.0
5002783050,"West Windsor town, Windsor County, Vermont",436.0,391.0,5.0,365.0,21.0,45.0,027,83050,50,370.0,66.0
500272575,"Baltimore town, Windsor County, Vermont",94.0,89.0,0.0,79.0,10.0,5.0,027,2575,50,79.0,15.0
500272725,"Barnard town, Windsor County, Vermont",332.0,286.0,0.0,255.0,31.0,46.0,027,2725,50,255.0,77.0
5002732425,"Hartland town, Windsor County, Vermont",1503.0,1408.0,0.0,1264.0,144.0,95.0,027,32425,50,1264.0,239.0
5002732275,"Hartford town, Windsor County, Vermont",4447.0,3922.0,9.0,3577.0,336.0,525.0,027,32275,50,3586.0,861.0
5002758375,"Reading town, Windsor County, Vermont",271.0,253.0,0.0,210.0,43.0,18.0,027,58375,50,210.0,61.0
5002784925,"Windsor town, Windsor County, Vermont",1492.0,1271.0,0.0,1074.0,197.0,221.0,027,84925,50,1074.0,418.0
5002756050,"Plymouth town, Windsor County, Vermont",226.0,205.0,0.0,185.0,20.0,21.0,027,56050,50,185.0,41.0
500278275,"Bridgewater town, Windsor County, Vermont",437.0,416.0,4.0,360.0,52.0,21.0,027,8275,50,364.0,73.0
5002713675,"Chester town, Windsor County, Vermont",1334.0,1094.0,8.0,1030.0,56.0,240.0,027,13675,50,1038.0,296.0
5002760100,"Rochester town, Windsor County, Vermont",500.0,432.0,3.0,401.0,28.0,68.0,027,60100,50,404.0,96.0
500275800,"Bethel town, Windsor County, Vermont",864.0,725.0,40.0,636.0,49.0,139.0,027,5800,50,676.0,188.0
5001126500,"Fletcher town, Franklin County, Vermont",562.0,526.0,15.0,482.0,29.0,36.0,011,26500,50,497.0,65.0
500112500,"Bakersfield town, Franklin County, Vermont",491.0,425.0,6.0,403.0,16.0,66.0,011,2500,50,409.0,82.0
5001124925,"Fairfax town, Franklin County, Vermont",1654.0,1391.0,14.0,1307.0,70.0,263.0,011,24925,50,1321.0,333.0
5001127700,"Georgia town, Franklin County, Vermont",1565.0,1450.0,0.0,1379.0,71.0,115.0,011,27700,50,1379.0,186.0
5001171725,"Swanton town, Franklin County, Vermont",2608.0,2341.0,13.0,2064.0,264.0,267.0,011,71725,50,2077.0,531.0
5001161750,"St. Albans town, Franklin County, Vermont",2387.0,2013.0,52.0,1865.0,96.0,374.0,011,61750,50,1917.0,470.0
500115425,"Berkshire town, Franklin County, Vermont",596.0,505.0,7.0,409.0,89.0,91.0,011,5425,50,416.0,180.0
5001161675,"St. Albans city, Franklin County, Vermont",2815.0,2328.0,4.0,1979.0,345.0,487.0,011,61675,50,1983.0,832.0
5001127100,"Franklin town, Franklin County, Vermont",564.0,473.0,4.0,436.0,33.0,91.0,011,27100,50,440.0,124.0
5001145850,"Montgomery town, Franklin County, Vermont",403.0,380.0,8.0,342.0,30.0,23.0,011,45850,50,350.0,53.0
5001164600,"Sheldon town, Franklin County, Vermont",912.0,755.0,26.0,704.0,25.0,157.0,011,64600,50,730.0,182.0
5001133025,"Highgate town, Franklin County, Vermont",1280.0,967.0,0.0,877.0,90.0,313.0,011,33025,50,877.0,403.0
5001159125,"Richford town, Franklin County, Vermont",974.0,717.0,0.0,654.0,63.0,257.0,011,59125,50,654.0,320.0
5001125225,"Fairfield town, Franklin County, Vermont",710.0,656.0,30.0,589.0,37.0,54.0,011,25225,50,619.0,91.0
5000531825,"Hardwick town, Caledonia County, Vermont",1164.0,858.0,8.0,693.0,157.0,306.0,005,31825,50,701.0,463.0
5000571575,"Sutton town, Caledonia County, Vermont",366.0,308.0,30.0,250.0,28.0,58.0,005,71575,50,280.0,86.0
5000517125,"Danville town, Caledonia County, Vermont",945.0,807.0,15.0,683.0,109.0,138.0,005,17125,50,698.0,247.0
5000561525,"Ryegate town, Caledonia County, Vermont",411.0,361.0,2.0,290.0,69.0,50.0,005,61525,50,292.0,119.0
5000562200,"St. Johnsbury town, Caledonia County, Vermont",3071.0,2622.0,53.0,2234.0,335.0,449.0,005,62200,50,2287.0,784.0
5000577125,"Waterford town, Caledonia County, Vermont",529.0,412.0,3.0,352.0,57.0,117.0,005,77125,50,355.0,174.0
5000554400,"Peacham town, Caledonia County, Vermont",267.0,248.0,5.0,217.0,26.0,19.0,005,54400,50,222.0,45.0
5000575700,"Walden town, Caledonia County, Vermont",417.0,330.0,7.0,303.0,20.0,87.0,005,75700,50,310.0,107.0
5000541725,"Lyndon town, Caledonia County, Vermont",2213.0,1766.0,9.0,1440.0,317.0,447.0,005,41725,50,1449.0,764.0
5000547725,"Newark town, Caledonia County, Vermont",239.0,188.0,18.0,125.0,45.0,51.0,005,47725,50,143.0,96.0
5000530550,"Groton town, Caledonia County, Vermont",371.0,301.0,3.0,260.0,38.0,70.0,005,30550,50,263.0,108.0
5000537900,"Kirby town, Caledonia County, Vermont",210.0,181.0,1.0,150.0,30.0,29.0,005,37900,50,151.0,59.0
5000569925,"Stannard town, Caledonia County, Vermont",96.0,74.0,1.0,69.0,4.0,22.0,005,69925,50,70.0,26.0
5000583500,"Wheelock town, Caledonia County, Vermont",349.0,291.0,16.0,246.0,29.0,58.0,005,83500,50,262.0,87.0
500052875,"Barnet town, Caledonia County, Vermont",604.0,544.0,18.0,447.0,79.0,60.0,005,2875,50,465.0,139.0
5000510450,"Burke town, Caledonia County, Vermont",592.0,510.0,15.0,432.0,63.0,82.0,005,10450,50,447.0,145.0
5000564075,"Sheffield town, Caledonia County, Vermont",250.0,217.0,0.0,186.0,31.0,33.0,005,64075,50,186.0,64.0
5002560250,"Rockingham town, Windham County, Vermont",2134.0,1789.0,20.0,1465.0,304.0,345.0,025,60250,50,1485.0,649.0
5002574800,"Vernon town, Windham County, Vermont",840.0,713.0,6.0,655.0,52.0,127.0,025,74800,50,661.0,179.0
5002536175,"Jamaica town, Windham County, Vermont",373.0,281.0,0.0,248.0,33.0,92.0,025,36175,50,248.0,125.0
500257900,"Brattleboro town, Windham County, Vermont",5421.0,4896.0,39.0,4088.0,769.0,525.0,025,7900,50,4127.0,1294.0
5002530925,"Guilford town, Windham County, Vermont",947.0,869.0,4.0,801.0,64.0,78.0,025,30925,50,805.0,142.0
5002531150,"Halifax town, Windham County, Vermont",303.0,248.0,31.0,175.0,42.0,55.0,025,31150,50,206.0,97.0
5002543375,"Marlboro town, Windham County, Vermont",377.0,355.0,8.0,258.0,89.0,22.0,025,43375,50,266.0,111.0
5002576225,"Wardsboro town, Windham County, Vermont",347.0,301.0,9.0,259.0,33.0,46.0,025,76225,50,268.0,79.0
5002583950,"Whitingham town, Windham County, Vermont",654.0,577.0,16.0,451.0,110.0,77.0,025,83950,50,467.0,187.0
5002517875,"Dover town, Windham County, Vermont",621.0,556.0,10.0,466.0,80.0,65.0,025,17875,50,476.0,145.0
500259475,"Brookline town, Windham County, Vermont",273.0,247.0,0.0,205.0,42.0,26.0,025,9475,50,205.0,68.0
500251900,"Athens town, Windham County, Vermont",163.0,127.0,6.0,105.0,16.0,36.0,025,1900,50,111.0,52.0
5002584850,"Windham town, Windham County, Vermont",173.0,158.0,9.0,141.0,8.0,15.0,025,84850,50,150.0,23.0
5002518325,"Dummerston town, Windham County, Vermont",869.0,812.0,38.0,738.0,36.0,57.0,025,18325,50,776.0,93.0
5002528900,"Grafton town, Windham County, Vermont",297.0,234.0,0.0,215.0,19.0,63.0,025,28900,50,215.0,82.0
5002540225,"Londonderry town, Windham County, Vermont",725.0,642.0,35.0,540.0,67.0,83.0,025,40225,50,575.0,150.0
5002548400,"Newfane town, Windham County, Vermont",806.0,683.0,31.0,593.0,59.0,123.0,025,48400,50,624.0,182.0
5002557700,"Putney town, Windham County, Vermont",933.0,867.0,5.0,712.0,150.0,66.0,025,57700,50,717.0,216.0
5002581400,"Westminster town, Windham County, Vermont",1397.0,1160.0,10.0,1010.0,140.0,237.0,025,81400,50,1020.0,377.0
5002573300,"Townshend town, Windham County, Vermont",445.0,383.0,6.0,332.0,45.0,62.0,025,73300,50,338.0,107.0
5002570750,"Stratton town, Windham County, Vermont",109.0,103.0,2.0,92.0,9.0,6.0,025,70750,50,94.0,15.0
5002584700,"Wilmington town, Windham County, Vermont",844.0,750.0,6.0,645.0,99.0,94.0,025,84700,50,651.0,193.0
5002565762,"Somerset town, Windham County, Vermont",8.0,0.0,0.0,0.0,0.0,8.0,025,65762,50,0.0,8.0
5000355000,"Peru town, Bennington County, Vermont",157.0,152.0,1.0,139.0,12.0,5.0,003,55000,50,140.0,17.0
5000361000,"Rupert town, Bennington County, Vermont",292.0,250.0,7.0,220.0,23.0,42.0,003,61000,50,227.0,65.0
5000327962,"Glastenbury town, Bennington County, Vermont",3.0,3.0,0.0,3.0,0.0,0.0,003,27962,50,3.0,0.0
5000362875,"Sandgate town, Bennington County, Vermont",144.0,119.0,5.0,99.0,15.0,25.0,003,62875,50,104.0,40.0
5000385675,"Woodford town, Bennington County, Vermont",155.0,131.0,0.0,112.0,19.0,24.0,003,85675,50,112.0,43.0
5000385075,"Winhall town, Bennington County, Vermont",304.0,277.0,3.0,243.0,31.0,27.0,003,85075,50,246.0,58.0
500031450,"Arlington town, Bennington County, Vermont",1107.0,970.0,24.0,905.0,41.0,137.0,003,1450,50,929.0,178.0
5000339025,"Landgrove town, Bennington County, Vermont",53.0,48.0,0.0,43.0,5.0,5.0,003,39025,50,43.0,10.0
5000363175,"Searsburg town, Bennington County, Vermont",46.0,43.0,0.0,37.0,6.0,3.0,003,63175,50,37.0,9.0
5000358600,"Readsboro town, Bennington County, Vermont",357.0,270.0,7.0,235.0,28.0,87.0,003,58600,50,242.0,115.0
5000342850,"Manchester town, Bennington County, Vermont",2030.0,1727.0,0.0,1633.0,94.0,303.0,003,42850,50,1633.0,397.0
5000371425,"Sunderland town, Bennington County, Vermont",421.0,387.0,17.0,352.0,18.0,34.0,003,71425,50,369.0,52.0
500034825,"Bennington town, Bennington County, Vermont",6186.0,5320.0,54.0,4596.0,670.0,866.0,003,4825,50,4650.0,1536.0
5000357025,"Pownal town, Bennington County, Vermont",1347.0,1197.0,33.0,961.0,203.0,150.0,003,57025,50,994.0,353.0
5000363550,"Shaftsbury town, Bennington County, Vermont",1427.0,1268.0,17.0,1040.0,211.0,159.0,003,63550,50,1057.0,370.0
