geoid,name,total,native,foreign_born,county,county subdivision,state
4506592262,"Mount Carmel CCD, McCormick County, South Carolina",2176.0,2111.0,65.0,065,92262,45
4505990663,"Clinton CCD, Laurens County, South Carolina",15119.0,14732.0,387.0,059,90663,45
4505991924,"Laurens CCD, Laurens County, South Carolina",20776.0,20071.0,705.0,059,91924,45
4505991690,"Joanna CCD, Laurens County, South Carolina",2239.0,2235.0,4.0,059,91690,45
4506592561,"Parksville CCD, McCormick County, South Carolina",2122.0,2093.0,29.0,065,92561,45
4506592119,"McCormick CCD, McCormick County, South Carolina",5396.0,5335.0,61.0,065,92119,45
4507790533,"Central CCD, Pickens County, South Carolina",11766.0,10748.0,1018.0,077,90533,45
4507790936,"Easley CCD, Pickens County, South Carolina",37449.0,36380.0,1069.0,077,90936,45
4507792639,"Pickens CCD, Pickens County, South Carolina",15199.0,14969.0,230.0,077,92639,45
4507790949,"Easley East CCD, Pickens County, South Carolina",10236.0,10086.0,150.0,077,90949,45
4507793146,"Six Mile CCD, Pickens County, South Carolina",10554.0,10380.0,174.0,077,93146,45
4507790650,"Clemson CCD, Pickens County, South Carolina",19991.0,18402.0,1589.0,077,90650,45
4507791950,"Liberty CCD, Pickens County, South Carolina",13033.0,12716.0,317.0,077,91950,45
4508791742,"Jonesville CCD, Union County, South Carolina",3824.0,3777.0,47.0,087,91742,45
4508790507,"Carlisle CCD, Union County, South Carolina",1659.0,1638.0,21.0,087,90507,45
4508790832,"Cross Keys CCD, Union County, South Carolina",969.0,969.0,0.0,087,90832,45
4508793679,"West Springs CCD, Union County, South Carolina",2206.0,2197.0,9.0,087,93679,45
4508791989,"Lockhart CCD, Union County, South Carolina",2564.0,2564.0,0.0,087,91989,45
4508793497,"Union CCD, Union County, South Carolina",16550.0,16403.0,147.0,087,93497,45
4508991495,"Hemingway CCD, Williamsburg County, South Carolina",4700.0,4666.0,34.0,089,91495,45
4508993458,"Trio CCD, Williamsburg County, South Carolina",2555.0,2553.0,2.0,089,93458,45
4508991339,"Greeleyville CCD, Williamsburg County, South Carolina",2513.0,2512.0,1.0,089,91339,45
4508991768,"Kingstree CCD, Williamsburg County, South Carolina",12518.0,12281.0,237.0,089,91768,45
4508992353,"Nesmith CCD, Williamsburg County, South Carolina",2424.0,2410.0,14.0,089,92353,45
4508991898,"Lane CCD, Williamsburg County, South Carolina",4090.0,3821.0,269.0,089,91898,45
4500390026,"Aiken CCD, Aiken County, South Carolina",63942.0,60769.0,3173.0,003,90026,45
4500391651,"Jackson CCD, Aiken County, South Carolina",3433.0,3400.0,33.0,003,91651,45
4500390208,"Beech Island CCD, Aiken County, South Carolina",8233.0,7792.0,441.0,003,90208,45
4500392379,"New Ellenton CCD, Aiken County, South Carolina",11595.0,11044.0,551.0,003,92379,45
4500392418,"North Augusta CCD, Aiken County, South Carolina",55757.0,53132.0,2625.0,003,92418,45
4500392977,"Salley CCD, Aiken County, South Carolina",2551.0,2526.0,25.0,003,92977,45
4500393562,"Wagener CCD, Aiken County, South Carolina",4669.0,4573.0,96.0,003,93562,45
4500392223,"Monetta CCD, Aiken County, South Carolina",4709.0,4534.0,175.0,003,92223,45
4500393744,"Windsor CCD, Aiken County, South Carolina",5326.0,5208.0,118.0,003,93744,45
4500591092,"Fairfax CCD, Allendale County, South Carolina",3671.0,3578.0,93.0,005,91092,45
4500592197,"Millett CCD, Allendale County, South Carolina",452.0,452.0,0.0,005,92197,45
4500590052,"Allendale CCD, Allendale County, South Carolina",4241.0,4241.0,0.0,005,90052,45
4500593367,"Sycamore CCD, Allendale County, South Carolina",1038.0,1018.0,20.0,005,93367,45
4507193705,"Whitmire CCD, Newberry County, South Carolina",3355.0,3322.0,33.0,071,93705,45
4507192366,"Newberry CCD, Newberry County, South Carolina",18506.0,17310.0,1196.0,071,92366,45
4507192704,"Pomaria CCD, Newberry County, South Carolina",3682.0,3585.0,97.0,071,92704,45
