geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
1322190814,"Crawford CCD, Oglethorpe County, Georgia",10972.0,5498.0,5474.0,9808.0,4886.0,4922.0,462.0,304.0,158.0,578.0,286.0,292.0,124.0,22.0,102.0,0.0,0.0,0.0,221,90814,13
1302191891,"Macon East CCD, Bibb County, Georgia",20908.0,9539.0,11369.0,16616.0,7555.0,9061.0,2660.0,1259.0,1401.0,1476.0,688.0,788.0,127.0,37.0,90.0,29.0,0.0,29.0,021,91891,13
1325593180,"Vaughn CCD, Spalding County, Georgia",3117.0,1492.0,1625.0,2969.0,1414.0,1555.0,9.0,0.0,9.0,131.0,78.0,53.0,8.0,0.0,8.0,0.0,0.0,0.0,255,93180,13
1302191892,"Macon West CCD, Bibb County, Georgia",97635.0,45054.0,52581.0,78477.0,36333.0,42144.0,12649.0,5790.0,6859.0,4728.0,2091.0,2637.0,1344.0,529.0,815.0,437.0,311.0,126.0,021,91892,13
1325593071,"Towalaga CCD, Spalding County, Georgia",6530.0,3397.0,3133.0,6254.0,3212.0,3042.0,101.0,101.0,0.0,132.0,62.0,70.0,43.0,22.0,21.0,0.0,0.0,0.0,255,93071,13
1325590942,"Digbey CCD, Spalding County, Georgia",735.0,342.0,393.0,575.0,262.0,313.0,0.0,0.0,0.0,123.0,65.0,58.0,37.0,15.0,22.0,0.0,0.0,0.0,255,90942,13
1316991351,"Gray-Macon East CCD, Jones County, Georgia",24675.0,11804.0,12871.0,22111.0,10477.0,11634.0,1045.0,527.0,518.0,1313.0,709.0,604.0,198.0,83.0,115.0,8.0,8.0,0.0,169,91351,13
1303593438,"Worthville CCD, Butts County, Georgia",5781.0,2668.0,3113.0,5152.0,2418.0,2734.0,335.0,122.0,213.0,270.0,116.0,154.0,24.0,12.0,12.0,0.0,0.0,0.0,035,93438,13
1303592822,"Southwest Butts CCD, Butts County, Georgia",5073.0,3627.0,1446.0,3225.0,1968.0,1257.0,78.0,60.0,18.0,1654.0,1493.0,161.0,108.0,98.0,10.0,8.0,8.0,0.0,035,92822,13
1327791052,"Eldorado CCD, Tift County, Georgia",3321.0,1714.0,1607.0,3114.0,1614.0,1500.0,45.0,13.0,32.0,61.0,61.0,0.0,75.0,26.0,49.0,26.0,0.0,26.0,277,91052,13
1300992015,"Milledgeville CCD, Baldwin County, Georgia",31847.0,15169.0,16678.0,23714.0,11463.0,12251.0,4814.0,2222.0,2592.0,2865.0,1255.0,1610.0,431.0,219.0,212.0,23.0,10.0,13.0,009,92015,13
1325791934,"Martin-Avalon CCD, Stephens County, Georgia",6949.0,3405.0,3544.0,6342.0,3101.0,3241.0,350.0,196.0,154.0,222.0,87.0,135.0,35.0,21.0,14.0,0.0,0.0,0.0,257,91934,13
1308393084,"Trenton CCD, Dade County, Georgia",7762.0,3723.0,4039.0,6969.0,3425.0,3544.0,280.0,72.0,208.0,65.0,56.0,9.0,408.0,167.0,241.0,40.0,3.0,37.0,083,93084,13
1307391383,"Grovetown-Harlem CCD, Columbia County, Georgia",31669.0,15657.0,16012.0,27505.0,13558.0,13947.0,853.0,479.0,374.0,1177.0,506.0,671.0,1580.0,781.0,799.0,554.0,333.0,221.0,073,91383,13
1300990992,"East Baldwin CCD, Baldwin County, Georgia",5448.0,2840.0,2608.0,4900.0,2593.0,2307.0,22.0,5.0,17.0,503.0,242.0,261.0,23.0,0.0,23.0,0.0,0.0,0.0,009,90992,13
1329591810,"Lookout Mountain CCD, Walker County, Georgia",3055.0,1484.0,1571.0,2594.0,1222.0,1372.0,242.0,160.0,82.0,55.0,26.0,29.0,163.0,75.0,88.0,1.0,1.0,0.0,295,91810,13
1312392805,"South Gilmer CCD, Gilmer County, Georgia",3803.0,1984.0,1819.0,3514.0,1795.0,1719.0,101.0,69.0,32.0,135.0,77.0,58.0,30.0,20.0,10.0,23.0,23.0,0.0,123,92805,13
1312392206,"North Gilmer CCD, Gilmer County, Georgia",5354.0,2642.0,2712.0,4947.0,2382.0,2565.0,172.0,116.0,56.0,151.0,97.0,54.0,62.0,25.0,37.0,22.0,22.0,0.0,123,92206,13
1321792810,"South Newton CCD, Newton County, Georgia",10120.0,4802.0,5318.0,8834.0,4358.0,4476.0,824.0,324.0,500.0,301.0,119.0,182.0,161.0,1.0,160.0,0.0,0.0,0.0,217,92810,13
1313590469,"Buford-Sugar Hill CCD, Gwinnett County, Georgia",51617.0,25296.0,26321.0,44567.0,21875.0,22692.0,3362.0,1563.0,1799.0,2034.0,968.0,1066.0,1080.0,576.0,504.0,574.0,314.0,260.0,135,90469,13
1310590719,"Coldwater CCD, Elbert County, Georgia",2752.0,1258.0,1494.0,2649.0,1241.0,1408.0,81.0,17.0,64.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,105,90719,13
1305192393,"Pooler-Bloomingdale CCD, Chatham County, Georgia",56529.0,27445.0,29084.0,45390.0,21626.0,23764.0,5843.0,3086.0,2757.0,2103.0,1159.0,944.0,2495.0,1086.0,1409.0,698.0,488.0,210.0,051,92393,13
1305193127,"Tybee Island-Wilmington Island CCD, Chatham County, Georgia",27660.0,13662.0,13998.0,24523.0,12142.0,12381.0,1844.0,865.0,979.0,290.0,218.0,72.0,838.0,366.0,472.0,165.0,71.0,94.0,051,93127,13
1317391010,"East Lanier CCD, Lanier County, Georgia",2089.0,1084.0,1005.0,1957.0,1011.0,946.0,70.0,39.0,31.0,57.0,34.0,23.0,5.0,0.0,5.0,0.0,0.0,0.0,173,91010,13
1300190273,"Big Satilla Creek CCD, Appling County, Georgia",3628.0,1749.0,1879.0,3505.0,1662.0,1843.0,36.0,19.0,17.0,47.0,31.0,16.0,40.0,37.0,3.0,0.0,0.0,0.0,001,90273,13
1300192905,"Surrency-Troper CCD, Appling County, Georgia",1564.0,793.0,771.0,1512.0,761.0,751.0,21.0,10.0,11.0,31.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,001,92905,13
1324192103,"Mountain City CCD, Rabun County, Georgia",5457.0,2617.0,2840.0,5066.0,2475.0,2591.0,140.0,42.0,98.0,165.0,57.0,108.0,84.0,41.0,43.0,2.0,2.0,0.0,241,92103,13
1302392198,"Northeast Bleckley CCD, Bleckley County, Georgia",723.0,417.0,306.0,703.0,417.0,286.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,023,92198,13
1311392331,"Peachtree City-Tyrone CCD, Fayette County, Georgia",57358.0,27532.0,29826.0,49139.0,23747.0,25392.0,3149.0,1302.0,1847.0,1916.0,1074.0,842.0,2597.0,1172.0,1425.0,557.0,237.0,320.0,113,92331,13
1312791599,"Jekyll Island CCD, Glynn County, Georgia",589.0,325.0,264.0,513.0,272.0,241.0,10.0,10.0,0.0,14.0,6.0,8.0,20.0,20.0,0.0,32.0,17.0,15.0,127,91599,13
1321591213,"Fort Benning CCD, Muscogee County, Georgia",10464.0,6891.0,3573.0,4434.0,2141.0,2293.0,245.0,152.0,93.0,492.0,294.0,198.0,5063.0,4118.0,945.0,230.0,186.0,44.0,215,91213,13
