geoid,name,total,native,foreign_born,county,county subdivision,state
551258950,"Boulder Junction town, Vilas County, Wisconsin",909.0,884.0,25.0,125,8950,55
5512563625,"Plum Lake town, Vilas County, Wisconsin",561.0,558.0,3.0,125,63625,55
5512544525,"Lincoln town, Vilas County, Wisconsin",2248.0,2227.0,21.0,125,44525,55
5512570725,"St. Germain town, Vilas County, Wisconsin",1928.0,1910.0,18.0,125,70725,55
551252450,"Arbor Vitae town, Vilas County, Wisconsin",3316.0,3248.0,68.0,125,2450,55
5502365050,"Prairie du Chien city, Crawford County, Wisconsin",5715.0,5703.0,12.0,023,65050,55
5502346675,"Lynxville village, Crawford County, Wisconsin",215.0,215.0,0.0,023,46675,55
5502349275,"Marietta town, Crawford County, Wisconsin",410.0,395.0,15.0,023,49275,55
5502321900,"Eastman village, Crawford County, Wisconsin",437.0,432.0,5.0,023,21900,55
5502377175,"Steuben village, Crawford County, Wisconsin",84.0,84.0,0.0,023,77175,55
5502384725,"Wauzeka village, Crawford County, Wisconsin",752.0,752.0,0.0,023,84725,55
550239550,"Bridgeport town, Crawford County, Wisconsin",989.0,986.0,3.0,023,9550,55
5502354900,"Mount Sterling village, Crawford County, Wisconsin",158.0,158.0,0.0,023,54900,55
5502319850,"De Soto village, Crawford County, Wisconsin",118.0,117.0,1.0,023,19850,55
5502315075,"Clayton town, Crawford County, Wisconsin",992.0,962.0,30.0,023,15075,55
5502321925,"Eastman town, Crawford County, Wisconsin",751.0,741.0,10.0,023,21925,55
5502332500,"Haney town, Crawford County, Wisconsin",276.0,275.0,1.0,023,32500,55
5502372275,"Scott town, Crawford County, Wisconsin",465.0,457.0,8.0,023,72275,55
5502374550,"Soldiers Grove village, Crawford County, Wisconsin",586.0,574.0,12.0,023,74550,55
5502384750,"Wauzeka town, Crawford County, Wisconsin",360.0,357.0,3.0,023,84750,55
5502327700,"Freeman town, Crawford County, Wisconsin",669.0,652.0,17.0,023,27700,55
550236225,"Bell Center village, Crawford County, Wisconsin",139.0,139.0,0.0,023,6225,55
5505712350,"Camp Douglas village, Juneau County, Wisconsin",602.0,589.0,13.0,057,12350,55
5505725850,"Finley town, Juneau County, Wisconsin",94.0,92.0,2.0,057,25850,55
5505755725,"Necedah town, Juneau County, Wisconsin",2669.0,2626.0,43.0,057,55725,55
5505728850,"Germantown town, Juneau County, Wisconsin",1461.0,1420.0,41.0,057,28850,55
5505736675,"Hustler village, Juneau County, Wisconsin",187.0,185.0,2.0,057,36675,55
5505739800,"Kingston town, Juneau County, Wisconsin",63.0,63.0,0.0,057,39800,55
5505718225,"Cutler town, Juneau County, Wisconsin",342.0,340.0,2.0,057,18225,55
5505746600,"Lyndon Station village, Juneau County, Wisconsin",474.0,467.0,7.0,057,46600,55
5505772625,"Seven Mile Creek town, Juneau County, Wisconsin",341.0,341.0,0.0,057,72625,55
5505781725,"Union Center village, Juneau County, Wisconsin",166.0,151.0,15.0,057,81725,55
5505726825,"Fountain town, Juneau County, Wisconsin",590.0,583.0,7.0,057,26825,55
5505743300,"Lemonweir town, Juneau County, Wisconsin",1547.0,1515.0,32.0,057,43300,55
5505788525,"Wonewoc town, Juneau County, Wisconsin",790.0,790.0,0.0,057,88525,55
5505715225,"Clearfield town, Juneau County, Wisconsin",676.0,659.0,17.0,057,15225,55
5505739575,"Kildare town, Juneau County, Wisconsin",578.0,546.0,32.0,057,39575,55
5505750025,"Mauston city, Juneau County, Wisconsin",4392.0,4307.0,85.0,057,50025,55
5505744825,"Lisbon town, Juneau County, Wisconsin",910.0,904.0,6.0,057,44825,55
