geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
3500592670,"Roswell CCD, Chaves County, New Mexico",44930.0,30453.0,9617.0,3994.0,52.0,43.0,114.0,32.0,0.0,25.0,62.0,0.0,28.0,0.0,65.0,24.0,0.0,0.0,93.0,6.0,180.0,47.0,10.0,11.0,67.0,7.0,005,92670,35,40741.0,4189.0
3500592190,"Northeast Chaves CCD, Chaves County, New Mexico",80.0,60.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005,92190,35,74.0,6.0
3502591950,"Lovington CCD, Lea County, New Mexico",14131.0,7350.0,4294.0,2391.0,8.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,025,91950,35,11718.0,2413.0
3502591620,"Jal CCD, Lea County, New Mexico",1988.0,1078.0,599.0,286.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,025,91620,35,1694.0,294.0
3502591470,"Hobbs CCD, Lea County, New Mexico",43608.0,27264.0,10698.0,5197.0,105.0,0.0,43.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,45.0,0.0,25.0,9.0,134.0,50.0,025,91470,35,38342.0,5266.0
3502591230,"Eunice CCD, Lea County, New Mexico",3017.0,1967.0,787.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,91230,35,2754.0,263.0
3502593360,"Tatum CCD, Lea County, New Mexico",1144.0,731.0,269.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,93360,35,1000.0,144.0
3504992880,"Santa Fe South CCD, Santa Fe County, New Mexico",39490.0,30462.0,5839.0,1833.0,197.0,16.0,349.0,31.0,43.0,0.0,339.0,87.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,80.0,23.0,0.0,0.0,166.0,8.0,049,92880,35,37492.0,1998.0
3504992820,"Santa Fe CCD, Santa Fe County, New Mexico",84447.0,54162.0,18279.0,9026.0,393.0,46.0,378.0,33.0,326.0,17.0,348.0,49.0,52.0,15.0,154.0,22.0,25.0,20.0,136.0,0.0,289.0,95.0,49.0,0.0,493.0,40.0,049,92820,35,75084.0,9363.0
3504992850,"Santa Fe North CCD, Santa Fe County, New Mexico",16673.0,7863.0,6135.0,1262.0,151.0,0.0,57.0,0.0,11.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,2.0,36.0,5.0,11.0,3.0,0.0,0.0,1054.0,37.0,049,92850,35,15359.0,1314.0
