geoid,name,total,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,county,county subdivision,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
1500191350,"Keaau-Mountain View CCD, Hawaii County, Hawaii",36124,18572.0,979.0,1222.0,1323.0,916.0,594.0,132.0,160.0,757.0,1115.0,1019.0,1072.0,1154.0,1020.0,995.0,1471.0,861.0,802.0,580.0,735.0,593.0,493.0,268.0,311.0,17552.0,1005.0,842.0,1003.0,769.0,335.0,115.0,319.0,371.0,1036.0,1079.0,1373.0,1234.0,972.0,1218.0,1473.0,855.0,772.0,471.0,531.0,540.0,430.0,300.0,509.0,001,91350,15,1984.0,2064.0,2326.0,1685.0,929.0,247.0,479.0,1128.0,2151.0,2098.0,2445.0,2388.0,1992.0,2213.0,2944.0,1716.0,1574.0,1051.0,1266.0,1133.0,923.0,568.0,820.0,8059.0,4440.0,3619.0,6075.0,3461.0,2614.0,4048.0,2201.0,1847.0,4011.0,2239.0,1772.0,7032.0,3777.0,3255.0,6825.0,3246.0,3579.0,8447.0,4129.0,4318.0,5761.0,2980.0,2781.0
1500192430,"North Hilo CCD, Hawaii County, Hawaii",1617,850.0,56.0,116.0,34.0,36.0,3.0,0.0,0.0,26.0,60.0,44.0,31.0,41.0,46.0,26.0,61.0,45.0,43.0,80.0,7.0,23.0,35.0,3.0,34.0,767.0,45.0,24.0,30.0,24.0,12.0,0.0,8.0,19.0,43.0,54.0,47.0,41.0,21.0,31.0,73.0,68.0,53.0,23.0,0.0,22.0,20.0,59.0,50.0,001,92430,15,101.0,140.0,64.0,60.0,15.0,0.0,8.0,45.0,103.0,98.0,78.0,82.0,67.0,57.0,134.0,113.0,96.0,103.0,7.0,45.0,55.0,62.0,84.0,365.0,242.0,123.0,264.0,186.0,78.0,241.0,172.0,69.0,124.0,70.0,54.0,269.0,133.0,136.0,227.0,118.0,109.0,400.0,175.0,225.0,356.0,182.0,174.0
1500391800,"Koolaupoko CCD, Honolulu County, Hawaii",115160,58613.0,3771.0,3105.0,3365.0,1819.0,1575.0,1141.0,1561.0,3525.0,4745.0,4158.0,3414.0,3132.0,3179.0,3738.0,3861.0,1383.0,2049.0,1283.0,1604.0,2361.0,1452.0,1242.0,1150.0,56547.0,3149.0,3568.0,3311.0,2071.0,991.0,728.0,585.0,2204.0,3601.0,3817.0,3202.0,3573.0,3139.0,3837.0,4265.0,1394.0,2146.0,1504.0,1838.0,2423.0,1793.0,1545.0,1863.0,003,91800,15,6920.0,6673.0,6676.0,3890.0,2566.0,1869.0,2146.0,5729.0,8346.0,7975.0,6616.0,6705.0,6318.0,7575.0,8126.0,2777.0,4195.0,2787.0,3442.0,4784.0,3245.0,2787.0,3013.0,24159.0,12060.0,12099.0,17239.0,8289.0,8950.0,13593.0,6876.0,6717.0,10566.0,5184.0,5382.0,28631.0,16705.0,11926.0,19639.0,9725.0,9914.0,22673.0,11031.0,11642.0,20058.0,9092.0,10966.0
1500393420,"Wahiawa CCD, Honolulu County, Hawaii",45685,25350.0,2657.0,1768.0,1801.0,606.0,886.0,1079.0,1137.0,3190.0,3102.0,2074.0,1304.0,979.0,906.0,759.0,844.0,211.0,272.0,275.0,278.0,386.0,246.0,273.0,317.0,20335.0,2430.0,1865.0,1378.0,557.0,396.0,321.0,397.0,1436.0,2304.0,1961.0,1283.0,876.0,853.0,697.0,702.0,260.0,398.0,223.0,303.0,428.0,495.0,347.0,425.0,003,93420,15,5087.0,3633.0,3179.0,1163.0,1282.0,1400.0,1534.0,4626.0,5406.0,4035.0,2587.0,1855.0,1759.0,1456.0,1546.0,471.0,670.0,498.0,581.0,814.0,741.0,620.0,742.0,13062.0,6832.0,6230.0,7975.0,4175.0,3800.0,8720.0,4425.0,4295.0,4342.0,2407.0,1935.0,18283.0,11468.0,6815.0,6201.0,3189.0,3012.0,4143.0,2086.0,2057.0,3996.0,1775.0,2221.0
1500390270,"Ewa CCD, Honolulu County, Hawaii",344153,175149.0,12867.0,11218.0,11905.0,6565.0,3873.0,2935.0,3186.0,8493.0,14932.0,12787.0,11995.0,11290.0,11578.0,11027.0,9652.0,3911.0,4817.0,3581.0,4333.0,5417.0,3848.0,2611.0,2328.0,169004.0,11667.0,10693.0,10694.0,6090.0,3497.0,1933.0,1844.0,7272.0,12789.0,12428.0,11040.0,10784.0,10523.0,10337.0,10728.0,3912.0,5224.0,3976.0,4982.0,5779.0,4378.0,3666.0,4768.0,003,90270,15,24534.0,21911.0,22599.0,12655.0,7370.0,4868.0,5030.0,15765.0,27721.0,25215.0,23035.0,22074.0,22101.0,21364.0,20380.0,7823.0,10041.0,7557.0,9315.0,11196.0,8226.0,6277.0,7096.0,81699.0,42555.0,39144.0,57165.0,29688.0,27477.0,46445.0,24085.0,22360.0,35254.0,18470.0,16784.0,85969.0,46206.0,39763.0,67210.0,34863.0,32347.0,59608.0,29407.0,30201.0,49667.0,22118.0,27549.0
1500393510,"Waialua CCD, Honolulu County, Hawaii",12733,6334.0,497.0,406.0,301.0,170.0,91.0,127.0,105.0,367.0,722.0,634.0,502.0,411.0,322.0,326.0,278.0,139.0,172.0,90.0,113.0,206.0,181.0,29.0,145.0,6399.0,474.0,357.0,336.0,149.0,130.0,47.0,140.0,386.0,694.0,506.0,461.0,338.0,374.0,376.0,335.0,118.0,222.0,150.0,116.0,322.0,96.0,135.0,137.0,003,93510,15,971.0,763.0,637.0,319.0,221.0,174.0,245.0,753.0,1416.0,1140.0,963.0,749.0,696.0,702.0,613.0,257.0,394.0,240.0,229.0,528.0,277.0,164.0,282.0,2690.0,1374.0,1316.0,1719.0,877.0,842.0,1734.0,903.0,831.0,956.0,471.0,485.0,3949.0,2046.0,1903.0,2408.0,1235.0,1173.0,1966.0,915.0,1051.0,1720.0,764.0,956.0
1500391710,"Koolauloa CCD, Honolulu County, Hawaii",20788,10745.0,833.0,762.0,858.0,328.0,450.0,165.0,243.0,635.0,1048.0,991.0,658.0,524.0,465.0,519.0,543.0,306.0,248.0,221.0,261.0,250.0,149.0,161.0,127.0,10043.0,1020.0,770.0,709.0,369.0,458.0,144.0,205.0,546.0,766.0,793.0,579.0,380.0,467.0,535.0,494.0,205.0,388.0,160.0,277.0,251.0,165.0,159.0,203.0,003,91710,15,1853.0,1532.0,1567.0,697.0,908.0,309.0,448.0,1181.0,1814.0,1784.0,1237.0,904.0,932.0,1054.0,1037.0,511.0,636.0,381.0,538.0,501.0,314.0,320.0,330.0,5649.0,2781.0,2868.0,3796.0,1948.0,1848.0,3385.0,1595.0,1790.0,2264.0,1186.0,1078.0,6444.0,3532.0,2912.0,3073.0,1647.0,1426.0,3238.0,1616.0,1622.0,2384.0,1169.0,1215.0
1500393600,"Waianae CCD, Honolulu County, Hawaii",49089,23949.0,2100.0,1879.0,1813.0,1139.0,705.0,278.0,374.0,1365.0,1703.0,1646.0,1557.0,1385.0,1296.0,1339.0,1404.0,561.0,853.0,451.0,455.0,790.0,426.0,286.0,144.0,25140.0,2074.0,1689.0,1971.0,1194.0,678.0,452.0,336.0,1158.0,1861.0,1523.0,1592.0,1401.0,1705.0,1413.0,1707.0,526.0,765.0,401.0,552.0,807.0,489.0,457.0,389.0,003,93600,15,4174.0,3568.0,3784.0,2333.0,1383.0,730.0,710.0,2523.0,3564.0,3169.0,3149.0,2786.0,3001.0,2752.0,3111.0,1087.0,1618.0,852.0,1007.0,1597.0,915.0,743.0,533.0,13859.0,6931.0,6928.0,9685.0,4831.0,4854.0,7742.0,3979.0,3763.0,6117.0,2952.0,3165.0,12079.0,6071.0,6008.0,8936.0,4238.0,4698.0,8568.0,4157.0,4411.0,5647.0,2552.0,3095.0
1500390810,"Honolulu CCD, Honolulu County, Hawaii",402452,198853.0,10476.0,9917.0,10197.0,5938.0,4069.0,2677.0,2774.0,8061.0,16289.0,15361.0,12886.0,13575.0,12851.0,13547.0,13663.0,5378.0,7189.0,5273.0,6285.0,7433.0,5655.0,3935.0,5424.0,203599.0,10629.0,9227.0,9490.0,5218.0,4146.0,2070.0,2386.0,7965.0,14435.0,13822.0,12940.0,12429.0,13272.0,13977.0,13830.0,4897.0,7763.0,5098.0,7160.0,9203.0,6721.0,6295.0,10626.0,003,90810,15,21105.0,19144.0,19687.0,11156.0,8215.0,4747.0,5160.0,16026.0,30724.0,29183.0,25826.0,26004.0,26123.0,27524.0,27493.0,10275.0,14952.0,10371.0,13445.0,16636.0,12376.0,10230.0,16050.0,71092.0,36528.0,34564.0,49987.0,26052.0,23935.0,40249.0,20393.0,19856.0,30843.0,16135.0,14708.0,94055.0,49231.0,44824.0,77953.0,39312.0,38641.0,80244.0,39777.0,40467.0,79108.0,34005.0,45103.0
1500991890,"Kula CCD, Maui County, Hawaii",13506,6520.0,343.0,334.0,177.0,124.0,106.0,50.0,58.0,46.0,376.0,300.0,321.0,308.0,506.0,539.0,694.0,141.0,494.0,226.0,374.0,493.0,193.0,194.0,123.0,6986.0,224.0,385.0,302.0,306.0,135.0,54.0,15.0,127.0,434.0,412.0,310.0,355.0,363.0,632.0,687.0,354.0,370.0,223.0,416.0,357.0,178.0,235.0,112.0,009,91890,15,567.0,719.0,479.0,430.0,241.0,104.0,73.0,173.0,810.0,712.0,631.0,663.0,869.0,1171.0,1381.0,495.0,864.0,449.0,790.0,850.0,371.0,429.0,235.0,2195.0,978.0,1217.0,1628.0,635.0,993.0,1286.0,677.0,609.0,909.0,301.0,608.0,2113.0,936.0,1177.0,2163.0,1135.0,1028.0,3911.0,1868.0,2043.0,3124.0,1603.0,1521.0
