geoid,name,total,native,foreign_born,county,county subdivision,state
4000193250,"Stilwell East CCD, Adair County, Oklahoma",9859.0,9605.0,254.0,001,93250,40
4000193796,"Westville CCD, Adair County, Oklahoma",5053.0,4993.0,60.0,001,93796,40
4000193588,"Watts CCD, Adair County, Oklahoma",2512.0,2458.0,54.0,001,93588,40
4000193263,"Stilwell West CCD, Adair County, Oklahoma",4712.0,4657.0,55.0,001,93263,40
4013391612,"Konawa CCD, Seminole County, Oklahoma",2758.0,2754.0,4.0,133,91612,40
4013392795,"Seminole South CCD, Seminole County, Oklahoma",2211.0,2206.0,5.0,133,92795,40
4013393835,"Wewoka CCD, Seminole County, Oklahoma",7486.0,7401.0,85.0,133,93835,40
4013392782,"Seminole North CCD, Seminole County, Oklahoma",12791.0,12534.0,257.0,133,92782,40
4013793432,"Velma-Alma CCD, Stephens County, Oklahoma",1898.0,1885.0,13.0,137,93432,40
4013791781,"Marlow CCD, Stephens County, Oklahoma",8433.0,8310.0,123.0,137,91781,40
4013790650,"Comanche CCD, Stephens County, Oklahoma",5992.0,5787.0,205.0,137,90650,40
4013790780,"Duncan CCD, Stephens County, Oklahoma",27970.0,27001.0,969.0,137,90780,40
4002591560,"Keyes CCD, Cimarron County, Oklahoma",399.0,357.0,42.0,025,91560,40
4002590286,"Boise City CCD, Cimarron County, Oklahoma",1822.0,1658.0,164.0,025,90286,40
4001193575,"Watonga CCD, Blaine County, Oklahoma",4653.0,4189.0,464.0,011,93575,40
4001190416,"Canton CCD, Blaine County, Oklahoma",1548.0,1529.0,19.0,011,90416,40
4001191170,"Geary CCD, Blaine County, Oklahoma",1876.0,1841.0,35.0,011,91170,40
4001192392,"Okeene CCD, Blaine County, Oklahoma",1603.0,1573.0,30.0,011,92392,40
4001990156,"Ardmore CCD, Carter County, Oklahoma",38119.0,36780.0,1339.0,019,90156,40
4001993861,"Wilson CCD, Carter County, Oklahoma",3324.0,3289.0,35.0,019,93861,40
4001990169,"Ardmore North CCD, Carter County, Oklahoma",2632.0,2563.0,69.0,019,90169,40
4001991287,"Healdton North CCD, Carter County, Oklahoma",1313.0,1302.0,11.0,019,91287,40
4001991274,"Healdton Central CCD, Carter County, Oklahoma",3019.0,3005.0,14.0,019,91274,40
