geoid,name,median,male,female,county,county subdivision,state
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",40.6,40.0,41.3,122,38460,02
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",40.8,40.4,41.3,261,14420,02
0206818765,"Denali census subarea, Denali Borough, Alaska",38.4,42.9,35.8,068,18765,02
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",32.2,35.8,24.9,261,17350,02
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",40.5,40.5,40.5,122,68610,02
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",31.9,34.0,30.3,290,46060,02
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",32.3,35.3,28.7,164,42780,02
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",36.6,38.1,34.4,240,72030,02
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",35.9,35.8,36.3,290,42080,02
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",32.8,34.3,31.2,290,86690,02
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",33.1,32.3,33.9,020,3050,02
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",42.7,42.4,44.3,013,1598,02
0219864310,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",43.4,45.4,41.4,198,64310,02
0223070810,"Skagway census subarea, Skagway Municipality, Alaska",42.9,43.7,41.7,230,70810,02
0219834575,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",-666666666.0,-666666666.0,-666666666.0,198,34575,02
0219848873,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",32.8,32.7,33.1,198,48873,02
0227586420,"Wrangell census subarea, Wrangell City and Borough, Alaska",49.1,49.7,48.5,275,86420,02
0210533390,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",48.7,48.8,48.5,105,33390,02
0210540560,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",57.5,56.8,57.8,105,40560,02
020161615,"Aleutians West census subarea, Aleutians West Census Area, Alaska",37.7,39.1,34.8,016,1615,02
020609050,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",41.8,44.0,40.3,060,9050,02
0215041200,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",33.1,32.8,33.4,150,41200,02
0218856270,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",26.6,27.3,25.9,188,56270,02
0222070590,"Sitka census subarea, Sitka City and Borough, Alaska",38.9,37.5,40.4,220,70590,02
020503580,"Aniak census subarea, Bethel Census Area, Alaska",27.9,29.9,25.6,050,3580,02
0205045510,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",26.8,27.1,26.4,050,45510,02
0218555970,"North Slope census subarea, North Slope Borough, Alaska",34.6,37.4,31.1,185,55970,02
0215842185,"Kusilvak census subarea, Kusilvak Census Area, Alaska",24.0,24.6,23.3,158,42185,02
0219560360,"Petersburg census subarea, Petersburg Borough, Alaska",41.7,39.8,43.0,195,60360,02
0209024450,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",31.0,29.9,32.1,090,24450,02
0213039010,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",39.5,39.0,40.0,130,39010,02
0217047440,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",34.9,34.7,35.3,170,47440,02
0218054970,"Nome census subarea, Nome Census Area, Alaska",27.9,28.7,27.2,180,54970,02
0207019000,"Dillingham census subarea, Dillingham Census Area, Alaska",30.1,31.6,28.5,070,19000,02
0210031160,"Haines census subarea, Haines Borough, Alaska",45.0,44.7,46.1,100,31160,02
0228286498,"Yakutat census subarea, Yakutat City and Borough, Alaska",39.4,43.3,32.5,282,86498,02
0211036450,"Juneau census subarea, Juneau City and Borough, Alaska",38.0,37.9,38.2,110,36450,02
