geoid,name,median,male,female,county,county subdivision,state
250175805,"Billerica town, Middlesex County, Massachusetts",40.5,38.6,42.0,017,5805,25
2501731540,"Hudson town, Middlesex County, Massachusetts",43.7,41.6,45.3,017,31540,25
2501739625,"Maynard town, Middlesex County, Massachusetts",43.6,41.7,45.1,017,39625,25
2501761380,"Sherborn town, Middlesex County, Massachusetts",45.0,44.3,45.5,017,61380,25
2501767665,"Stoneham town, Middlesex County, Massachusetts",44.4,43.2,45.8,017,67665,25
2501780230,"Wilmington town, Middlesex County, Massachusetts",42.3,40.2,43.8,017,80230,25
250173005,"Ayer town, Middlesex County, Massachusetts",38.7,38.3,39.1,017,3005,25
250179840,"Burlington town, Middlesex County, Massachusetts",42.2,40.7,42.8,017,9840,25
2501721990,"Everett city, Middlesex County, Massachusetts",35.1,33.7,37.6,017,21990,25
2501735425,"Lincoln town, Middlesex County, Massachusetts",41.4,41.9,40.7,017,35425,25
2501768260,"Sudbury town, Middlesex County, Massachusetts",44.1,44.0,44.2,017,68260,25
2501771025,"Tyngsborough town, Middlesex County, Massachusetts",40.8,40.2,41.4,017,71025,25
2501772215,"Wakefield town, Middlesex County, Massachusetts",43.5,42.2,44.9,017,72215,25
2501781035,"Woburn city, Middlesex County, Massachusetts",40.4,39.4,41.7,017,81035,25
2501777255,"Weston town, Middlesex County, Massachusetts",44.4,46.1,42.5,017,77255,25
2501769415,"Tewksbury town, Middlesex County, Massachusetts",44.6,43.0,45.7,017,69415,25
2501776135,"Westford town, Middlesex County, Massachusetts",43.4,44.2,42.1,017,76135,25
250175070,"Belmont town, Middlesex County, Massachusetts",41.6,40.0,43.0,017,5070,25
2501717475,"Dracut town, Middlesex County, Massachusetts",40.1,38.2,41.6,017,17475,25
2501727480,"Groton town, Middlesex County, Massachusetts",45.6,46.3,45.2,017,27480,25
2501735215,"Lexington town, Middlesex County, Massachusetts",45.0,44.4,45.8,017,35215,25
2501768050,"Stow town, Middlesex County, Massachusetts",44.1,45.4,43.1,017,68050,25
2501713135,"Chelmsford town, Middlesex County, Massachusetts",44.4,40.7,46.5,017,13135,25
2501739835,"Medford city, Middlesex County, Massachusetts",35.8,34.2,38.2,017,39835,25
2501761590,"Shirley town, Middlesex County, Massachusetts",42.3,40.1,47.2,017,61590,25
2501740115,"Melrose city, Middlesex County, Massachusetts",40.5,38.5,42.7,017,40115,25
2501748955,"North Reading town, Middlesex County, Massachusetts",44.3,42.7,46.3,017,48955,25
2501772600,"Waltham city, Middlesex County, Massachusetts",34.2,33.7,34.7,017,72600,25
25017380,"Acton town, Middlesex County, Massachusetts",43.6,41.8,45.0,017,380,25
2501743895,"Natick town, Middlesex County, Massachusetts",40.5,38.5,43.3,017,43895,25
250171605,"Arlington town, Middlesex County, Massachusetts",41.4,39.8,43.3,017,1605,25
2501715060,"Concord town, Middlesex County, Massachusetts",46.6,43.6,49.5,017,15060,25
2501735950,"Littleton town, Middlesex County, Massachusetts",44.4,42.2,45.8,017,35950,25
2501752805,"Pepperell town, Middlesex County, Massachusetts",42.9,41.1,44.5,017,52805,25
2501780510,"Winchester town, Middlesex County, Massachusetts",43.3,41.3,44.9,017,80510,25
250174615,"Bedford town, Middlesex County, Massachusetts",43.3,43.2,43.3,017,4615,25
2501711000,"Cambridge city, Middlesex County, Massachusetts",30.4,30.0,31.0,017,11000,25
2501731085,"Hopkinton town, Middlesex County, Massachusetts",40.8,40.7,40.8,017,31085,25
2501770360,"Townsend town, Middlesex County, Massachusetts",39.6,39.4,39.8,017,70360,25
2501737875,"Malden city, Middlesex County, Massachusetts",35.3,34.9,35.7,017,37875,25
2501745560,"Newton city, Middlesex County, Massachusetts",40.9,39.7,41.9,017,45560,25
2500330315,"Hinsdale town, Berkshire County, Massachusetts",48.7,46.9,51.4,003,30315,25
2500343300,"Mount Washington town, Berkshire County, Massachusetts",58.5,51.9,65.0,003,43300,25
2500313345,"Cheshire town, Berkshire County, Massachusetts",48.2,48.2,48.2,003,13345,25
2500324120,"Florida town, Berkshire County, Massachusetts",48.8,49.0,48.4,003,24120,25
2500328180,"Hancock town, Berkshire County, Massachusetts",51.4,53.5,50.6,003,28180,25
2500360225,"Savoy town, Berkshire County, Massachusetts",47.3,47.2,47.4,003,60225,25
2500377990,"West Stockbridge town, Berkshire County, Massachusetts",53.6,50.6,55.7,003,77990,25
2500379985,"Williamstown town, Berkshire County, Massachusetts",29.9,23.4,33.7,003,79985,25
2500342460,"Monterey town, Berkshire County, Massachusetts",57.5,60.4,56.1,003,42460,25
2500344385,"New Ashford town, Berkshire County, Massachusetts",50.3,47.4,51.0,003,44385,25
2500361065,"Sheffield town, Berkshire County, Massachusetts",51.8,50.8,53.4,003,61065,25
2501151265,"Orange town, Franklin County, Massachusetts",45.3,40.4,46.9,011,51265,25
2501173265,"Warwick town, Franklin County, Massachusetts",55.8,55.9,55.7,011,73265,25
2501179110,"Whately town, Franklin County, Massachusetts",52.0,47.3,54.1,011,79110,25
2501142285,"Montague town, Franklin County, Massachusetts",45.2,43.2,46.7,011,42285,25
250112095,"Ashfield town, Franklin County, Massachusetts",49.9,46.7,51.8,011,2095,25
2501145490,"New Salem town, Franklin County, Massachusetts",51.2,49.8,53.5,011,45490,25
2501112505,"Charlemont town, Franklin County, Massachusetts",49.3,47.6,50.3,011,12505,25
2501115200,"Conway town, Franklin County, Massachusetts",51.3,50.3,51.7,011,15200,25
2501121780,"Erving town, Franklin County, Massachusetts",41.9,44.2,41.2,011,21780,25
2501116670,"Deerfield town, Franklin County, Massachusetts",47.3,47.2,47.5,011,16670,25
2501142040,"Monroe town, Franklin County, Massachusetts",54.7,46.0,55.7,011,42040,25
2501161905,"Shutesbury town, Franklin County, Massachusetts",46.7,45.1,49.0,011,61905,25
250119595,"Buckland town, Franklin County, Massachusetts",48.5,48.1,49.4,011,9595,25
2501168400,"Sunderland town, Franklin County, Massachusetts",31.3,27.6,33.5,011,68400,25
2501174525,"Wendell town, Franklin County, Massachusetts",49.9,51.1,49.6,011,74525,25
2501158335,"Rowe town, Franklin County, Massachusetts",52.0,51.5,52.2,011,58335,25
2501114885,"Colrain town, Franklin County, Massachusetts",53.6,52.8,54.3,011,14885,25
