geoid,name,total,native,foreign_born,county,county subdivision,state
2203594249,"District 2, East Carroll Parish, Louisiana",2723.0,2707.0,16.0,035,94249,22
2203594429,"District 3, East Carroll Parish, Louisiana",313.0,311.0,2.0,035,94429,22
2203594807,"District 5, East Carroll Parish, Louisiana",540.0,540.0,0.0,035,94807,22
2203595269,"District 8, East Carroll Parish, Louisiana",811.0,811.0,0.0,035,95269,22
2203594975,"District 6, East Carroll Parish, Louisiana",676.0,676.0,0.0,035,94975,22
2203595128,"District 7, East Carroll Parish, Louisiana",318.0,318.0,0.0,035,95128,22
2200595544,"District 11, Ascension Parish, Louisiana",12355.0,12000.0,355.0,005,95544,22
2200594006,"District 1, Ascension Parish, Louisiana",8426.0,8284.0,142.0,005,94006,22
2200594387,"District 3, Ascension Parish, Louisiana",10156.0,9842.0,314.0,005,94387,22
2200594765,"District 5, Ascension Parish, Louisiana",12032.0,11840.0,192.0,005,94765,22
2200595244,"District 8, Ascension Parish, Louisiana",14729.0,14277.0,452.0,005,95244,22
2200594206,"District 2, Ascension Parish, Louisiana",11761.0,11468.0,293.0,005,94206,22
2200594572,"District 4, Ascension Parish, Louisiana",13277.0,12479.0,798.0,005,94572,22
2200594938,"District 6, Ascension Parish, Louisiana",9544.0,9397.0,147.0,005,94938,22
2200595466,"District 10, Ascension Parish, Louisiana",8140.0,7494.0,646.0,005,95466,22
2200595097,"District 7, Ascension Parish, Louisiana",11265.0,11164.0,101.0,005,95097,22
2200595361,"District 9, Ascension Parish, Louisiana",7444.0,7357.0,87.0,005,95361,22
2205595812,"District F, Lafayette Parish, Louisiana",33169.0,32031.0,1138.0,055,95812,22
2205595737,"District A, Lafayette Parish, Louisiana",28462.0,27771.0,691.0,055,95737,22
2205595797,"District E, Lafayette Parish, Louisiana",21933.0,20082.0,1851.0,055,95797,22
2205595827,"District G, Lafayette Parish, Louisiana",63727.0,61008.0,2719.0,055,95827,22
2204394618,"District 4, Grant Parish, Louisiana",3158.0,3158.0,0.0,043,94618,22
2204394441,"District 3, Grant Parish, Louisiana",1820.0,1816.0,4.0,043,94441,22
2205194273,"District 2, Jefferson Parish, Louisiana",80971.0,74819.0,6152.0,051,94273,22
2205194453,"District 3, Jefferson Parish, Louisiana",74177.0,68132.0,6045.0,051,94453,22
2205194630,"District 4, Jefferson Parish, Louisiana",92447.0,76169.0,16278.0,051,94630,22
2205194069,"District 1, Jefferson Parish, Louisiana",92893.0,79536.0,13357.0,051,94069,22
2205194829,"District 5, Jefferson Parish, Louisiana",96550.0,81804.0,14746.0,051,94829,22
2201194015,"District 1, Beauregard Parish, Louisiana",2624.0,2575.0,49.0,011,94015,22
2201194552,"District 3A, Beauregard Parish, Louisiana",2538.0,2493.0,45.0,011,94552,22
2201194555,"District 3B, Beauregard Parish, Louisiana",2925.0,2894.0,31.0,011,94555,22
2201194561,"District 3D, Beauregard Parish, Louisiana",2929.0,2750.0,179.0,011,94561,22
2201194564,"District 3E, Beauregard Parish, Louisiana",3454.0,3336.0,118.0,011,94564,22
2201194732,"District 4A, Beauregard Parish, Louisiana",5989.0,5975.0,14.0,011,94732,22
2201194213,"District 2, Beauregard Parish, Louisiana",3344.0,3236.0,108.0,011,94213,22
2201194774,"District 5, Beauregard Parish, Louisiana",4732.0,4709.0,23.0,011,94774,22
2201194744,"District 4B, Beauregard Parish, Louisiana",4497.0,4329.0,168.0,011,94744,22
2201194558,"District 3C, Beauregard Parish, Louisiana",3566.0,3201.0,365.0,011,94558,22
2201394579,"District 4, Bienville Parish, Louisiana",1772.0,1760.0,12.0,013,94579,22
2201394777,"District 5, Bienville Parish, Louisiana",2202.0,2176.0,26.0,013,94777,22
2201394216,"District 2, Bienville Parish, Louisiana",2011.0,2011.0,0.0,013,94216,22
2201394945,"District 6, Bienville Parish, Louisiana",2397.0,2394.0,3.0,013,94945,22
2201395104,"District 7, Bienville Parish, Louisiana",1558.0,1558.0,0.0,013,95104,22
2201394018,"District 1, Bienville Parish, Louisiana",2057.0,2046.0,11.0,013,94018,22
2201394396,"District 3, Bienville Parish, Louisiana",1809.0,1790.0,19.0,013,94396,22
2201594948,"District 6, Bossier Parish, Louisiana",16502.0,15911.0,591.0,015,94948,22
2201595107,"District 7, Bossier Parish, Louisiana",6910.0,6814.0,96.0,015,95107,22
2201595470,"District 10, Bossier Parish, Louisiana",12558.0,11851.0,707.0,015,95470,22
2201594780,"District 5, Bossier Parish, Louisiana",13537.0,12653.0,884.0,015,94780,22
2201594219,"District 2, Bossier Parish, Louisiana",9831.0,9642.0,189.0,015,94219,22
