B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
491.0,451.0,40.0,0.0,0.0,0.0,"Guadalupe CCD, Santa Barbara County, California",083,91200,06
110617.0,80845.0,17872.0,6953.0,3031.0,1916.0,"Santa Barbara CCD, Santa Barbara County, California",083,92890,06
468.0,441.0,11.0,16.0,0.0,0.0,"Cuyama CCD, Santa Barbara County, California",083,90630,06
5459.0,4730.0,455.0,139.0,128.0,7.0,"Weed CCD, Siskiyou County, California",093,93600,06
1186.0,1060.0,89.0,37.0,0.0,0.0,"McCloud-Medicine Lake CCD, Siskiyou County, California",093,91800,06
512.0,410.0,62.0,5.0,35.0,0.0,"Hornbrook-Hilt CCD, Siskiyou County, California",093,91340,06
3273.0,2786.0,331.0,102.0,52.0,2.0,"Montague CCD, Siskiyou County, California",093,92010,06
5827.0,4750.0,832.0,157.0,88.0,0.0,"Mount Shasta CCD, Siskiyou County, California",093,92050,06
961.0,884.0,29.0,28.0,20.0,0.0,"Butte Valley CCD, Siskiyou County, California",093,90290,06
1513.0,1339.0,123.0,37.0,8.0,6.0,"Dunsmuir CCD, Siskiyou County, California",093,90740,06
431.0,354.0,30.0,25.0,22.0,0.0,"Tulelake CCD, Siskiyou County, California",093,93450,06
1428.0,1205.0,169.0,36.0,18.0,0.0,"Fort Jones CCD, Siskiyou County, California",093,91040,06
9004.0,7844.0,721.0,285.0,136.0,18.0,"Yreka CCD, Siskiyou County, California",093,93810,06
1107.0,941.0,105.0,44.0,17.0,0.0,"Happy Camp CCD, Siskiyou County, California",093,91240,06
9778.0,9052.0,504.0,176.0,36.0,10.0,"Central Shasta CCD, Shasta County, California",089,90450,06
3352.0,3194.0,78.0,51.0,22.0,7.0,"Southwest Shasta CCD, Shasta County, California",089,93210,06
46980.0,39558.0,3774.0,1824.0,1608.0,216.0,"Fairfield-Suisun City CCD, Solano County, California",095,90950,06
6472.0,5745.0,559.0,56.0,112.0,0.0,"East Shasta CCD, Shasta County, California",089,90820,06
1254.0,1092.0,103.0,50.0,0.0,9.0,"Sacramento Canyon CCD, Shasta County, California",089,92700,06
11104.0,9971.0,694.0,231.0,135.0,73.0,"Dixon CCD, Solano County, California",095,90700,06
6867.0,5857.0,783.0,191.0,36.0,0.0,"Rio Vista CCD, Solano County, California",095,92610,06
56278.0,47869.0,5018.0,1997.0,955.0,439.0,"Vacaville CCD, Solano County, California",095,93520,06
46943.0,39437.0,2974.0,3458.0,978.0,96.0,"Vallejo CCD, Solano County, California",095,93530,06
662.0,507.0,101.0,49.0,2.0,3.0,"Klamath CCD, Del Norte County, California",015,91490,06
2551.0,2357.0,100.0,28.0,66.0,0.0,"Smith River-Gasquet CCD, Del Norte County, California",015,93040,06
13833.0,11667.0,955.0,883.0,328.0,0.0,"Crescent City CCD, Del Norte County, California",015,90620,06
3531.0,3321.0,90.0,77.0,43.0,0.0,"Central Colusa CCD, Colusa County, California",011,90430,06
556.0,475.0,65.0,16.0,0.0,0.0,"West Colusa CCD, Colusa County, California",011,93610,06
3657.0,3114.0,292.0,212.0,39.0,0.0,"East Colusa CCD, Colusa County, California",011,90770,06
8363.0,7733.0,209.0,366.0,53.0,2.0,"Orland CCD, Glenn County, California",021,92280,06
6149.0,5375.0,528.0,236.0,7.0,3.0,"Willows CCD, Glenn County, California",021,93750,06
5456.0,4719.0,446.0,215.0,37.0,39.0,"Gridley CCD, Butte County, California",007,91180,06
3737.0,3439.0,104.0,154.0,40.0,0.0,"Feather Falls CCD, Butte County, California",007,90970,06
