B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
1466.0,97.0,36.0,38.0,31.0,74.0,56.0,79.0,50.0,78.0,134.0,79.0,241.0,124.0,102.0,152.0,95.0,"Corbett CCD, Multnomah County, Oregon",051,90663,41
1134.0,63.0,44.0,49.0,18.0,24.0,26.0,49.0,49.0,31.0,40.0,124.0,153.0,96.0,91.0,87.0,190.0,"Skyline CCD, Multnomah County, Oregon",051,92975,41
916.0,23.0,32.0,57.0,56.0,44.0,39.0,42.0,37.0,58.0,88.0,93.0,123.0,98.0,55.0,28.0,43.0,"Cove CCD, Union County, Oregon",061,90714,41
55.0,0.0,0.0,0.0,11.0,9.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,"Starkey CCD, Union County, Oregon",061,93111,41
1288.0,71.0,71.0,94.0,68.0,130.0,21.0,70.0,83.0,77.0,135.0,163.0,181.0,65.0,21.0,20.0,18.0,"Elgin CCD, Union County, Oregon",061,91037,41
6787.0,602.0,425.0,330.0,451.0,499.0,367.0,292.0,453.0,338.0,419.0,589.0,869.0,475.0,132.0,231.0,315.0,"La Grande CCD, Union County, Oregon",061,91615,41
1245.0,99.0,91.0,131.0,48.0,60.0,69.0,61.0,61.0,50.0,157.0,59.0,172.0,92.0,33.0,27.0,35.0,"Union CCD, Union County, Oregon",061,93281,41
582.0,13.0,34.0,37.0,69.0,34.0,28.0,42.0,40.0,68.0,31.0,81.0,45.0,18.0,4.0,24.0,14.0,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",035,93594,41
1017.0,14.0,79.0,68.0,54.0,50.0,44.0,30.0,74.0,33.0,123.0,93.0,178.0,88.0,44.0,27.0,18.0,"East Marion CCD, Marion County, Oregon",047,90994,41
2667.0,120.0,53.0,106.0,16.0,85.0,86.0,115.0,144.0,53.0,215.0,245.0,353.0,352.0,249.0,254.0,221.0,"Beavercreek CCD, Clackamas County, Oregon",005,90272,41
1972.0,97.0,74.0,50.0,53.0,27.0,38.0,82.0,104.0,65.0,245.0,183.0,350.0,234.0,125.0,161.0,84.0,"Chehalem Mountains CCD, Washington County, Oregon",067,90510,41
603.0,52.0,52.0,29.0,52.0,41.0,41.0,33.0,24.0,27.0,21.0,81.0,62.0,21.0,49.0,5.0,13.0,"Langell Valley CCD, Klamath County, Oregon",035,91651,41
29847.0,987.0,701.0,615.0,761.0,1218.0,1016.0,916.0,1131.0,1003.0,1973.0,2829.0,4932.0,3515.0,1722.0,3132.0,3396.0,"Rockcreek CCD, Washington County, Oregon",067,92678,41
850.0,64.0,40.0,44.0,39.0,78.0,45.0,33.0,36.0,51.0,51.0,95.0,141.0,77.0,44.0,9.0,3.0,"Wingville-Haines CCD, Baker County, Oregon",001,93555,41
2290.0,125.0,37.0,64.0,191.0,135.0,54.0,137.0,130.0,126.0,228.0,199.0,319.0,109.0,181.0,105.0,150.0,"McKenzie River CCD, Lane County, Oregon",039,91719,41
905.0,71.0,77.0,61.0,74.0,48.0,57.0,67.0,41.0,31.0,69.0,56.0,117.0,74.0,32.0,12.0,18.0,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",039,91889,41
6056.0,527.0,423.0,448.0,638.0,477.0,429.0,300.0,408.0,229.0,314.0,670.0,555.0,209.0,107.0,177.0,145.0,"Florence CCD, Lane County, Oregon",039,91147,41
1177.0,64.0,102.0,105.0,60.0,60.0,34.0,39.0,75.0,52.0,89.0,160.0,104.0,66.0,85.0,48.0,34.0,"Dunes City CCD, Lane County, Oregon",039,90943,41
12612.0,1017.0,535.0,757.0,614.0,868.0,580.0,619.0,658.0,604.0,1364.0,1698.0,1472.0,872.0,545.0,227.0,182.0,"Hermiston-Umatilla CCD, Umatilla County, Oregon",059,91334,41
600.0,11.0,5.0,21.0,21.0,61.0,24.0,7.0,17.0,45.0,47.0,73.0,82.0,100.0,34.0,32.0,20.0,"Upper Siuslaw River CCD, Lane County, Oregon",039,93300,41
6627.0,517.0,440.0,480.0,544.0,494.0,695.0,346.0,318.0,241.0,419.0,653.0,664.0,394.0,181.0,186.0,55.0,"Prineville CCD, Crook County, Oregon",013,92592,41
5713.0,389.0,352.0,444.0,415.0,370.0,373.0,359.0,260.0,216.0,447.0,598.0,683.0,334.0,205.0,147.0,121.0,"Newport CCD, Lincoln County, Oregon",041,92133,41
5465.0,367.0,503.0,337.0,435.0,428.0,427.0,243.0,274.0,226.0,575.0,537.0,514.0,220.0,175.0,118.0,86.0,"Lincoln City CCD, Lincoln County, Oregon",041,91674,41
3866.0,352.0,290.0,181.0,274.0,188.0,345.0,92.0,160.0,197.0,571.0,370.0,380.0,286.0,44.0,87.0,49.0,"Milton-Freewater CCD, Umatilla County, Oregon",059,91929,41
1016.0,86.0,47.0,47.0,78.0,44.0,43.0,44.0,45.0,25.0,79.0,76.0,142.0,102.0,90.0,42.0,26.0,"Umatilla Reservation CCD, Umatilla County, Oregon",059,93270,41
196968.0,14070.0,9307.0,9330.0,8095.0,9476.0,8424.0,8237.0,9050.0,8386.0,15161.0,20489.0,26238.0,18255.0,10661.0,11123.0,10666.0,"Portland East CCD, Multnomah County, Oregon",051,92518,41
66232.0,6367.0,2879.0,2132.0,2413.0,2403.0,2449.0,1879.0,2055.0,1672.0,3915.0,4910.0,7370.0,6572.0,4146.0,5155.0,9915.0,"Portland West CCD, Multnomah County, Oregon",051,92520,41
52373.0,3466.0,2461.0,2393.0,3183.0,3309.0,2131.0,2784.0,2095.0,2580.0,5034.0,5359.0,6443.0,5254.0,2701.0,1997.0,1183.0,"Gresham CCD, Multnomah County, Oregon",051,91249,41
84.0,0.0,0.0,0.0,32.0,0.0,8.0,0.0,0.0,17.0,4.0,22.0,0.0,1.0,0.0,0.0,0.0,"West Bench CCD, Malheur County, Oregon",045,93442,41
