B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
22.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
992.0,53.0,23.0,59.0,39.0,100.0,41.0,82.0,59.0,57.0,154.0,129.0,133.0,50.0,2.0,0.0,11.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
248.0,19.0,61.0,43.0,20.0,0.0,0.0,15.0,0.0,0.0,24.0,41.0,10.0,0.0,15.0,0.0,0.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
488.0,48.0,8.0,0.0,23.0,12.0,24.0,89.0,71.0,31.0,53.0,65.0,15.0,47.0,0.0,2.0,0.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Powers CCD, Coos County, Oregon",011,92567,41
129.0,0.0,0.0,0.0,35.0,26.0,24.0,0.0,21.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,"Bandon CCD, Coos County, Oregon",011,90221,41
