B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
272.0,243.0,8.0,0.0,21.0,0.0,"Timberlake district, Campbell County, Virginia",031,96087,51
17.0,17.0,0.0,0.0,0.0,0.0,"Concord district, Campbell County, Virginia",031,90968,51
4.0,0.0,0.0,0.0,0.0,4.0,"Seneca district, Campbell County, Virginia",031,95623,51
0.0,0.0,0.0,0.0,0.0,0.0,"Brookneal district, Campbell County, Virginia",031,90504,51
0.0,0.0,0.0,0.0,0.0,0.0,"Rustburg district, Campbell County, Virginia",031,95503,51
4919.0,4069.0,226.0,356.0,170.0,98.0,"Tuckahoe district, Henrico County, Virginia",087,96119,51
1709.0,1597.0,53.0,59.0,0.0,0.0,"Fairfield district, Henrico County, Virginia",087,93511,51
13529.0,10240.0,1295.0,249.0,958.0,787.0,"Three Chopt district, Henrico County, Virginia",087,96079,51
36.0,36.0,0.0,0.0,0.0,0.0,"Iriswood district, Henry County, Virginia",089,93975,51
5059.0,4041.0,429.0,218.0,76.0,295.0,"Brookland district, Henrico County, Virginia",087,90496,51
273.0,211.0,62.0,0.0,0.0,0.0,"Varina district, Henrico County, Virginia",087,96175,51
74.0,74.0,0.0,0.0,0.0,0.0,"Collinsville district, Henry County, Virginia",089,90944,51
0.0,0.0,0.0,0.0,0.0,0.0,"Reed Creek district, Henry County, Virginia",089,95263,51
7.0,7.0,0.0,0.0,0.0,0.0,"Blackberry district, Henry County, Virginia",089,90288,51
182.0,60.0,0.0,122.0,0.0,0.0,"Ridgeway district, Henry County, Virginia",089,95295,51
40.0,35.0,0.0,5.0,0.0,0.0,"Horsepasture district, Henry County, Virginia",089,93919,51
69.0,51.0,0.0,2.0,15.0,1.0,"Dahlgren district, King George County, Virginia",099,91080,51
55.0,55.0,0.0,0.0,0.0,0.0,"James Monroe district, King George County, Virginia",099,94039,51
0.0,0.0,0.0,0.0,0.0,0.0,"Shiloh district, King George County, Virginia",099,95687,51
148.0,135.0,13.0,0.0,0.0,0.0,"James Madison district, King George County, Virginia",099,94031,51
117.0,117.0,0.0,0.0,0.0,0.0,"West Point district, King William County, Virginia",101,96327,51
54.0,43.0,0.0,11.0,0.0,0.0,"Acquinton district, King William County, Virginia",101,90016,51
9.0,9.0,0.0,0.0,0.0,0.0,"Mangohick district, King William County, Virginia",101,94479,51
62.0,62.0,0.0,0.0,0.0,0.0,"Mountain Road district, Louisa County, Virginia",109,94759,51
16.0,16.0,0.0,0.0,0.0,0.0,"Patrick Henry district, Louisa County, Virginia",109,95015,51
14.0,14.0,0.0,0.0,0.0,0.0,"Louisa district, Louisa County, Virginia",109,94375,51
60.0,60.0,0.0,0.0,0.0,0.0,"Mineral district, Louisa County, Virginia",109,94711,51
10.0,10.0,0.0,0.0,0.0,0.0,"Cuckoo district, Louisa County, Virginia",109,91040,51
21.0,21.0,0.0,0.0,0.0,0.0,"Green Spring district, Louisa County, Virginia",109,93767,51
14.0,0.0,0.0,14.0,0.0,0.0,"Jackson district, Louisa County, Virginia",109,93999,51
0.0,0.0,0.0,0.0,0.0,0.0,"Chesapeake district, Mathews County, Virginia",115,90808,51
26.0,0.0,0.0,0.0,26.0,0.0,"Westville district, Mathews County, Virginia",115,96335,51
0.0,0.0,0.0,0.0,0.0,0.0,"Piankatank district, Mathews County, Virginia",115,95055,51
0.0,0.0,0.0,0.0,0.0,0.0,"Jamaica district, Middlesex County, Virginia",119,94023,51
0.0,0.0,0.0,0.0,0.0,0.0,"Pine Top district, Middlesex County, Virginia",119,95079,51
0.0,0.0,0.0,0.0,0.0,0.0,"Saluda district, Middlesex County, Virginia",119,95559,51
0.0,0.0,0.0,0.0,0.0,0.0,"District 501, Prince Edward County, Virginia",147,92593,51
0.0,0.0,0.0,0.0,0.0,0.0,"District 701, Prince Edward County, Virginia",147,92613,51
52.0,28.0,10.0,14.0,0.0,0.0,"District 401, Prince Edward County, Virginia",147,92583,51
0.0,0.0,0.0,0.0,0.0,0.0,"District 201, Prince Edward County, Virginia",147,92563,51
65.0,48.0,6.0,11.0,0.0,0.0,"District 801, Prince Edward County, Virginia",147,92623,51
11.0,11.0,0.0,0.0,0.0,0.0,"District 601, Prince Edward County, Virginia",147,92603,51
0.0,0.0,0.0,0.0,0.0,0.0,"District 301, Prince Edward County, Virginia",147,92573,51
121.0,116.0,0.0,5.0,0.0,0.0,"District 101, Prince Edward County, Virginia",147,92553,51
478.0,304.0,59.0,6.0,41.0,68.0,"Bland district, Prince George County, Virginia",149,90352,51
86.0,86.0,0.0,0.0,0.0,0.0,"Blackwater district, Prince George County, Virginia",149,90328,51
