B19013H_001E,name,county,county subdivision,state
42273.0,"Union township, Daviess County, Missouri",061,74590,29
32361.0,"Grant township, Harrison County, Missouri",081,28486,29
40000.0,"Madison township, Harrison County, Missouri",081,45398,29
49167.0,"Cypress township, Harrison County, Missouri",081,17956,29
39643.0,"Marion township, Harrison County, Missouri",081,46046,29
40521.0,"Sugar Creek township, Harrison County, Missouri",081,71350,29
39167.0,"Union township, Harrison County, Missouri",081,74662,29
46655.0,"Dover township, Lafayette County, Missouri",107,19936,29
65625.0,"Sni-A-Bar township, Lafayette County, Missouri",107,68456,29
55458.0,"Davis township, Lafayette County, Missouri",107,18406,29
50381.0,"Washington township, Lafayette County, Missouri",107,77560,29
44408.0,"Clay township, Lafayette County, Missouri",107,14428,29
47171.0,"Middleton township, Lafayette County, Missouri",107,47882,29
45427.0,"Lexington township, Lafayette County, Missouri",107,41888,29
60410.0,"Freedom township, Lafayette County, Missouri",107,25858,29
-666666666.0,"Chalk Level township, St. Clair County, Missouri",185,13024,29
17813.0,"Speedwell township, St. Clair County, Missouri",185,69356,29
41310.0,"Taber township, St. Clair County, Missouri",185,72124,29
38750.0,"Roscoe township, St. Clair County, Missouri",185,63092,29
36467.0,"Collins township, St. Clair County, Missouri",185,15580,29
46786.0,"Monegaw township, St. Clair County, Missouri",185,49142,29
40313.0,"Appleton township, St. Clair County, Missouri",185,01504,29
47917.0,"Doyal township, St. Clair County, Missouri",185,20008,29
31723.0,"Jackson township, St. Clair County, Missouri",185,36080,29
43352.0,"Liberty township, Pulaski County, Missouri",169,42266,29
55902.0,"Cullen township, Pulaski County, Missouri",169,17740,29
60278.0,"Roubidoux township, Pulaski County, Missouri",169,63254,29
43000.0,"Union township, Pulaski County, Missouri",169,74878,29
50250.0,"Piney township, Pulaski County, Missouri",169,57872,29
-666666666.0,"Sherman township, Putnam County, Missouri",171,67466,29
60333.0,"Wilson township, Putnam County, Missouri",171,80242,29
20625.0,"Grant township, Putnam County, Missouri",171,28522,29
51657.0,"Richland township, Putnam County, Missouri",171,61580,29
33225.0,"Union township, Putnam County, Missouri",171,74896,29
-666666666.0,"Lincoln township, Putnam County, Missouri",171,42842,29
30417.0,"Elm township, Putnam County, Missouri",171,21952,29
44375.0,"Jackson township, Putnam County, Missouri",171,36026,29
54250.0,"Liberty township, Putnam County, Missouri",171,42284,29
-666666666.0,"York township, Putnam County, Missouri",171,81340,29
70795.0,"Medicine township, Putnam County, Missouri",171,47126,29
53000.0,"Cedar Creek township, Taney County, Missouri",213,12286,29
49071.0,"Scott township, Taney County, Missouri",213,66350,29
42834.0,"Branson township, Taney County, Missouri",213,07984,29
35901.0,"Swan township, Taney County, Missouri",213,71818,29
40768.0,"Tavern township, Pulaski County, Missouri",169,72448,29
32256.0,"Jasper township, Taney County, Missouri",213,36584,29
41250.0,"Beaver township, Taney County, Missouri",213,03808,29
39750.0,"Big Creek township, Taney County, Missouri",213,05446,29
38464.0,"Oliver township, Taney County, Missouri",213,54632,29
33902.0,"Carroll township, Texas County, Missouri",215,11548,29
34583.0,"Jackson township, Texas County, Missouri",215,36170,29
42292.0,"Lynch township, Texas County, Missouri",215,44660,29
62794.0,"Roubidoux township, Texas County, Missouri",215,63290,29
60536.0,"Morris township, Texas County, Missouri",215,50042,29
29717.0,"Piney township, Texas County, Missouri",215,57890,29
35660.0,"Sherrill township, Texas County, Missouri",215,67520,29
-666666666.0,"Current township, Texas County, Missouri",215,17848,29
42656.0,"Cass township, Texas County, Missouri",215,11854,29
45818.0,"Clinton township, Texas County, Missouri",215,15022,29
25703.0,"Date township, Texas County, Missouri",215,18334,29
38333.0,"Upton township, Texas County, Missouri",215,75292,29
35417.0,"Dallas township, St. Clair County, Missouri",185,18100,29
31250.0,"Center township, St. Clair County, Missouri",185,12628,29
29958.0,"Butler township, St. Clair County, Missouri",185,10108,29
36912.0,"Washington township, St. Clair County, Missouri",185,77686,29
-666666666.0,"Polk township, St. Clair County, Missouri",185,58862,29
-666666666.0,"Osage township, St. Clair County, Missouri",185,55208,29
36389.0,"Osceola township, St. Clair County, Missouri",185,55406,29
53438.0,"Wilson township, Adair County, Missouri",001,80134,29
83036.0,"Clay township, Adair County, Missouri",001,14248,29
50724.0,"Salt River township, Adair County, Missouri",001,65540,29
60938.0,"Liberty township, Adair County, Missouri",001,41924,29
51518.0,"Pettis township, Adair County, Missouri",001,57224,29
41875.0,"Polk township, Adair County, Missouri",001,58682,29
39570.0,"Benton township, Adair County, Missouri",001,04546,29
27813.0,"Walnut township, Adair County, Missouri",001,76786,29
54375.0,"Morrow township, Adair County, Missouri",001,50096,29
36346.0,"Nineveh township, Adair County, Missouri",001,52526,29
32833.0,"Glenwood township, Schuyler County, Missouri",197,27532,29
35000.0,"Prairie township, Schuyler County, Missouri",197,59672,29
38269.0,"Fabius township, Schuyler County, Missouri",197,23194,29
42813.0,"Salt River township, Schuyler County, Missouri",197,65648,29
49844.0,"Chariton township, Schuyler County, Missouri",197,13294,29
35833.0,"Liberty township, Schuyler County, Missouri",197,42338,29
52679.0,"Independence township, Schuyler County, Missouri",197,35054,29
71250.0,"Union township, Scotland County, Missouri",199,74986,29
-666666666.0,"Miller township, Scotland County, Missouri",199,48314,29
-666666666.0,"Mount Pleasant township, Scotland County, Missouri",199,50618,29
64821.0,"Sand Hill township, Scotland County, Missouri",199,65828,29
43333.0,"Thomson township, Scotland County, Missouri",199,73060,29
-666666666.0,"Tobin township, Scotland County, Missouri",199,73492,29
37229.0,"Jefferson township, Scotland County, Missouri",199,36980,29
