B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
967.0,12.0,26.0,17.0,27.0,17.0,17.0,20.0,32.0,75.0,62.0,132.0,191.0,133.0,44.0,99.0,63.0,"Chichester town, Merrimack County, New Hampshire",013,12420,33
560.0,3.0,6.0,33.0,19.0,41.0,28.0,36.0,25.0,8.0,49.0,127.0,99.0,47.0,16.0,16.0,7.0,"Danbury town, Merrimack County, New Hampshire",013,16980,33
3557.0,234.0,263.0,218.0,177.0,192.0,154.0,196.0,218.0,172.0,289.0,386.0,563.0,290.0,122.0,43.0,40.0,"Franklin city, Merrimack County, New Hampshire",013,27380,33
1251.0,59.0,34.0,92.0,18.0,65.0,99.0,26.0,9.0,46.0,100.0,193.0,251.0,88.0,92.0,17.0,62.0,"Boscawen town, Merrimack County, New Hampshire",013,06260,33
1666.0,63.0,106.0,123.0,31.0,35.0,113.0,27.0,34.0,40.0,39.0,277.0,251.0,195.0,86.0,139.0,107.0,"Henniker town, Merrimack County, New Hampshire",013,35540,33
5174.0,104.0,176.0,133.0,167.0,121.0,123.0,264.0,223.0,145.0,261.0,569.0,862.0,635.0,602.0,318.0,471.0,"Hooksett town, Merrimack County, New Hampshire",013,37300,33
849.0,10.0,11.0,11.0,30.0,23.0,19.0,27.0,0.0,44.0,76.0,69.0,167.0,100.0,68.0,95.0,99.0,"Newbury town, Merrimack County, New Hampshire",013,50900,33
2639.0,87.0,79.0,14.0,116.0,127.0,42.0,30.0,46.0,46.0,161.0,340.0,535.0,337.0,227.0,273.0,179.0,"Pembroke town, Merrimack County, New Hampshire",013,60020,33
1833.0,25.0,34.0,62.0,62.0,144.0,98.0,113.0,37.0,133.0,100.0,214.0,298.0,275.0,107.0,95.0,36.0,"Northfield town, Merrimack County, New Hampshire",013,54260,33
516.0,6.0,25.0,10.0,22.0,7.0,8.0,3.0,38.0,13.0,29.0,96.0,108.0,66.0,25.0,32.0,28.0,"Salisbury town, Merrimack County, New Hampshire",013,66980,33
2747.0,60.0,37.0,62.0,91.0,92.0,36.0,56.0,80.0,53.0,153.0,162.0,333.0,376.0,254.0,555.0,347.0,"Bow town, Merrimack County, New Hampshire",013,06500,33
662.0,37.0,8.0,14.0,19.0,49.0,42.0,27.0,14.0,16.0,67.0,53.0,127.0,61.0,52.0,38.0,38.0,"Bradford town, Merrimack County, New Hampshire",013,06980,33
1076.0,39.0,39.0,18.0,56.0,24.0,76.0,47.0,103.0,7.0,78.0,109.0,164.0,147.0,78.0,56.0,35.0,"Andover town, Merrimack County, New Hampshire",013,01460,33
392.0,3.0,0.0,0.0,24.0,7.0,11.0,42.0,18.0,13.0,25.0,60.0,113.0,33.0,27.0,5.0,11.0,"Hill town, Merrimack County, New Hampshire",013,35860,33
17142.0,977.0,796.0,516.0,862.0,842.0,875.0,678.0,863.0,804.0,1184.0,1769.0,2494.0,1604.0,929.0,1052.0,897.0,"Concord city, Merrimack County, New Hampshire",013,14200,33
1792.0,26.0,49.0,72.0,84.0,59.0,134.0,42.0,26.0,65.0,203.0,242.0,168.0,134.0,231.0,114.0,143.0,"Epsom town, Merrimack County, New Hampshire",013,24900,33
362.0,19.0,12.0,18.0,21.0,19.0,29.0,18.0,10.0,21.0,16.0,62.0,55.0,7.0,10.0,26.0,19.0,"Bath town, Grafton County, New Hampshire",009,03940,33
1661.0,100.0,131.0,18.0,46.0,45.0,65.0,104.0,107.0,61.0,103.0,242.0,220.0,71.0,95.0,125.0,128.0,"Campton town, Grafton County, New Hampshire",009,08660,33
764.0,5.0,14.0,65.0,34.0,17.0,49.0,47.0,56.0,50.0,11.0,96.0,98.0,84.0,35.0,58.0,45.0,"Holderness town, Grafton County, New Hampshire",009,36900,33
118.0,3.0,1.0,6.0,7.0,2.0,14.0,8.0,9.0,8.0,11.0,12.0,18.0,14.0,1.0,1.0,3.0,"Benton town, Grafton County, New Hampshire",009,05060,33
1257.0,49.0,103.0,61.0,19.0,69.0,90.0,85.0,52.0,60.0,103.0,205.0,113.0,126.0,94.0,20.0,8.0,"Bristol town, Grafton County, New Hampshire",009,07700,33
547.0,5.0,9.0,19.0,34.0,12.0,24.0,13.0,17.0,6.0,64.0,36.0,84.0,41.0,58.0,39.0,86.0,"Orford town, Grafton County, New Hampshire",009,58500,33
352.0,9.0,4.0,6.0,22.0,12.0,10.0,20.0,10.0,14.0,20.0,63.0,49.0,41.0,27.0,22.0,23.0,"Piermont town, Grafton County, New Hampshire",009,61060,33
560.0,44.0,50.0,22.0,29.0,40.0,37.0,47.0,0.0,9.0,58.0,102.0,53.0,5.0,15.0,41.0,8.0,"Lincoln town, Grafton County, New Hampshire",009,41860,33
615.0,18.0,25.0,24.0,35.0,56.0,23.0,55.0,8.0,49.0,70.0,43.0,96.0,56.0,18.0,6.0,33.0,"Lisbon town, Grafton County, New Hampshire",009,42020,33
2661.0,170.0,177.0,142.0,224.0,53.0,248.0,354.0,96.0,134.0,160.0,247.0,125.0,285.0,143.0,64.0,39.0,"Littleton town, Grafton County, New Hampshire",009,42580,33
465.0,23.0,13.0,49.0,25.0,21.0,18.0,24.0,22.0,31.0,25.0,45.0,66.0,31.0,12.0,31.0,29.0,"Bridgewater town, Grafton County, New Hampshire",009,07540,33
136.0,5.0,0.0,5.0,0.0,3.0,15.0,12.0,7.0,5.0,20.0,7.0,12.0,12.0,9.0,23.0,1.0,"Easton town, Grafton County, New Hampshire",009,22020,33
252.0,0.0,2.0,3.0,24.0,11.0,21.0,13.0,21.0,9.0,16.0,21.0,54.0,33.0,20.0,2.0,2.0,"Hebron town, Grafton County, New Hampshire",009,35220,33
