B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
47.2,56.4,38.0,"Howe CCD, Butte County, Idaho",023,91564,16
46.1,47.1,43.9,"Arco CCD, Butte County, Idaho",023,90138,16
-666666666.0,-666666666.0,-666666666.0,"Fort Hall CCD, Caribou County, Idaho",029,91104,16
35.8,35.1,36.7,"Soda Springs CCD, Caribou County, Idaho",029,93266,16
36.6,39.8,34.4,"Bancroft CCD, Caribou County, Idaho",029,90253,16
40.5,39.4,41.3,"Grace CCD, Caribou County, Idaho",029,91288,16
31.5,30.8,31.7,"Wayan CCD, Caribou County, Idaho",029,93657,16
45.3,43.1,45.6,"Bliss CCD, Gooding County, Idaho",047,90322,16
33.6,35.1,33.1,"Wendell CCD, Gooding County, Idaho",047,93726,16
35.3,32.7,37.2,"Gooding CCD, Gooding County, Idaho",047,91265,16
45.7,45.5,47.6,"Hagerman CCD, Gooding County, Idaho",047,91357,16
30.8,30.8,30.9,"Kuna CCD, Ada County, Idaho",001,91863,16
40.4,42.7,38.3,"Boise Hills CCD, Ada County, Idaho",001,90368,16
43.9,43.0,44.4,"Eagle CCD, Ada County, Idaho",001,90805,16
36.0,35.1,36.9,"Boise City CCD, Ada County, Idaho",001,90345,16
36.4,36.1,36.9,"Orchard CCD, Ada County, Idaho",001,92668,16
39.3,38.7,39.6,"South Bannock CCD, Bannock County, Idaho",005,93289,16
38.2,35.7,45.2,"Fort Hall CCD, Bannock County, Idaho",005,91058,16
43.0,43.1,43.0,"Inkom CCD, Bannock County, Idaho",005,91702,16
31.7,32.1,31.6,"Shelley CCD, Bingham County, Idaho",011,93220,16
51.3,53.6,50.1,"Paris CCD, Bear Lake County, Idaho",007,92691,16
37.2,34.9,38.3,"Montpelier CCD, Bear Lake County, Idaho",007,92208,16
31.5,29.0,34.4,"Moreland CCD, Bingham County, Idaho",011,92254,16
32.2,31.4,33.0,"Pocatello CCD, Bannock County, Idaho",005,92852,16
37.9,37.2,39.1,"Georgetown CCD, Bear Lake County, Idaho",007,91219,16
32.9,35.5,27.8,"Aberdeen CCD, Bingham County, Idaho",011,90023,16
33.5,33.6,33.4,"Blackfoot CCD, Bingham County, Idaho",011,90276,16
36.0,34.3,39.4,"Atomic City CCD, Bingham County, Idaho",011,90207,16
51.0,45.4,53.9,"Alridge CCD, Bingham County, Idaho",011,90069,16
34.8,35.9,33.5,"Fort Hall CCD, Bingham County, Idaho",011,91081,16
35.5,35.7,35.4,"Firth CCD, Bingham County, Idaho",011,91012,16
32.4,31.9,33.0,"Idaho Falls CCD, Bonneville County, Idaho",019,91656,16
57.1,58.2,54.7,"Swan Valley CCD, Bonneville County, Idaho",019,93404,16
31.1,28.2,34.6,"Ucon CCD, Bonneville County, Idaho",019,93588,16
38.2,40.4,37.0,"Idaho Falls West CCD, Bonneville County, Idaho",019,91679,16
36.9,39.6,32.8,"West Camas CCD, Camas County, Idaho",025,93749,16
56.6,63.5,51.5,"East Camas CCD, Camas County, Idaho",025,90828,16
45.5,47.1,45.1,"Huston CCD, Canyon County, Idaho",027,91610,16
36.5,36.5,36.5,"Melba CCD, Canyon County, Idaho",027,92093,16
35.4,35.0,35.8,"Middleton CCD, Canyon County, Idaho",027,92116,16
32.7,31.2,34.0,"Caldwell CCD, Canyon County, Idaho",027,90483,16
32.3,31.2,33.5,"Nampa CCD, Canyon County, Idaho",027,92438,16
34.1,34.8,33.4,"Wilder CCD, Canyon County, Idaho",027,93841,16
35.2,32.6,35.4,"Notus CCD, Canyon County, Idaho",027,92622,16
39.0,41.4,37.4,"Parma CCD, Canyon County, Idaho",027,92714,16
55.1,55.9,51.9,"Pierce-Headquarters CCD, Clearwater County, Idaho",035,92806,16
45.9,43.6,50.2,"Nez Perce CCD, Clearwater County, Idaho",035,92530,16
63.1,63.0,63.1,"Elk River CCD, Clearwater County, Idaho",035,90920,16
56.0,57.5,55.5,"Weippe CCD, Clearwater County, Idaho",035,93680,16
28.6,28.6,28.6,"Rigby CCD, Jefferson County, Idaho",051,92990,16
33.1,33.6,30.0,"Ririe CCD, Jefferson County, Idaho",051,93036,16
44.7,39.5,50.2,"Roberts CCD, Jefferson County, Idaho",051,93059,16
38.0,37.5,38.9,"Lewisville-Menan CCD, Jefferson County, Idaho",051,91978,16
35.8,38.4,35.1,"Genesee CCD, Latah County, Idaho",057,91196,16
