B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
63.0,33.0,30.0,"Elizabeth CCD, Elbert County, Colorado",039,91190,08
0.0,0.0,0.0,"Agate CCD, Elbert County, Colorado",039,90019,08
0.0,0.0,0.0,"Kim CCD, Las Animas County, Colorado",071,91976,08
0.0,0.0,0.0,"Simla CCD, Elbert County, Colorado",039,93325,08
0.0,0.0,0.0,"Model CCD, Las Animas County, Colorado",071,92508,08
0.0,0.0,0.0,"Branson CCD, Las Animas County, Colorado",071,90361,08
0.0,0.0,0.0,"Aguilar CCD, Las Animas County, Colorado",071,90038,08
0.0,0.0,0.0,"Weston CCD, Las Animas County, Colorado",071,93838,08
23.0,0.0,23.0,"Trinidad CCD, Las Animas County, Colorado",071,93648,08
19.0,0.0,19.0,"Yuma CCD, Yuma County, Colorado",125,93952,08
0.0,0.0,0.0,"Wray CCD, Yuma County, Colorado",125,93914,08
0.0,0.0,0.0,"Hugo CCD, Lincoln County, Colorado",073,91824,08
0.0,0.0,0.0,"Yampa CCD, Routt County, Colorado",107,93933,08
8.0,0.0,8.0,"Hayden CCD, Routt County, Colorado",107,91729,08
31.0,0.0,31.0,"Steamboat Springs CCD, Routt County, Colorado",107,93496,08
12.0,2.0,10.0,"Oak Creek CCD, Routt County, Colorado",107,92717,08
38.0,0.0,38.0,"Silverthorne CCD, Summit County, Colorado",117,93287,08
0.0,0.0,0.0,"Breckenridge CCD, Summit County, Colorado",117,90380,08
2.0,0.0,2.0,"Arriba CCD, Lincoln County, Colorado",073,90133,08
0.0,0.0,0.0,"Karval CCD, Lincoln County, Colorado",073,91919,08
0.0,0.0,0.0,"Limon CCD, Lincoln County, Colorado",073,92261,08
24.0,0.0,24.0,"Idaho Springs CCD, Clear Creek County, Colorado",019,91843,08
0.0,0.0,0.0,"Georgetown CCD, Clear Creek County, Colorado",019,91463,08
0.0,0.0,0.0,"Mosca-Hooper CCD, Alamosa County, Colorado",003,92584,08
175.0,9.0,166.0,"Alamosa CCD, Alamosa County, Colorado",003,90076,08
0.0,0.0,0.0,"Delta CCD, Delta County, Colorado",029,90988,08
0.0,0.0,0.0,"Paonia CCD, Delta County, Colorado",029,92831,08
50.0,50.0,0.0,"Cedaredge CCD, Delta County, Colorado",029,90532,08
0.0,0.0,0.0,"Hotchkiss CCD, Delta County, Colorado",029,91786,08
0.0,0.0,0.0,"Cotopaxi CCD, Fremont County, Colorado",043,90836,08
17.0,17.0,0.0,"Penrose-Portland CCD, Fremont County, Colorado",043,92888,08
1.0,0.0,1.0,"Florence CCD, Fremont County, Colorado",043,91311,08
794.0,274.0,520.0,"Pueblo CCD, Pueblo County, Colorado",101,92983,08
0.0,0.0,0.0,"Colorado City-Rye CCD, Pueblo County, Colorado",101,90722,08
0.0,0.0,0.0,"Huerfano Valley CCD, Pueblo County, Colorado",101,91805,08
5.0,0.0,5.0,"St. Charles Mesa CCD, Pueblo County, Colorado",101,93154,08
160.0,119.0,41.0,"Pueblo West CCD, Pueblo County, Colorado",101,93002,08
0.0,0.0,0.0,"Avondale CCD, Pueblo County, Colorado",101,90209,08
0.0,0.0,0.0,"Northeast Pueblo CCD, Pueblo County, Colorado",101,92660,08
41.0,25.0,16.0,"Montrose CCD, Montrose County, Colorado",085,92546,08
