B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
37.0,10.0,27.0,"Little Compton town, Newport County, Rhode Island",005,42400,44
326.0,58.0,268.0,"Middletown town, Newport County, Rhode Island",005,45460,44
906.0,92.0,814.0,"Newport city, Newport County, Rhode Island",005,49960,44
0.0,0.0,0.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
16.0,16.0,0.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
142.0,16.0,126.0,"Portsmouth town, Newport County, Rhode Island",005,57880,44
7.0,7.0,0.0,"Tiverton town, Newport County, Rhode Island",005,70880,44
1150.0,821.0,329.0,"Warwick city, Kent County, Rhode Island",003,74300,44
208.0,96.0,112.0,"Coventry town, Kent County, Rhode Island",003,18640,44
375.0,167.0,208.0,"West Warwick town, Kent County, Rhode Island",003,78440,44
39.0,28.0,11.0,"West Greenwich town, Kent County, Rhode Island",003,77720,44
85.0,74.0,11.0,"East Greenwich town, Kent County, Rhode Island",003,22240,44
790.0,225.0,565.0,"Cumberland town, Providence County, Rhode Island",007,20080,44
2354.0,218.0,2136.0,"Woonsocket city, Providence County, Rhode Island",007,80780,44
1176.0,561.0,615.0,"North Providence town, Providence County, Rhode Island",007,51760,44
190.0,65.0,125.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
776.0,172.0,604.0,"East Providence city, Providence County, Rhode Island",007,22960,44
78.0,64.0,14.0,"Glocester town, Providence County, Rhode Island",007,30340,44
106.0,62.0,44.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
3652.0,569.0,3083.0,"Central Falls city, Providence County, Rhode Island",007,14140,44
194.0,53.0,141.0,"Smithfield town, Providence County, Rhode Island",007,66200,44
5380.0,1420.0,3960.0,"Pawtucket city, Providence County, Rhode Island",007,54640,44
22594.0,5326.0,17268.0,"Providence city, Providence County, Rhode Island",007,59000,44
18.0,18.0,0.0,"Foster town, Providence County, Rhode Island",007,27460,44
655.0,430.0,225.0,"Johnston town, Providence County, Rhode Island",007,37720,44
14.0,14.0,0.0,"Scituate town, Providence County, Rhode Island",007,64220,44
45.0,45.0,0.0,"Burrillville town, Providence County, Rhode Island",007,11800,44
3115.0,1540.0,1575.0,"Cranston city, Providence County, Rhode Island",007,19180,44
132.0,116.0,16.0,"Barrington town, Bristol County, Rhode Island",001,05140,44
87.0,8.0,79.0,"Warren town, Bristol County, Rhode Island",001,73760,44
264.0,104.0,160.0,"Bristol town, Bristol County, Rhode Island",001,09280,44
91.0,8.0,83.0,"Westerly town, Washington County, Rhode Island",009,77000,44
124.0,26.0,98.0,"North Kingstown town, Washington County, Rhode Island",009,51580,44
269.0,116.0,153.0,"South Kingstown town, Washington County, Rhode Island",009,67460,44
37.0,37.0,0.0,"Hopkinton town, Washington County, Rhode Island",009,35380,44
22.0,0.0,22.0,"Richmond town, Washington County, Rhode Island",009,61160,44
0.0,0.0,0.0,"Exeter town, Washington County, Rhode Island",009,25300,44
133.0,51.0,82.0,"Narragansett town, Washington County, Rhode Island",009,48340,44
0.0,0.0,0.0,"New Shoreham town, Washington County, Rhode Island",009,50500,44
12.0,12.0,0.0,"Charlestown town, Washington County, Rhode Island",009,14500,44
