B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
117.0,61.0,56.0,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",122,38460,02
30.0,4.0,26.0,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",261,14420,02
0.0,0.0,0.0,"Denali census subarea, Denali Borough, Alaska",068,18765,02
0.0,0.0,0.0,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",261,17350,02
83.0,61.0,22.0,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",122,68610,02
0.0,0.0,0.0,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",290,46060,02
0.0,0.0,0.0,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",164,42780,02
7.0,1.0,6.0,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",240,72030,02
11.0,11.0,0.0,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",290,42080,02
1.0,1.0,0.0,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",290,86690,02
7073.0,4265.0,2808.0,"Anchorage census subarea, Anchorage Municipality, Alaska",020,03050,02
39.0,5.0,34.0,"Aleutians East census subarea, Aleutians East Borough, Alaska",013,01598,02
4.0,0.0,4.0,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",198,64310,02
18.0,0.0,18.0,"Skagway census subarea, Skagway Municipality, Alaska",230,70810,02
0.0,0.0,0.0,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",198,34575,02
4.0,4.0,0.0,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",198,48873,02
22.0,10.0,12.0,"Wrangell census subarea, Wrangell City and Borough, Alaska",275,86420,02
11.0,3.0,8.0,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",105,33390,02
0.0,0.0,0.0,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",105,40560,02
344.0,28.0,316.0,"Aleutians West census subarea, Aleutians West Census Area, Alaska",016,01615,02
4.0,0.0,4.0,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",060,09050,02
667.0,322.0,345.0,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",150,41200,02
20.0,6.0,14.0,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",188,56270,02
152.0,97.0,55.0,"Sitka census subarea, Sitka City and Borough, Alaska",220,70590,02
5.0,5.0,0.0,"Aniak census subarea, Bethel Census Area, Alaska",050,03580,02
70.0,33.0,37.0,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",050,45510,02
166.0,64.0,102.0,"North Slope census subarea, North Slope Borough, Alaska",185,55970,02
5.0,1.0,4.0,"Kusilvak census subarea, Kusilvak Census Area, Alaska",158,42185,02
87.0,69.0,18.0,"Petersburg census subarea, Petersburg Borough, Alaska",195,60360,02
976.0,491.0,485.0,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",090,24450,02
324.0,198.0,126.0,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",130,39010,02
248.0,165.0,83.0,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",170,47440,02
21.0,9.0,12.0,"Nome census subarea, Nome Census Area, Alaska",180,54970,02
3.0,3.0,0.0,"Dillingham census subarea, Dillingham Census Area, Alaska",070,19000,02
52.0,0.0,52.0,"Haines census subarea, Haines Borough, Alaska",100,31160,02
9.0,4.0,5.0,"Yakutat census subarea, Yakutat City and Borough, Alaska",282,86498,02
570.0,327.0,243.0,"Juneau census subarea, Juneau City and Borough, Alaska",110,36450,02
