B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Tabernacle township, Randolph County, North Carolina",151,93208,37
0.0,0.0,0.0,"Huntsville township, Rockingham County, North Carolina",157,91564,37
66.0,29.0,37.0,"Leaksville township, Rockingham County, North Carolina",157,91752,37
5.0,5.0,0.0,"New Bethel township, Rockingham County, North Carolina",157,92232,37
0.0,0.0,0.0,"Price township, Rockingham County, North Carolina",157,92568,37
6.0,6.0,0.0,"Simpsonville township, Rockingham County, North Carolina",157,92960,37
2.0,2.0,0.0,"Wentworth township, Rockingham County, North Carolina",157,93936,37
0.0,0.0,0.0,"Mayo township, Rockingham County, North Carolina",157,92020,37
18.0,0.0,18.0,"Reidsville township, Rockingham County, North Carolina",157,92652,37
6.0,6.0,0.0,"Madison township, Rockingham County, North Carolina",157,91956,37
0.0,0.0,0.0,"Williamsburg township, Rockingham County, North Carolina",157,94032,37
0.0,0.0,0.0,"Ruffin township, Rockingham County, North Carolina",157,92772,37
0.0,0.0,0.0,"Danbury township, Stokes County, North Carolina",169,90876,37
11.0,11.0,0.0,"Yadkin township, Stokes County, North Carolina",169,94108,37
20.0,20.0,0.0,"Beaver Island township, Stokes County, North Carolina",169,90208,37
5.0,5.0,0.0,"Sauratown township, Stokes County, North Carolina",169,92852,37
0.0,0.0,0.0,"Big Creek township, Stokes County, North Carolina",169,90260,37
0.0,0.0,0.0,"Meadows township, Stokes County, North Carolina",169,92028,37
9.0,9.0,0.0,"Quaker Gap township, Stokes County, North Carolina",169,92588,37
0.0,0.0,0.0,"Peters Creek township, Stokes County, North Carolina",169,92480,37
0.0,0.0,0.0,"Snow Creek township, Stokes County, North Carolina",169,93016,37
2.0,2.0,0.0,"Spring Hill township, Scotland County, North Carolina",165,93080,37
0.0,0.0,0.0,"Williamson township, Scotland County, North Carolina",165,94036,37
4.0,0.0,4.0,"Laurel Hill township, Scotland County, North Carolina",165,91748,37
46.0,10.0,36.0,"Stewartsville township, Scotland County, North Carolina",165,93132,37
0.0,0.0,0.0,"North Fork township, Watauga County, North Carolina",189,92320,37
33.0,11.0,22.0,"Dallas township, Gaston County, North Carolina",071,90872,37
41.0,41.0,0.0,"Riverbend township, Gaston County, North Carolina",071,92692,37
6.0,0.0,6.0,"Cherryville township, Gaston County, North Carolina",071,90644,37
14.0,14.0,0.0,"Madison township, Guilford County, North Carolina",081,91952,37
22.0,22.0,0.0,"Clay township, Guilford County, North Carolina",081,90672,37
653.0,550.0,103.0,"Deep River township, Guilford County, North Carolina",081,90896,37
0.0,0.0,0.0,"Greene township, Guilford County, North Carolina",081,91304,37
708.0,412.0,296.0,"Gilmer township, Guilford County, North Carolina",081,91228,37
77.0,77.0,0.0,"Monroe township, Guilford County, North Carolina",081,92104,37
35.0,35.0,0.0,"Fentress township, Guilford County, North Carolina",081,91096,37
130.0,96.0,34.0,"Sumner township, Guilford County, North Carolina",081,93176,37
1378.0,819.0,559.0,"High Point township, Guilford County, North Carolina",081,91484,37
214.0,214.0,0.0,"Oak Ridge township, Guilford County, North Carolina",081,92360,37
49.0,49.0,0.0,"Bruce township, Guilford County, North Carolina",081,90396,37
51.0,51.0,0.0,"Center Grove township, Guilford County, North Carolina",081,90600,37
419.0,208.0,211.0,"Friendship township, Guilford County, North Carolina",081,91184,37
100.0,100.0,0.0,"Rock Creek township, Guilford County, North Carolina",081,92716,37
0.0,0.0,0.0,"Washington township, Guilford County, North Carolina",081,93908,37
68.0,68.0,0.0,"Jefferson township, Guilford County, North Carolina",081,91656,37
101.0,92.0,9.0,"Jamestown township, Guilford County, North Carolina",081,91640,37
