B25105_001E,name,county,county subdivision,state
366.0,"Boley CCD, Okfuskee County, Oklahoma",107,90299,40
478.0,"Paden CCD, Okfuskee County, Oklahoma",107,92457,40
519.0,"Okemah CCD, Okfuskee County, Oklahoma",107,92405,40
523.0,"North Atoka CCD, Atoka County, Oklahoma",005,92028,40
561.0,"West Atoka CCD, Atoka County, Oklahoma",005,93666,40
491.0,"Central Atoka CCD, Atoka County, Oklahoma",005,90481,40
474.0,"South Bryan CCD, Bryan County, Oklahoma",013,92873,40
691.0,"Durant CCD, Bryan County, Oklahoma",013,90793,40
596.0,"North Central Bryan CCD, Bryan County, Oklahoma",013,92054,40
602.0,"Colbert CCD, Bryan County, Oklahoma",013,90624,40
540.0,"East Bryan CCD, Bryan County, Oklahoma",013,90819,40
545.0,"Southeast Bryan CCD, Bryan County, Oklahoma",013,92938,40
485.0,"Seiling CCD, Dewey County, Oklahoma",043,92769,40
565.0,"Vici CCD, Dewey County, Oklahoma",043,93458,40
573.0,"Laverne CCD, Harper County, Oklahoma",059,91638,40
415.0,"Buffalo CCD, Harper County, Oklahoma",059,90377,40
650.0,"Ponca City CCD, Kay County, Oklahoma",071,92561,40
577.0,"Tonkawa CCD, Kay County, Oklahoma",071,93367,40
583.0,"Kaw City CCD, Kay County, Oklahoma",071,91521,40
525.0,"Blackwell CCD, Kay County, Oklahoma",071,90260,40
547.0,"Newkirk CCD, Kay County, Oklahoma",071,91950,40
525.0,"Braman CCD, Kay County, Oklahoma",071,90325,40
589.0,"Crescent CCD, Logan County, Oklahoma",083,90689,40
507.0,"East Logan CCD, Logan County, Oklahoma",083,90910,40
855.0,"Guthrie CCD, Logan County, Oklahoma",083,91222,40
584.0,"North Logan CCD, Logan County, Oklahoma",083,92197,40
618.0,"North Craig CCD, Craig County, Oklahoma",035,92106,40
632.0,"Vinita West CCD, Craig County, Oklahoma",035,93484,40
583.0,"Vinita East CCD, Craig County, Oklahoma",035,93471,40
1068.0,"South Tulsa CCD, Tulsa County, Oklahoma",143,93107,40
913.0,"North Tulsa CCD, Tulsa County, Oklahoma",143,92236,40
882.0,"Tulsa CCD, Tulsa County, Oklahoma",143,93380,40
707.0,"Bartlesville CCD, Washington County, Oklahoma",147,90208,40
571.0,"Copan CCD, Washington County, Oklahoma",147,90663,40
627.0,"Ochelata-Ramona CCD, Washington County, Oklahoma",147,92366,40
662.0,"West Canadian CCD, Canadian County, Oklahoma",017,93679,40
1116.0,"East Canadian CCD, Canadian County, Oklahoma",017,90832,40
778.0,"El Reno CCD, Canadian County, Oklahoma",017,91040,40
532.0,"Walnut CCD, Canadian County, Oklahoma",017,93523,40
533.0,"Gould CCD, Harmon County, Oklahoma",057,91183,40
483.0,"Hollis CCD, Harmon County, Oklahoma",057,91391,40
490.0,"West Haskell CCD, Haskell County, Oklahoma",061,93718,40
459.0,"Keota CCD, Haskell County, Oklahoma",061,91547,40
543.0,"McCurtain CCD, Haskell County, Oklahoma",061,91755,40
524.0,"Stigler CCD, Haskell County, Oklahoma",061,93224,40
526.0,"Wilburton CCD, Latimer County, Oklahoma",077,93848,40
386.0,"South Latimer CCD, Latimer County, Oklahoma",077,93055,40
461.0,"Red Oak CCD, Latimer County, Oklahoma",077,92652,40
551.0,"Henryetta CCD, Okmulgee County, Oklahoma",111,91339,40
731.0,"Beggs CCD, Okmulgee County, Oklahoma",111,90221,40
688.0,"Morris CCD, Okmulgee County, Oklahoma",111,91885,40
550.0,"Okmulgee CCD, Okmulgee County, Oklahoma",111,92431,40
374.0,"Fairfax CCD, Osage County, Oklahoma",113,91092,40
610.0,"McCord-Braden CCD, Osage County, Oklahoma",113,91742,40
577.0,"Pawhuska CCD, Osage County, Oklahoma",113,92496,40
860.0,"Southeast Osage CCD, Osage County, Oklahoma",113,92964,40
418.0,"Hominy CCD, Osage County, Oklahoma",113,91404,40
410.0,"Northwest Osage CCD, Osage County, Oklahoma",113,92301,40
482.0,"Barnsdall CCD, Osage County, Oklahoma",113,90195,40
604.0,"Hooker CCD, Texas County, Oklahoma",139,91417,40
744.0,"Guymon CCD, Texas County, Oklahoma",139,91235,40
533.0,"West Texas CCD, Texas County, Oklahoma",139,93783,40
453.0,"Waurika CCD, Jefferson County, Oklahoma",067,93601,40
424.0,"Ringling CCD, Jefferson County, Oklahoma",067,92665,40
443.0,"South Jefferson CCD, Jefferson County, Oklahoma",067,93042,40
403.0,"North Pushmataha CCD, Pushmataha County, Oklahoma",127,92223,40
459.0,"Finley-Rattan CCD, Pushmataha County, Oklahoma",127,91118,40
489.0,"Antlers CCD, Pushmataha County, Oklahoma",127,90130,40
705.0,"Enid CCD, Garfield County, Oklahoma",047,91053,40
600.0,"South Garfield CCD, Garfield County, Oklahoma",047,93016,40
655.0,"North Garfield CCD, Garfield County, Oklahoma",047,92184,40
544.0,"Elmore City CCD, Garvin County, Oklahoma",049,91027,40
608.0,"Lindsay CCD, Garvin County, Oklahoma",049,91690,40
561.0,"Maysville CCD, Garvin County, Oklahoma",049,91807,40
596.0,"Pauls Valley CCD, Garvin County, Oklahoma",049,92483,40
526.0,"Stratford CCD, Garvin County, Oklahoma",049,93276,40
578.0,"West Johnston CCD, Johnston County, Oklahoma",069,93744,40
524.0,"Tishomingo CCD, Johnston County, Oklahoma",069,93354,40
535.0,"East Johnston CCD, Johnston County, Oklahoma",069,90897,40
519.0,"Quinton CCD, Pittsburg County, Oklahoma",121,92639,40
456.0,"Kiowa-Pittsburg CCD, Pittsburg County, Oklahoma",121,91599,40
589.0,"Northwest Pittsburg CCD, Pittsburg County, Oklahoma",121,92314,40
528.0,"North Central Pittsburg CCD, Pittsburg County, Oklahoma",121,92067,40
685.0,"McAlester CCD, Pittsburg County, Oklahoma",121,91729,40
676.0,"Ada CCD, Pontotoc County, Oklahoma",123,90013,40
627.0,"South Central Pontotoc CCD, Pontotoc County, Oklahoma",123,92886,40
572.0,"Southeast Pontotoc CCD, Pontotoc County, Oklahoma",123,92977,40
636.0,"Southwest Pontotoc CCD, Pontotoc County, Oklahoma",123,93172,40
722.0,"Northwest Pontotoc CCD, Pontotoc County, Oklahoma",123,92327,40
591.0,"Northeast Pontotoc CCD, Pontotoc County, Oklahoma",123,92158,40
521.0,"Cheyenne CCD, Roger Mills County, Oklahoma",129,90559,40
829.0,"South Roger Mills CCD, Roger Mills County, Oklahoma",129,93094,40
617.0,"East Roger Mills CCD, Roger Mills County, Oklahoma",129,90988,40
705.0,"Mooreland CCD, Woodward County, Oklahoma",153,91872,40
727.0,"Woodward CCD, Woodward County, Oklahoma",153,93887,40
652.0,"North Cherokee CCD, Cherokee County, Oklahoma",021,92080,40
595.0,"South Cherokee CCD, Cherokee County, Oklahoma",021,92899,40
479.0,"East Cherokee CCD, Cherokee County, Oklahoma",021,90845,40
548.0,"Hulbert CCD, Cherokee County, Oklahoma",021,91443,40
632.0,"Tahlequah CCD, Cherokee County, Oklahoma",021,93289,40
677.0,"Grove CCD, Delaware County, Oklahoma",041,91209,40
572.0,"Colcord CCD, Delaware County, Oklahoma",041,90637,40
563.0,"Jay CCD, Delaware County, Oklahoma",041,91495,40
501.0,"Kansas CCD, Delaware County, Oklahoma",041,91508,40
487.0,"South Ellis CCD, Ellis County, Oklahoma",045,93003,40
460.0,"Northeast Ellis CCD, Ellis County, Oklahoma",045,92132,40
513.0,"Northwest Ellis CCD, Ellis County, Oklahoma",045,92262,40
1027.0,"Tuttle CCD, Grady County, Oklahoma",051,93393,40
844.0,"Amber-Pocasset CCD, Grady County, Oklahoma",051,90104,40
620.0,"Minco CCD, Grady County, Oklahoma",051,91859,40
512.0,"Rush Springs CCD, Grady County, Oklahoma",051,92704,40
622.0,"Chickasha CCD, Grady County, Oklahoma",051,90572,40
632.0,"Cushing CCD, Payne County, Oklahoma",119,90702,40
550.0,"Yale CCD, Payne County, Oklahoma",119,93926,40
