C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
8781.0,8102.0,215.0,61.0,50.0,0.0,79.0,5.0,7.0,26.0,88.0,12.0,0.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,36.0,0.0,"Redding town, Fairfield County, Connecticut",001,63480,09
50200.0,40252.0,3379.0,1765.0,729.0,362.0,94.0,0.0,209.0,390.0,1005.0,832.0,0.0,17.0,48.0,119.0,85.0,113.0,183.0,44.0,196.0,23.0,18.0,22.0,228.0,87.0,"Stratford town, Fairfield County, Connecticut",001,74190,09
121349.0,69772.0,13752.0,14538.0,2626.0,2345.0,388.0,61.0,2384.0,1879.0,5595.0,2133.0,255.0,54.0,661.0,729.0,220.0,29.0,664.0,212.0,1388.0,311.0,337.0,220.0,578.0,218.0,"Stamford town, Fairfield County, Connecticut",001,73070,09
19247.0,16195.0,637.0,182.0,198.0,53.0,169.0,7.0,239.0,235.0,756.0,214.0,55.0,10.0,124.0,22.0,16.0,0.0,0.0,22.0,60.0,0.0,0.0,0.0,17.0,36.0,"New Canaan town, Fairfield County, Connecticut",001,50580,09
13353.0,12161.0,413.0,140.0,32.0,0.0,124.0,46.0,40.0,0.0,305.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,35.0,8.0,12.0,"New Fairfield town, Fairfield County, Connecticut",001,50860,09
27006.0,24179.0,858.0,235.0,192.0,0.0,235.0,0.0,47.0,66.0,644.0,222.0,18.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,26.0,120.0,0.0,0.0,83.0,37.0,"Newtown town, Fairfield County, Connecticut",001,52980,09
9896.0,8517.0,431.0,32.0,54.0,0.0,132.0,15.0,39.0,14.0,272.0,23.0,4.0,0.0,179.0,36.0,0.0,0.0,0.0,0.0,27.0,15.0,0.0,0.0,84.0,22.0,"Weston town, Fairfield County, Connecticut",001,83430,09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Fairfield County, Connecticut",001,00000,09
7328.0,6413.0,123.0,141.0,32.0,0.0,18.0,6.0,47.0,22.0,237.0,121.0,0.0,18.0,16.0,6.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,0.0,38.0,60.0,"Easton town, Fairfield County, Connecticut",001,23890,09
17709.0,15301.0,198.0,60.0,147.0,16.0,159.0,0.0,303.0,69.0,553.0,140.0,55.0,58.0,150.0,173.0,15.0,0.0,50.0,0.0,144.0,25.0,8.0,6.0,79.0,0.0,"Wilton town, Fairfield County, Connecticut",001,86370,09
137582.0,72212.0,22902.0,22114.0,3257.0,1635.0,157.0,7.0,382.0,538.0,3875.0,4353.0,111.0,16.0,190.0,487.0,250.0,484.0,176.0,15.0,376.0,610.0,191.0,542.0,1961.0,741.0,"Bridgeport town, Fairfield County, Connecticut",001,08070,09
20260.0,17350.0,695.0,113.0,130.0,10.0,276.0,60.0,117.0,20.0,600.0,215.0,41.0,0.0,222.0,193.0,0.0,0.0,17.0,0.0,102.0,46.0,0.0,0.0,53.0,0.0,"Darien town, Fairfield County, Connecticut",001,18850,09
