B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
87.0,0.0,38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,"Rockingham CCD, Bacon County, Georgia",005,92562,13
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,"Altamaha River CCD, Appling County, Georgia",001,90078,13
362.0,59.0,57.0,0.0,27.0,0.0,79.0,60.0,51.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"Baxley CCD, Appling County, Georgia",001,90240,13
117.0,0.0,0.0,11.0,13.0,37.0,18.0,0.0,0.0,30.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,"Alma CCD, Bacon County, Georgia",005,90072,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hoboken CCD, Brantley County, Georgia",025,91500,13
43.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,"Waynesville CCD, Brantley County, Georgia",025,93306,13
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Nahunta CCD, Brantley County, Georgia",025,92124,13
41.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"Southeast Banks CCD, Banks County, Georgia",011,92803,13
542.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,41.0,61.0,31.0,129.0,81.0,144.0,13.0,0.0,"North Paulding CCD, Paulding County, Georgia",223,92210,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LaFayette CCD, Walker County, Georgia",295,91668,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Queensland CCD, Ben Hill County, Georgia",017,92433,13
202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,24.0,0.0,0.0,0.0,0.0,27.0,"Redbud CCD, Gordon County, Georgia",129,92460,13
