B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
2637.0,2564.0,53.0,20.0,0.0,0.0,"Goshen town, Litchfield County, Connecticut",005,32290,09
23303.0,21594.0,754.0,624.0,260.0,71.0,"New Milford town, Litchfield County, Connecticut",005,52630,09
20097.0,19000.0,348.0,489.0,260.0,0.0,"Watertown town, Litchfield County, Connecticut",005,80490,09
1424.0,1236.0,125.0,20.0,38.0,5.0,"Colebrook town, Litchfield County, Connecticut",005,16050,09
8631.0,7718.0,410.0,271.0,209.0,23.0,"Woodbury town, Litchfield County, Connecticut",005,87910,09
1525.0,1427.0,38.0,16.0,38.0,6.0,"Bridgewater town, Litchfield County, Connecticut",005,08210,09
1056.0,962.0,48.0,19.0,27.0,0.0,"Canaan town, Litchfield County, Connecticut",005,10940,09
3305.0,3154.0,75.0,25.0,51.0,0.0,"Bethlehem town, Litchfield County, Connecticut",005,04930,09
7552.0,6981.0,458.0,72.0,38.0,3.0,"Litchfield town, Litchfield County, Connecticut",005,43370,09
1351.0,1280.0,11.0,3.0,57.0,0.0,"Warren town, Litchfield County, Connecticut",005,79510,09
1355.0,1282.0,62.0,0.0,11.0,0.0,"Norfolk town, Litchfield County, Connecticut",005,53470,09
3041.0,2814.0,151.0,7.0,69.0,0.0,"North Canaan town, Litchfield County, Connecticut",005,54030,09
2129.0,2013.0,60.0,40.0,16.0,0.0,"Roxbury town, Litchfield County, Connecticut",005,65930,09
9599.0,8030.0,1074.0,376.0,119.0,0.0,"Winchester town, Litchfield County, Connecticut",005,86440,09
6395.0,6052.0,61.0,261.0,21.0,0.0,"New Hartford town, Litchfield County, Connecticut",005,51350,09
3145.0,2965.0,144.0,0.0,36.0,0.0,"Washington town, Litchfield County, Connecticut",005,79720,09
3526.0,3346.0,60.0,41.0,79.0,0.0,"Barkhamsted town, Litchfield County, Connecticut",005,02760,09
8863.0,8383.0,393.0,87.0,0.0,0.0,"Canton town, Hartford County, Connecticut",003,12270,09
35327.0,31727.0,1944.0,801.0,790.0,65.0,"Enfield town, Hartford County, Connecticut",003,25990,09
23336.0,21101.0,1436.0,346.0,431.0,22.0,"Newington town, Hartford County, Connecticut",003,52140,09
14660.0,13111.0,1332.0,65.0,152.0,0.0,"Plainville town, Hartford County, Connecticut",003,60120,09
21055.0,18944.0,1246.0,122.0,708.0,35.0,"Simsbury town, Hartford County, Connecticut",003,68940,09
20582.0,18986.0,842.0,295.0,375.0,84.0,"South Windsor town, Hartford County, Connecticut",003,71390,09
46054.0,41192.0,2997.0,530.0,1070.0,265.0,"West Hartford town, Hartford County, Connecticut",003,82590,09
13901.0,12885.0,577.0,205.0,195.0,39.0,"Windsor town, Hartford County, Connecticut",003,87000,09
10023.0,9076.0,640.0,133.0,166.0,8.0,"Windsor Locks town, Hartford County, Connecticut",003,87070,09
8689.0,7951.0,554.0,105.0,79.0,0.0,"East Windsor town, Hartford County, Connecticut",003,24800,09
30658.0,27716.0,1714.0,812.0,230.0,186.0,"New Britain town, Hartford County, Connecticut",003,50440,09
46133.0,42459.0,2536.0,800.0,276.0,62.0,"Bristol town, Hartford County, Connecticut",003,08490,09
20321.0,19005.0,870.0,162.0,194.0,90.0,"Farmington town, Hartford County, Connecticut",003,27600,09
39866.0,37887.0,1226.0,563.0,147.0,43.0,"Southington town, Hartford County, Connecticut",003,70550,09
4417.0,3875.0,332.0,96.0,114.0,0.0,"East Granby town, Hartford County, Connecticut",003,22070,09
14889.0,13948.0,682.0,69.0,135.0,55.0,"Avon town, Hartford County, Connecticut",003,02060,09
20698.0,19556.0,714.0,134.0,284.0,10.0,"Wethersfield town, Hartford County, Connecticut",003,84900,09
18609.0,17606.0,628.0,170.0,155.0,50.0,"Berlin town, Hartford County, Connecticut",003,04300,09
8863.0,8493.0,203.0,119.0,25.0,23.0,"Burlington town, Hartford County, Connecticut",003,10100,09
10691.0,10001.0,462.0,24.0,155.0,49.0,"Granby town, Hartford County, Connecticut",003,32640,09
1891.0,1850.0,30.0,0.0,11.0,0.0,"Hartland town, Hartford County, Connecticut",003,37140,09
17270.0,15888.0,1052.0,203.0,76.0,51.0,"East Hartford town, Hartford County, Connecticut",003,22630,09
18323.0,14248.0,2097.0,744.0,1017.0,217.0,"Hartford town, Hartford County, Connecticut",003,37070,09
33303.0,29219.0,2619.0,1044.0,404.0,17.0,"Manchester town, Hartford County, Connecticut",003,44700,09
6417.0,5702.0,422.0,37.0,230.0,26.0,"Bloomfield town, Hartford County, Connecticut",003,05910,09
29179.0,26808.0,1510.0,397.0,375.0,89.0,"Glastonbury town, Hartford County, Connecticut",003,31240,09
12434.0,11288.0,579.0,335.0,198.0,34.0,"Suffield town, Hartford County, Connecticut",003,74540,09
6006.0,5681.0,193.0,52.0,60.0,20.0,"Marlborough town, Hartford County, Connecticut",003,45820,09
