B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
101.0,1.0,5.0,12.0,20.0,16.0,11.0,6.0,8.0,4.0,1.0,0.0,0.0,13.0,1.0,3.0,0.0,"Brown-Carpenter township, Clay County, Arkansas",021,90496,05
162.0,6.0,19.0,14.0,10.0,29.0,20.0,5.0,7.0,12.0,5.0,14.0,7.0,10.0,2.0,2.0,0.0,"Cache-Wilson township, Clay County, Arkansas",021,90589,05
160.0,11.0,23.0,4.0,27.0,7.0,11.0,3.0,2.0,4.0,12.0,33.0,6.0,0.0,13.0,4.0,0.0,"Chalk Bluff-Liddell township, Clay County, Arkansas",021,90757,05
1119.0,170.0,214.0,116.0,33.0,74.0,57.0,34.0,53.0,50.0,46.0,150.0,47.0,26.0,20.0,16.0,13.0,"Cleveland-North Kilgore township, Clay County, Arkansas",021,90874,05
637.0,119.0,79.0,40.0,23.0,66.0,22.0,26.0,29.0,25.0,70.0,63.0,27.0,8.0,19.0,13.0,8.0,"East Oak Bluff-Blue Cane township, Clay County, Arkansas",021,91201,05
111.0,4.0,5.0,8.0,8.0,9.0,22.0,18.0,4.0,9.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0,"Payne-Swain township, Clay County, Arkansas",021,92836,05
700.0,100.0,55.0,20.0,73.0,95.0,28.0,21.0,61.0,34.0,25.0,75.0,51.0,37.0,0.0,16.0,9.0,"Gleghorn-South Kilgore township, Clay County, Arkansas",021,91474,05
22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,"Behestian township, Ouachita County, Arkansas",103,90213,05
1182.0,117.0,251.0,53.0,10.0,111.0,139.0,60.0,61.0,20.0,89.0,66.0,127.0,59.0,12.0,7.0,0.0,"North St. Francis township, Clay County, Arkansas",021,92719,05
620.0,63.0,84.0,46.0,17.0,27.0,68.0,28.0,27.0,79.0,51.0,17.0,49.0,47.0,6.0,11.0,0.0,"South St. Francis township, Clay County, Arkansas",021,93439,05
489.0,10.0,34.0,52.0,22.0,42.0,19.0,26.0,55.0,17.0,52.0,73.0,54.0,10.0,15.0,0.0,8.0,"West Oak Bluff township, Clay County, Arkansas",021,93971,05
