B19013I_001E,name,county,county subdivision,state
-666666666.0,"District 6, Mecklenburg County, Virginia",117,92003,51
-666666666.0,"District 8, Mecklenburg County, Virginia",117,92303,51
-666666666.0,"District 2, Mecklenburg County, Virginia",117,91403,51
-666666666.0,"District 2, New Kent County, Virginia",127,91407,51
-666666666.0,"District 4, New Kent County, Virginia",127,91707,51
-666666666.0,"District 1, New Kent County, Virginia",127,91257,51
-666666666.0,"District 3, New Kent County, Virginia",127,91557,51
-666666666.0,"District 5, New Kent County, Virginia",127,91857,51
168125.0,"Pastures district, Augusta County, Virginia",015,94999,51
-666666666.0,"Wayne district, Augusta County, Virginia",015,96271,51
67875.0,"Beverley Manor district, Augusta County, Virginia",015,90272,51
72000.0,"South River district, Augusta County, Virginia",015,95791,51
-666666666.0,"Riverheads district, Augusta County, Virginia",015,95335,51
60139.0,"North River district, Augusta County, Virginia",015,94911,51
-666666666.0,"Middle River district, Augusta County, Virginia",015,94671,51
-666666666.0,"District 1, Cumberland County, Virginia",049,91220,51
-666666666.0,"District 2, Cumberland County, Virginia",049,91370,51
-666666666.0,"District 3, Cumberland County, Virginia",049,91520,51
-666666666.0,"District 4, Cumberland County, Virginia",049,91670,51
-666666666.0,"District 5, Cumberland County, Virginia",049,91820,51
-666666666.0,"Clintwood district, Dickenson County, Virginia",051,90880,51
-666666666.0,"Sand Lick district, Dickenson County, Virginia",051,95575,51
-666666666.0,"Ervinton district, Dickenson County, Virginia",051,93495,51
-666666666.0,"Kenady district, Dickenson County, Virginia",051,94135,51
-666666666.0,"Willis district, Dickenson County, Virginia",051,96407,51
-666666666.0,"District 3, Goochland County, Virginia",075,91532,51
-666666666.0,"District 5, Goochland County, Virginia",075,91832,51
110000.0,"District 4, Goochland County, Virginia",075,91682,51
-666666666.0,"District 2, Goochland County, Virginia",075,91382,51
-666666666.0,"District 1, Goochland County, Virginia",075,91232,51
-666666666.0,"District 6, Halifax County, Virginia",083,91986,51
28923.0,"District 5, Halifax County, Virginia",083,91836,51
-666666666.0,"District 2, Halifax County, Virginia",083,91386,51
-666666666.0,"District 1, Halifax County, Virginia",083,91236,51
-666666666.0,"District 8, Halifax County, Virginia",083,92286,51
-666666666.0,"District 3, Halifax County, Virginia",083,91536,51
-666666666.0,"District 4, Halifax County, Virginia",083,91686,51
-666666666.0,"District 7, Halifax County, Virginia",083,92136,51
140761.0,"Catoctin district, Loudoun County, Virginia",107,90656,51
138860.0,"Blue Ridge district, Loudoun County, Virginia",107,90400,51
55024.0,"Leesburg district, Loudoun County, Virginia",107,94247,51
71479.0,"Sterling district, Loudoun County, Virginia",107,95887,51
78661.0,"Broad Run district, Loudoun County, Virginia",107,90488,51
123750.0,"Dulles district, Loudoun County, Virginia",107,93415,51
-666666666.0,"Robertson district, Madison County, Virginia",113,95383,51
-666666666.0,"Rapidan district, Madison County, Virginia",113,95223,51
-666666666.0,"Locust Dale district, Madison County, Virginia",113,94335,51
61686.0,"Woodbridge district, Prince William County, Virginia",153,96455,51
81516.0,"Coles district, Prince William County, Virginia",153,90928,51
64549.0,"Gainesville district, Prince William County, Virginia",153,93671,51
81250.0,"Occoquan district, Prince William County, Virginia",153,94943,51
112798.0,"Brentsville district, Prince William County, Virginia",153,90480,51
70548.0,"Neabsco district, Prince William County, Virginia",153,94807,51
35946.0,"Vinton district, Roanoke County, Virginia",161,96183,51
48000.0,"Catawba district, Roanoke County, Virginia",161,90648,51
-666666666.0,"Cave Spring district, Roanoke County, Virginia",161,90664,51
-666666666.0,"Windsor Hills district, Roanoke County, Virginia",161,96439,51
-666666666.0,"Hollins district, Roanoke County, Virginia",161,93911,51
-666666666.0,"Berlin and Ivor district, Southampton County, Virginia",175,90240,51
-666666666.0,"Jerusalem district, Southampton County, Virginia",175,94103,51
-666666666.0,"Drewryville district, Southampton County, Virginia",175,93407,51
-666666666.0,"Capron district, Southampton County, Virginia",175,90608,51
-666666666.0,"Newsoms district, Southampton County, Virginia",175,94855,51
-666666666.0,"Franklin district, Southampton County, Virginia",175,93639,51
-666666666.0,"Blue Grass district, Highland County, Virginia",091,90368,51
-666666666.0,"Monterey district, Highland County, Virginia",091,94743,51
-666666666.0,"Stonewall district, Highland County, Virginia",091,95935,51
-666666666.0,"Red Oak district, Brunswick County, Virginia",025,95255,51
-666666666.0,"Sturgeon district, Brunswick County, Virginia",025,95983,51
-666666666.0,"Meherrin district, Brunswick County, Virginia",025,94639,51
-666666666.0,"Totaro district, Brunswick County, Virginia",025,96103,51
-666666666.0,"Powellton district, Brunswick County, Virginia",025,95151,51
89545.0,"Mattaponi district, Caroline County, Virginia",033,94583,51
-666666666.0,"Reedy Church district, Caroline County, Virginia",033,95271,51
-666666666.0,"Madison district, Caroline County, Virginia",033,94423,51
-666666666.0,"Port Royal district, Caroline County, Virginia",033,95119,51
2499.0,"Bowling Green district, Caroline County, Virginia",033,90440,51
52206.0,"Gloucester Point district, Gloucester County, Virginia",073,93735,51
-666666666.0,"York district, Gloucester County, Virginia",073,96471,51
-666666666.0,"Petsworth district, Gloucester County, Virginia",073,95047,51
-666666666.0,"Ware district, Gloucester County, Virginia",073,96231,51
-666666666.0,"Abingdon district, Gloucester County, Virginia",073,90008,51
84813.0,"District 1, Northampton County, Virginia",131,91258,51
-666666666.0,"District 3, Northampton County, Virginia",131,91558,51
-666666666.0,"District 2, Northampton County, Virginia",131,91408,51
20875.0,"District 6, Northampton County, Virginia",131,92008,51
42697.0,"District 4, Northampton County, Virginia",131,91708,51
38750.0,"District 5, Northampton County, Virginia",131,91858,51
-666666666.0,"Dan River district, Patrick County, Virginia",141,91096,51
-666666666.0,"Mayo River district, Patrick County, Virginia",141,94591,51
50227.0,"Blue Ridge district, Patrick County, Virginia",141,90408,51
-666666666.0,"Peters Creek district, Patrick County, Virginia",141,95039,51
-666666666.0,"Smith River district, Patrick County, Virginia",141,95735,51
-666666666.0,"District 2, Powhatan County, Virginia",145,91415,51
-666666666.0,"District 1, Powhatan County, Virginia",145,91265,51
-666666666.0,"District 3, Powhatan County, Virginia",145,91565,51
-666666666.0,"District 4, Powhatan County, Virginia",145,91715,51
-666666666.0,"District 5, Powhatan County, Virginia",145,91865,51
-666666666.0,"South River district, Rockbridge County, Virginia",163,95799,51
47778.0,"Natural Bridge district, Rockbridge County, Virginia",163,94799,51
-666666666.0,"Walkers Creek district, Rockbridge County, Virginia",163,96215,51
-666666666.0,"Kerrs Creek district, Rockbridge County, Virginia",163,94143,51
-666666666.0,"Buffalo district, Rockbridge County, Virginia",163,90568,51
57361.0,"District 1, Shenandoah County, Virginia",171,91277,51
-666666666.0,"District 5, Shenandoah County, Virginia",171,91877,51
36629.0,"District 4, Shenandoah County, Virginia",171,91727,51
31250.0,"District 2, Shenandoah County, Virginia",171,91427,51
80056.0,"District 3, Shenandoah County, Virginia",171,91577,51
41484.0,"District 6, Shenandoah County, Virginia",171,92027,51
65227.0,"Cedar Run district, Fauquier County, Virginia",061,90688,51
130509.0,"Scott district, Fauquier County, Virginia",061,95599,51
52188.0,"Lee district, Fauquier County, Virginia",061,94215,51
-666666666.0,"Marshall district, Fauquier County, Virginia",061,94511,51
60375.0,"Center district, Fauquier County, Virginia",061,90704,51
37007.0,"East Fairfax district, Culpeper County, Virginia",047,93447,51
-666666666.0,"Salem district, Culpeper County, Virginia",047,95535,51
82266.0,"West Fairfax district, Culpeper County, Virginia",047,96303,51
-666666666.0,"Stevensburg district, Culpeper County, Virginia",047,95895,51
-666666666.0,"Jefferson district, Culpeper County, Virginia",047,94079,51
52188.0,"Catalpa district, Culpeper County, Virginia",047,90640,51
55380.0,"Cedar Mountain district, Culpeper County, Virginia",047,90680,51
23688.0,"District 1, Dinwiddie County, Virginia",053,91222,51
-666666666.0,"District 4, Dinwiddie County, Virginia",053,91672,51
59527.0,"District 2, Dinwiddie County, Virginia",053,91372,51
-666666666.0,"District 5, Dinwiddie County, Virginia",053,91822,51
-666666666.0,"District 3, Dinwiddie County, Virginia",053,91522,51
-666666666.0,"Monroe district, Greene County, Virginia",079,94719,51
47083.0,"Stanardsville district, Greene County, Virginia",079,95863,51
-666666666.0,"Ruckersville district, Greene County, Virginia",079,95487,51
94318.0,"Ashland district, Hanover County, Virginia",085,90096,51
-666666666.0,"Chickahominy district, Hanover County, Virginia",085,90824,51
117188.0,"Beaverdam district, Hanover County, Virginia",085,90200,51
-666666666.0,"Cold Harbor district, Hanover County, Virginia",085,90920,51
93750.0,"South Anna district, Hanover County, Virginia",085,95759,51
-666666666.0,"Henry district, Hanover County, Virginia",085,93887,51
66299.0,"Mechanicsville district, Hanover County, Virginia",085,94631,51
-666666666.0,"Plymouth district, Lunenburg County, Virginia",111,95111,51
-666666666.0,"Rehoboth district, Lunenburg County, Virginia",111,95279,51
-666666666.0,"Meherrin River district, Lunenburg County, Virginia",111,94647,51
-666666666.0,"Hounds Creek district, Lunenburg County, Virginia",111,93927,51
28750.0,"Beaver Creek district, Lunenburg County, Virginia",111,90192,51
-666666666.0,"Browns Store district, Lunenburg County, Virginia",111,90512,51
-666666666.0,"Loves Mill district, Lunenburg County, Virginia",111,94383,51
105625.0,"District 1, Orange County, Virginia",137,91261,51
59099.0,"District 5, Orange County, Virginia",137,91861,51
62772.0,"District 3, Orange County, Virginia",137,91561,51
-666666666.0,"District 2, Orange County, Virginia",137,91411,51
68750.0,"District 4, Orange County, Virginia",137,91711,51
-666666666.0,"Emporia city, Emporia city, Virginia",595,93491,51
-666666666.0,"Black Lick district, Wythe County, Virginia",197,90304,51
-666666666.0,"Speedwell district, Wythe County, Virginia",197,95823,51
-666666666.0,"East Wytheville district, Wythe County, Virginia",197,93471,51
-666666666.0,"Fort Chiswell district, Wythe County, Virginia",197,93615,51
-666666666.0,"Lead Mines district, Wythe County, Virginia",197,94183,51
-666666666.0,"West Wytheville district, Wythe County, Virginia",197,96343,51
67500.0,"Chesapeake city, Chesapeake city, Virginia",550,90812,51
85000.0,"Colonial Heights city, Colonial Heights city, Virginia",570,90948,51
45015.0,"Harrisonburg city, Harrisonburg city, Virginia",660,93859,51
122540.0,"Rivanna district, Albemarle County, Virginia",003,95319,51
54760.0,"Samuel Miller district, Albemarle County, Virginia",003,95567,51
-666666666.0,"Rio district, Albemarle County, Virginia",003,95311,51
50604.0,"Scottsville district, Albemarle County, Virginia",003,95607,51
2499.0,"White Hall district, Albemarle County, Virginia",003,96359,51
41417.0,"Jack Jouett district, Albemarle County, Virginia",003,93983,51
112708.0,"Buchanan district, Botetourt County, Virginia",023,90528,51
-666666666.0,"Fincastle district, Botetourt County, Virginia",023,93575,51
-666666666.0,"Amsterdam district, Botetourt County, Virginia",023,90048,51
-666666666.0,"Valley district, Botetourt County, Virginia",023,96159,51
-666666666.0,"Blue Ridge district, Botetourt County, Virginia",023,90384,51
42024.0,"Lynchburg city, Lynchburg city, Virginia",680,94403,51
-666666666.0,"District 2, York County, Virginia",199,91440,51
108359.0,"District 5, York County, Virginia",199,91890,51
44637.0,"District 3, York County, Virginia",199,91590,51
154438.0,"District 4, York County, Virginia",199,91740,51
59545.0,"District 1, York County, Virginia",199,91290,51
38502.0,"Richmond city, Richmond city, Virginia",760,95291,51
36250.0,"Martinsville city, Martinsville city, Virginia",690,94537,51
-666666666.0,"South district, Essex County, Virginia",057,95751,51
-666666666.0,"North district, Essex County, Virginia",057,94879,51
-666666666.0,"Central district, Essex County, Virginia",057,90720,51
14167.0,"Staunton River district, Pittsylvania County, Virginia",143,95879,51
-666666666.0,"Westover district, Pittsylvania County, Virginia",143,96319,51
33083.0,"Banister district, Pittsylvania County, Virginia",143,90152,51
-666666666.0,"Dan River district, Pittsylvania County, Virginia",143,91104,51
-666666666.0,"Chatham-Blairs district, Pittsylvania County, Virginia",143,90800,51
