B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
15.0,11.0,4.0,"Stilwell East CCD, Adair County, Oklahoma",001,93250,40
0.0,0.0,0.0,"Westville CCD, Adair County, Oklahoma",001,93796,40
12.0,12.0,0.0,"Watts CCD, Adair County, Oklahoma",001,93588,40
9.0,5.0,4.0,"Stilwell West CCD, Adair County, Oklahoma",001,93263,40
0.0,0.0,0.0,"Konawa CCD, Seminole County, Oklahoma",133,91612,40
0.0,0.0,0.0,"Seminole South CCD, Seminole County, Oklahoma",133,92795,40
6.0,6.0,0.0,"Wewoka CCD, Seminole County, Oklahoma",133,93835,40
6.0,0.0,6.0,"Seminole North CCD, Seminole County, Oklahoma",133,92782,40
0.0,0.0,0.0,"Velma-Alma CCD, Stephens County, Oklahoma",137,93432,40
0.0,0.0,0.0,"Marlow CCD, Stephens County, Oklahoma",137,91781,40
14.0,14.0,0.0,"Comanche CCD, Stephens County, Oklahoma",137,90650,40
71.0,45.0,26.0,"Duncan CCD, Stephens County, Oklahoma",137,90780,40
0.0,0.0,0.0,"Keyes CCD, Cimarron County, Oklahoma",025,91560,40
4.0,4.0,0.0,"Boise City CCD, Cimarron County, Oklahoma",025,90286,40
0.0,0.0,0.0,"Watonga CCD, Blaine County, Oklahoma",011,93575,40
11.0,11.0,0.0,"Canton CCD, Blaine County, Oklahoma",011,90416,40
0.0,0.0,0.0,"Geary CCD, Blaine County, Oklahoma",011,91170,40
0.0,0.0,0.0,"Okeene CCD, Blaine County, Oklahoma",011,92392,40
194.0,94.0,100.0,"Ardmore CCD, Carter County, Oklahoma",019,90156,40
3.0,0.0,3.0,"Wilson CCD, Carter County, Oklahoma",019,93861,40
0.0,0.0,0.0,"Ardmore North CCD, Carter County, Oklahoma",019,90169,40
0.0,0.0,0.0,"Healdton North CCD, Carter County, Oklahoma",019,91287,40
0.0,0.0,0.0,"Healdton Central CCD, Carter County, Oklahoma",019,91274,40
2.0,2.0,0.0,"West Coal CCD, Coal County, Oklahoma",029,93705,40
0.0,0.0,0.0,"East Coal CCD, Coal County, Oklahoma",029,90871,40
1.0,1.0,0.0,"Lamont CCD, Grant County, Oklahoma",053,91625,40
0.0,0.0,0.0,"Medford CCD, Grant County, Oklahoma",053,91820,40
0.0,0.0,0.0,"Wakita CCD, Grant County, Oklahoma",053,93510,40
0.0,0.0,0.0,"Southwest Grant CCD, Grant County, Oklahoma",053,93159,40
0.0,0.0,0.0,"Northwest Greer CCD, Greer County, Oklahoma",055,92275,40
0.0,0.0,0.0,"Mangum CCD, Greer County, Oklahoma",055,91768,40
0.0,0.0,0.0,"Granite CCD, Greer County, Oklahoma",055,91196,40
0.0,0.0,0.0,"Kingfisher CCD, Kingfisher County, Oklahoma",073,91586,40
0.0,0.0,0.0,"Hennessey CCD, Kingfisher County, Oklahoma",073,91326,40
0.0,0.0,0.0,"Okarche-Cashion CCD, Kingfisher County, Oklahoma",073,92379,40
14.0,5.0,9.0,"Purcell CCD, McClain County, Oklahoma",087,92626,40
