B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
521,285.0,7.0,4.0,15.0,10.0,15.0,6.0,0.0,10.0,11.0,18.0,20.0,11.0,30.0,32.0,19.0,12.0,22.0,22.0,5.0,7.0,3.0,3.0,3.0,236.0,9.0,10.0,13.0,8.0,3.0,3.0,0.0,3.0,9.0,7.0,13.0,14.0,21.0,36.0,35.0,8.0,12.0,5.0,4.0,13.0,3.0,3.0,4.0,"Onamia township, Mille Lacs County, Minnesota",095,48328,27
713,391.0,43.0,17.0,20.0,17.0,7.0,19.0,5.0,8.0,19.0,27.0,32.0,24.0,24.0,35.0,29.0,3.0,13.0,11.0,6.0,15.0,14.0,3.0,0.0,322.0,20.0,12.0,16.0,20.0,6.0,5.0,3.0,2.0,19.0,21.0,20.0,19.0,23.0,34.0,25.0,13.0,10.0,10.0,10.0,22.0,7.0,2.0,3.0,"Page township, Mille Lacs County, Minnesota",095,49480,27
1353,656.0,47.0,45.0,71.0,14.0,18.0,7.0,8.0,3.0,42.0,32.0,49.0,43.0,38.0,39.0,51.0,17.0,40.0,21.0,8.0,22.0,23.0,12.0,6.0,697.0,77.0,48.0,30.0,25.0,20.0,12.0,0.0,31.0,54.0,25.0,24.0,64.0,34.0,53.0,27.0,28.0,30.0,14.0,16.0,40.0,28.0,7.0,10.0,"Kathio township, Mille Lacs County, Minnesota",095,32516,27
2130,1108.0,27.0,78.0,43.0,32.0,11.0,19.0,5.0,54.0,67.0,75.0,76.0,36.0,84.0,90.0,128.0,12.0,74.0,47.0,50.0,36.0,31.0,13.0,20.0,1022.0,42.0,45.0,39.0,37.0,16.0,17.0,0.0,46.0,50.0,80.0,62.0,24.0,55.0,126.0,115.0,28.0,44.0,23.0,53.0,49.0,21.0,31.0,19.0,"Princeton township, Mille Lacs County, Minnesota",095,52540,27
176,92.0,3.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,6.0,4.0,8.0,14.0,4.0,6.0,4.0,6.0,8.0,1.0,5.0,0.0,84.0,1.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,9.0,1.0,7.0,15.0,2.0,6.0,1.0,8.0,5.0,4.0,3.0,3.0,"Dailey township, Mille Lacs County, Minnesota",095,14500,27
600,307.0,12.0,6.0,3.0,6.0,18.0,0.0,0.0,7.0,8.0,6.0,3.0,16.0,14.0,34.0,29.0,8.0,32.0,10.0,24.0,21.0,37.0,9.0,4.0,293.0,11.0,6.0,6.0,3.0,2.0,0.0,0.0,7.0,5.0,9.0,16.0,10.0,18.0,33.0,22.0,9.0,28.0,10.0,27.0,34.0,25.0,2.0,10.0,"East Side township, Mille Lacs County, Minnesota",095,17810,27
1221,702.0,30.0,34.0,43.0,52.0,21.0,20.0,5.0,26.0,40.0,36.0,45.0,68.0,28.0,53.0,59.0,6.0,38.0,19.0,20.0,31.0,15.0,9.0,4.0,519.0,32.0,56.0,38.0,15.0,11.0,4.0,5.0,10.0,20.0,21.0,53.0,38.0,18.0,47.0,47.0,9.0,21.0,22.0,15.0,16.0,12.0,9.0,0.0,"Greenbush township, Mille Lacs County, Minnesota",095,25586,27
4589,1992.0,164.0,198.0,134.0,44.0,52.0,0.0,21.0,85.0,195.0,125.0,184.0,19.0,167.0,121.0,98.0,17.0,60.0,38.0,5.0,81.0,62.0,36.0,86.0,2597.0,234.0,329.0,46.0,132.0,14.0,0.0,37.0,111.0,213.0,247.0,127.0,99.0,112.0,194.0,94.0,39.0,61.0,30.0,41.0,130.0,64.0,55.0,188.0,"Princeton city, Mille Lacs County, Minnesota",095,52522,27
220,112.0,7.0,14.0,5.0,6.0,1.0,0.0,2.0,0.0,1.0,15.0,4.0,10.0,4.0,12.0,14.0,4.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,108.0,4.0,4.0,14.0,2.0,5.0,0.0,0.0,2.0,6.0,9.0,9.0,4.0,3.0,12.0,16.0,4.0,3.0,0.0,1.0,6.0,0.0,3.0,1.0,"Emmet township, Renville County, Minnesota",129,19322,27
230,113.0,8.0,0.0,9.0,0.0,0.0,5.0,2.0,0.0,7.0,5.0,12.0,3.0,7.0,8.0,16.0,0.0,10.0,4.0,8.0,4.0,1.0,4.0,0.0,117.0,12.0,6.0,4.0,7.0,1.0,0.0,0.0,0.0,4.0,11.0,6.0,5.0,0.0,15.0,11.0,5.0,8.0,3.0,10.0,3.0,4.0,2.0,0.0,"Ericson township, Renville County, Minnesota",129,19628,27
