B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,county,county subdivision,state
66.0,0.0,12.0,5.0,0.0,0.0,0.0,3.0,0.0,9.0,16.0,0.0,7.0,0.0,14.0,0.0,0.0,"Sonora CCD, Tuolumne County, California",109,93080,06
26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,0.0,0.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"Escalon CCD, San Joaquin County, California",077,90900,06
968.0,30.0,32.0,36.0,36.0,18.0,29.0,0.0,27.0,30.0,109.0,61.0,127.0,75.0,95.0,103.0,160.0,"Thornton CCD, San Joaquin County, California",077,93340,06
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
76.0,0.0,0.0,7.0,0.0,6.0,21.0,0.0,10.0,8.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
2372.0,136.0,76.0,143.0,116.0,98.0,112.0,48.0,168.0,108.0,76.0,260.0,295.0,202.0,231.0,200.0,103.0,"Lodi CCD, San Joaquin County, California",077,91700,06
16804.0,1290.0,1021.0,841.0,961.0,975.0,712.0,643.0,726.0,673.0,1180.0,1878.0,1936.0,1634.0,694.0,756.0,884.0,"Stockton CCD, San Joaquin County, California",077,93240,06
2971.0,112.0,106.0,47.0,48.0,100.0,94.0,107.0,114.0,56.0,225.0,230.0,466.0,384.0,296.0,312.0,274.0,"Manteca CCD, San Joaquin County, California",077,91870,06
145.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,7.0,7.0,14.0,26.0,15.0,0.0,24.0,38.0,"Ripon CCD, San Joaquin County, California",077,92620,06
5393.0,168.0,150.0,146.0,26.0,103.0,73.0,210.0,142.0,115.0,261.0,358.0,761.0,658.0,822.0,738.0,662.0,"Tracy CCD, San Joaquin County, California",077,93400,06
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
44.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,0.0,0.0,5.0,"Jackson CCD, Amador County, California",005,91430,06
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,8.0,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,"Ione CCD, Amador County, California",005,91410,06
11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dos Palos CCD, Merced County, California",047,90720,06
44.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,1.0,30.0,0.0,0.0,0.0,"Planada-Le Grand CCD, Merced County, California",047,92500,06
404.0,47.0,27.0,16.0,3.0,0.0,0.0,13.0,0.0,0.0,52.0,61.0,123.0,0.0,17.0,8.0,37.0,"Los Banos CCD, Merced County, California",047,91760,06
