B19013I_001E,name,county,county subdivision,state
45000.0,"Gloucester city, Essex County, Massachusetts",009,26150,25
-666666666.0,"Hamilton town, Essex County, Massachusetts",009,27900,25
-666666666.0,"Bernardston town, Franklin County, Massachusetts",011,05560,25
-666666666.0,"Gill town, Franklin County, Massachusetts",011,25730,25
-666666666.0,"Hawley town, Franklin County, Massachusetts",011,29475,25
-666666666.0,"Shelburne town, Franklin County, Massachusetts",011,61135,25
-666666666.0,"Leverett town, Franklin County, Massachusetts",011,35180,25
-666666666.0,"Heath town, Franklin County, Massachusetts",011,29650,25
-666666666.0,"Leyden town, Franklin County, Massachusetts",011,35285,25
-666666666.0,"Northfield town, Franklin County, Massachusetts",011,47835,25
57609.0,"Ware town, Hampshire County, Massachusetts",015,72880,25
31978.0,"Northampton city, Hampshire County, Massachusetts",015,46330,25
-666666666.0,"Plainfield town, Hampshire County, Massachusetts",015,54030,25
-666666666.0,"Westhampton town, Hampshire County, Massachusetts",015,76380,25
-666666666.0,"Worthington town, Hampshire County, Massachusetts",015,82175,25
35741.0,"Amherst town, Hampshire County, Massachusetts",015,01325,25
96116.0,"Granby town, Hampshire County, Massachusetts",015,26535,25
-666666666.0,"Goshen town, Hampshire County, Massachusetts",015,26290,25
-666666666.0,"Chesterfield town, Hampshire County, Massachusetts",015,13590,25
46563.0,"Hadley town, Hampshire County, Massachusetts",015,27690,25
-666666666.0,"Huntington town, Hampshire County, Massachusetts",015,31785,25
45625.0,"Pelham town, Hampshire County, Massachusetts",015,52560,25
68696.0,"South Hadley town, Hampshire County, Massachusetts",015,64145,25
-666666666.0,"Belchertown town, Hampshire County, Massachusetts",015,04825,25
-666666666.0,"Middlefield town, Hampshire County, Massachusetts",015,40990,25
-666666666.0,"Southampton town, Hampshire County, Massachusetts",015,62745,25
-666666666.0,"Cummington town, Hampshire County, Massachusetts",015,16040,25
-666666666.0,"Williamsburg town, Hampshire County, Massachusetts",015,79915,25
-666666666.0,"Hatfield town, Hampshire County, Massachusetts",015,29265,25
-666666666.0,"County subdivisions not defined, Nantucket County, Massachusetts",019,00000,25
93512.0,"Nantucket town, Nantucket County, Massachusetts",019,43790,25
58841.0,"Revere city, Suffolk County, Massachusetts",025,56585,25
50357.0,"Chelsea city, Suffolk County, Massachusetts",025,13205,25
32780.0,"Boston city, Suffolk County, Massachusetts",025,07000,25
-666666666.0,"County subdivisions not defined, Suffolk County, Massachusetts",025,00000,25
65474.0,"Chatham town, Barnstable County, Massachusetts",001,12995,25
-666666666.0,"Eastham town, Barnstable County, Massachusetts",001,19295,25
88506.0,"Falmouth town, Barnstable County, Massachusetts",001,23105,25
59570.0,"Bourne town, Barnstable County, Massachusetts",001,07175,25
46364.0,"Dennis town, Barnstable County, Massachusetts",001,16775,25
-666666666.0,"Mashpee town, Barnstable County, Massachusetts",001,39100,25
-666666666.0,"Truro town, Barnstable County, Massachusetts",001,70605,25
-666666666.0,"County subdivisions not defined, Barnstable County, Massachusetts",001,00000,25
-666666666.0,"Wellfleet town, Barnstable County, Massachusetts",001,74385,25
-666666666.0,"Orleans town, Barnstable County, Massachusetts",001,51440,25
-666666666.0,"Brewster town, Barnstable County, Massachusetts",001,07980,25
116526.0,"Sandwich town, Barnstable County, Massachusetts",001,59735,25
77619.0,"Provincetown town, Barnstable County, Massachusetts",001,55500,25
-666666666.0,"Harwich town, Barnstable County, Massachusetts",001,29020,25
-666666666.0,"Yarmouth town, Barnstable County, Massachusetts",001,82525,25
-666666666.0,"Gosnold town, Dukes County, Massachusetts",007,26325,25
-666666666.0,"Chilmark town, Dukes County, Massachusetts",007,13800,25
-666666666.0,"Edgartown town, Dukes County, Massachusetts",007,21150,25
-666666666.0,"Tisbury town, Dukes County, Massachusetts",007,69940,25
-666666666.0,"West Tisbury town, Dukes County, Massachusetts",007,78235,25
-666666666.0,"Oak Bluffs town, Dukes County, Massachusetts",007,50390,25
-666666666.0,"Aquinnah town, Dukes County, Massachusetts",007,01585,25
-666666666.0,"Dunstable town, Middlesex County, Massachusetts",017,17825,25
-666666666.0,"Holliston town, Middlesex County, Massachusetts",017,30700,25
61951.0,"Marlborough city, Middlesex County, Massachusetts",017,38715,25
111989.0,"Ashland town, Middlesex County, Massachusetts",017,02130,25
86850.0,"Reading town, Middlesex County, Massachusetts",017,56130,25
72738.0,"Somerville city, Middlesex County, Massachusetts",017,62535,25
-666666666.0,"Ashby town, Middlesex County, Massachusetts",017,01955,25
-666666666.0,"Boxborough town, Middlesex County, Massachusetts",017,07350,25
37542.0,"Framingham town, Middlesex County, Massachusetts",017,24925,25
25957.0,"Lowell city, Middlesex County, Massachusetts",017,37000,25
250001.0,"Wayland town, Middlesex County, Massachusetts",017,73790,25
-666666666.0,"Carlisle town, Middlesex County, Massachusetts",017,11525,25
94140.0,"Billerica town, Middlesex County, Massachusetts",017,05805,25
38864.0,"Hudson town, Middlesex County, Massachusetts",017,31540,25
-666666666.0,"Maynard town, Middlesex County, Massachusetts",017,39625,25
250001.0,"Sherborn town, Middlesex County, Massachusetts",017,61380,25
78571.0,"Stoneham town, Middlesex County, Massachusetts",017,67665,25
-666666666.0,"Wilmington town, Middlesex County, Massachusetts",017,80230,25
101373.0,"Ayer town, Middlesex County, Massachusetts",017,03005,25
-666666666.0,"Burlington town, Middlesex County, Massachusetts",017,09840,25
58222.0,"Everett city, Middlesex County, Massachusetts",017,21990,25
36429.0,"Lincoln town, Middlesex County, Massachusetts",017,35425,25
152450.0,"Sudbury town, Middlesex County, Massachusetts",017,68260,25
166277.0,"Tyngsborough town, Middlesex County, Massachusetts",017,71025,25
81169.0,"Wakefield town, Middlesex County, Massachusetts",017,72215,25
50625.0,"Woburn city, Middlesex County, Massachusetts",017,81035,25
250001.0,"Weston town, Middlesex County, Massachusetts",017,77255,25
126125.0,"Tewksbury town, Middlesex County, Massachusetts",017,69415,25
116591.0,"Westford town, Middlesex County, Massachusetts",017,76135,25
121250.0,"Belmont town, Middlesex County, Massachusetts",017,05070,25
60605.0,"Dracut town, Middlesex County, Massachusetts",017,17475,25
-666666666.0,"Groton town, Middlesex County, Massachusetts",017,27480,25
207688.0,"Lexington town, Middlesex County, Massachusetts",017,35215,25
-666666666.0,"Stow town, Middlesex County, Massachusetts",017,68050,25
118551.0,"Chelmsford town, Middlesex County, Massachusetts",017,13135,25
61250.0,"Medford city, Middlesex County, Massachusetts",017,39835,25
-666666666.0,"Shirley town, Middlesex County, Massachusetts",017,61590,25
157850.0,"Melrose city, Middlesex County, Massachusetts",017,40115,25
-666666666.0,"North Reading town, Middlesex County, Massachusetts",017,48955,25
58583.0,"Waltham city, Middlesex County, Massachusetts",017,72600,25
88098.0,"Acton town, Middlesex County, Massachusetts",017,00380,25
83214.0,"Natick town, Middlesex County, Massachusetts",017,43895,25
106548.0,"Arlington town, Middlesex County, Massachusetts",017,01605,25
198625.0,"Concord town, Middlesex County, Massachusetts",017,15060,25
250001.0,"Littleton town, Middlesex County, Massachusetts",017,35950,25
49000.0,"Pepperell town, Middlesex County, Massachusetts",017,52805,25
178409.0,"Winchester town, Middlesex County, Massachusetts",017,80510,25
-666666666.0,"Bedford town, Middlesex County, Massachusetts",017,04615,25
60038.0,"Cambridge city, Middlesex County, Massachusetts",017,11000,25
-666666666.0,"Hopkinton town, Middlesex County, Massachusetts",017,31085,25
-666666666.0,"Townsend town, Middlesex County, Massachusetts",017,70360,25
61798.0,"Malden city, Middlesex County, Massachusetts",017,37875,25
60074.0,"Newton city, Middlesex County, Massachusetts",017,45560,25
-666666666.0,"Hinsdale town, Berkshire County, Massachusetts",003,30315,25
-666666666.0,"Mount Washington town, Berkshire County, Massachusetts",003,43300,25
-666666666.0,"Cheshire town, Berkshire County, Massachusetts",003,13345,25
-666666666.0,"Florida town, Berkshire County, Massachusetts",003,24120,25
-666666666.0,"Hancock town, Berkshire County, Massachusetts",003,28180,25
-666666666.0,"Savoy town, Berkshire County, Massachusetts",003,60225,25
-666666666.0,"West Stockbridge town, Berkshire County, Massachusetts",003,77990,25
-666666666.0,"Williamstown town, Berkshire County, Massachusetts",003,79985,25
-666666666.0,"Monterey town, Berkshire County, Massachusetts",003,42460,25
-666666666.0,"New Ashford town, Berkshire County, Massachusetts",003,44385,25
-666666666.0,"Sheffield town, Berkshire County, Massachusetts",003,61065,25
