B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
48.0,37.0,0.0,11.0,0.0,0.0,"District 4, DeKalb County, Tennessee",041,90612,47
76.0,72.0,1.0,3.0,0.0,0.0,"District 5, DeKalb County, Tennessee",041,90802,47
3.0,2.0,1.0,0.0,0.0,0.0,"District 6, DeKalb County, Tennessee",041,90992,47
32.0,22.0,10.0,0.0,0.0,0.0,"District 7, DeKalb County, Tennessee",041,91182,47
209.0,127.0,43.0,33.0,6.0,0.0,"District 1, Dickson County, Tennessee",043,90044,47
211.0,211.0,0.0,0.0,0.0,0.0,"District 2, Dickson County, Tennessee",043,90234,47
2.0,2.0,0.0,0.0,0.0,0.0,"District 6, Dickson County, Tennessee",043,90994,47
324.0,274.0,0.0,50.0,0.0,0.0,"District 3, Dickson County, Tennessee",043,90424,47
158.0,158.0,0.0,0.0,0.0,0.0,"District 4, Dickson County, Tennessee",043,90614,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Dickson County, Tennessee",043,90804,47
420.0,291.0,103.0,1.0,25.0,0.0,"District 10, Dickson County, Tennessee",043,91754,47
123.0,123.0,0.0,0.0,0.0,0.0,"District 7, Dickson County, Tennessee",043,91184,47
148.0,147.0,1.0,0.0,0.0,0.0,"District 8, Dickson County, Tennessee",043,91374,47
78.0,72.0,6.0,0.0,0.0,0.0,"District 9, Dickson County, Tennessee",043,91564,47
302.0,299.0,0.0,3.0,0.0,0.0,"District 11, Dickson County, Tennessee",043,91944,47
55.0,42.0,0.0,13.0,0.0,0.0,"District 12, Dickson County, Tennessee",043,92134,47
369.0,172.0,0.0,178.0,12.0,7.0,"District 1, Dyer County, Tennessee",045,90046,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Lewis County, Tennessee",101,91052,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 7, Lewis County, Tennessee",101,91242,47
71.0,53.0,12.0,0.0,6.0,0.0,"District 8, Lewis County, Tennessee",101,91432,47
8.0,0.0,0.0,8.0,0.0,0.0,"District 9, Lewis County, Tennessee",101,91622,47
92.0,30.0,0.0,8.0,54.0,0.0,"District 1, Lincoln County, Tennessee",103,90104,47
76.0,65.0,6.0,5.0,0.0,0.0,"District 2, Lincoln County, Tennessee",103,90294,47
26.0,26.0,0.0,0.0,0.0,0.0,"District 9, Jefferson County, Tennessee",089,91610,47
82.0,1.0,73.0,8.0,0.0,0.0,"District 1, Johnson County, Tennessee",091,90092,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 2, Johnson County, Tennessee",091,90282,47
11.0,11.0,0.0,0.0,0.0,0.0,"District 3, Johnson County, Tennessee",091,90472,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 4, Johnson County, Tennessee",091,90662,47
467.0,210.0,0.0,257.0,0.0,0.0,"District 5, Johnson County, Tennessee",091,90852,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Johnson County, Tennessee",091,91042,47
75.0,30.0,33.0,12.0,0.0,0.0,"District 7, Johnson County, Tennessee",091,91232,47
18414.0,15144.0,1977.0,471.0,680.0,142.0,"District 1, Knox County, Tennessee",093,90094,47
5313.0,3846.0,922.0,512.0,33.0,0.0,"District 2, Knox County, Tennessee",093,90284,47
5129.0,3647.0,1120.0,187.0,159.0,16.0,"District 3, Knox County, Tennessee",093,90474,47
1773.0,1575.0,113.0,9.0,31.0,45.0,"District 4, Knox County, Tennessee",093,90664,47
1060.0,984.0,36.0,0.0,0.0,40.0,"District 5, Knox County, Tennessee",093,90854,47
1741.0,1298.0,352.0,17.0,74.0,0.0,"District 6, Knox County, Tennessee",093,91044,47
561.0,474.0,62.0,5.0,20.0,0.0,"District 7, Knox County, Tennessee",093,91234,47
1771.0,1556.0,159.0,19.0,37.0,0.0,"District 8, Knox County, Tennessee",093,91424,47
3806.0,2265.0,1022.0,295.0,224.0,0.0,"District 9, Knox County, Tennessee",093,91614,47
1197.0,850.0,1.0,346.0,0.0,0.0,"District 1, Lake County, Tennessee",095,90096,47
658.0,502.0,89.0,24.0,43.0,0.0,"District 2, Lake County, Tennessee",095,90286,47
375.0,342.0,29.0,3.0,1.0,0.0,"District 3, Lake County, Tennessee",095,90476,47
1120.0,997.0,54.0,65.0,4.0,0.0,"District 1, Lauderdale County, Tennessee",097,90098,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Sevier County, Tennessee",155,90156,47
3.0,1.0,0.0,0.0,2.0,0.0,"District 3, Sevier County, Tennessee",155,90536,47
40.0,40.0,0.0,0.0,0.0,0.0,"District 4, Sevier County, Tennessee",155,90726,47
92.0,23.0,20.0,31.0,18.0,0.0,"District 5, Sevier County, Tennessee",155,90916,47
82.0,21.0,0.0,0.0,61.0,0.0,"District 6, Sevier County, Tennessee",155,91106,47
221.0,2.0,0.0,219.0,0.0,0.0,"District 7, Sevier County, Tennessee",155,91296,47
32.0,32.0,0.0,0.0,0.0,0.0,"District 8, Sevier County, Tennessee",155,91486,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 12, Lawrence County, Tennessee",099,92190,47
65.0,55.0,10.0,0.0,0.0,0.0,"District 13, Lawrence County, Tennessee",099,92380,47
78.0,64.0,14.0,0.0,0.0,0.0,"District 14, Lawrence County, Tennessee",099,92570,47
13.0,13.0,0.0,0.0,0.0,0.0,"District 15, Lawrence County, Tennessee",099,92760,47
331.0,312.0,19.0,0.0,0.0,0.0,"District 16, Lawrence County, Tennessee",099,92950,47
217.0,217.0,0.0,0.0,0.0,0.0,"District 17, Lawrence County, Tennessee",099,93140,47
10.0,10.0,0.0,0.0,0.0,0.0,"District 18, Lawrence County, Tennessee",099,93330,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Lewis County, Tennessee",101,90102,47
19.0,19.0,0.0,0.0,0.0,0.0,"District 2, Lewis County, Tennessee",101,90292,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Lewis County, Tennessee",101,90482,47
45.0,45.0,0.0,0.0,0.0,0.0,"District 4, Lewis County, Tennessee",101,90672,47
1476.0,1224.0,151.0,66.0,35.0,0.0,"District 2, Lauderdale County, Tennessee",097,90288,47
1084.0,830.0,227.0,27.0,0.0,0.0,"District 3, Lauderdale County, Tennessee",097,90478,47
2134.0,1299.0,604.0,127.0,104.0,0.0,"District 4, Lauderdale County, Tennessee",097,90668,47
1421.0,924.0,0.0,497.0,0.0,0.0,"District 5, Lauderdale County, Tennessee",097,90858,47
420.0,340.0,55.0,25.0,0.0,0.0,"District 6, Lauderdale County, Tennessee",097,91048,47
412.0,377.0,27.0,8.0,0.0,0.0,"District 7, Lauderdale County, Tennessee",097,91238,47
729.0,556.0,112.0,61.0,0.0,0.0,"District 8, Lauderdale County, Tennessee",097,91428,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Lawrence County, Tennessee",099,90100,47
57.0,57.0,0.0,0.0,0.0,0.0,"District 2, Lawrence County, Tennessee",099,90290,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Lawrence County, Tennessee",099,90480,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 4, Lawrence County, Tennessee",099,90670,47
18.0,18.0,0.0,0.0,0.0,0.0,"District 5, Lawrence County, Tennessee",099,90860,47
8.0,8.0,0.0,0.0,0.0,0.0,"District 6, Lawrence County, Tennessee",099,91050,47
12.0,12.0,0.0,0.0,0.0,0.0,"District 7, Lawrence County, Tennessee",099,91240,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 8, Lawrence County, Tennessee",099,91430,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 9, Lawrence County, Tennessee",099,91620,47
7.0,3.0,2.0,2.0,0.0,0.0,"District 10, Lawrence County, Tennessee",099,91810,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 11, Lawrence County, Tennessee",099,92000,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Carter County, Tennessee",019,90020,47
46.0,36.0,10.0,0.0,0.0,0.0,"District 7, Carroll County, Tennessee",017,91158,47
284.0,281.0,3.0,0.0,0.0,0.0,"District 8, Carroll County, Tennessee",017,91348,47
375.0,182.0,70.0,123.0,0.0,0.0,"District 9, Carroll County, Tennessee",017,91538,47
45.0,26.0,7.0,12.0,0.0,0.0,"District 2, Carter County, Tennessee",019,90210,47
32.0,0.0,32.0,0.0,0.0,0.0,"District 3, Carter County, Tennessee",019,90400,47
25.0,25.0,0.0,0.0,0.0,0.0,"District 4, Carter County, Tennessee",019,90590,47
168.0,77.0,77.0,9.0,5.0,0.0,"District 5, Carter County, Tennessee",019,90780,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Carter County, Tennessee",019,90970,47
116.0,106.0,0.0,10.0,0.0,0.0,"District 7, Carter County, Tennessee",019,91160,47
389.0,311.0,43.0,34.0,1.0,0.0,"District 8, Carter County, Tennessee",019,91350,47
208.0,133.0,57.0,2.0,2.0,14.0,"District 1, Cheatham County, Tennessee",021,90022,47
47.0,47.0,0.0,0.0,0.0,0.0,"District 2, Cheatham County, Tennessee",021,90212,47
41.0,41.0,0.0,0.0,0.0,0.0,"District 3, Cheatham County, Tennessee",021,90402,47
124.0,50.0,0.0,38.0,36.0,0.0,"District 4, Cheatham County, Tennessee",021,90592,47
70.0,60.0,0.0,10.0,0.0,0.0,"District 5, Cheatham County, Tennessee",021,90782,47
