B25105_001E,name,county,county subdivision,state
486.0,"Broadview CCD, Curry County, New Mexico",009,90390,35
795.0,"Clovis CCD, Curry County, New Mexico",009,90720,35
649.0,"Tyrone CCD, Grant County, New Mexico",017,93600,35
410.0,"Bayard-Santa Rita CCD, Grant County, New Mexico",017,90210,35
574.0,"Melrose CCD, Curry County, New Mexico",009,92010,35
516.0,"Raton CCD, Colfax County, New Mexico",007,92520,35
445.0,"Springer CCD, Colfax County, New Mexico",007,93270,35
617.0,"Cimarron CCD, Colfax County, New Mexico",007,90600,35
583.0,"Loving CCD, Eddy County, New Mexico",015,91920,35
750.0,"Artesia CCD, Eddy County, New Mexico",015,90150,35
765.0,"Loco Hills CCD, Eddy County, New Mexico",015,91800,35
790.0,"Carlsbad CCD, Eddy County, New Mexico",015,90480,35
850.0,"South Harding CCD, Harding County, New Mexico",021,93150,35
414.0,"North Harding CCD, Harding County, New Mexico",021,92220,35
442.0,"Mora CCD, Mora County, New Mexico",033,92100,35
394.0,"Wagon Mound CCD, Mora County, New Mexico",033,93720,35
321.0,"Nenahnezad-Burnham CCD, San Juan County, New Mexico",045,92180,35
379.0,"Napi Headquarters CCD, San Juan County, New Mexico",045,92150,35
422.0,"Ohkay Owingeh CCD, Rio Arriba County, New Mexico",039,92295,35
-666666666.0,"Peñasco CCD, Taos County, New Mexico",055,92340,35
1105.0,"East Bernalillo CCD, Bernalillo County, New Mexico",001,91095,35
1455.0,"West Bernalillo CCD, Bernalillo County, New Mexico",001,93735,35
617.0,"South Doña Ana CCD, Doña Ana County, New Mexico",013,93060,35
287.0,"Jicarilla Apache CCD, Rio Arriba County, New Mexico",039,91682,35
293.0,"Vallecitos CCD, Rio Arriba County, New Mexico",039,93630,35
516.0,"Anthony CCD, Doña Ana County, New Mexico",013,90090,35
879.0,"Doña Ana-Hill CCD, Doña Ana County, New Mexico",013,91050,35
393.0,"Hatch CCD, Doña Ana County, New Mexico",013,91440,35
-666666666.0,"West Rio Arriba CCD, Rio Arriba County, New Mexico",039,93795,35
1104.0,"Fairacres CCD, Doña Ana County, New Mexico",013,91260,35
731.0,"Las Cruces CCD, Doña Ana County, New Mexico",013,91740,35
1140.0,"White Sands CCD, Doña Ana County, New Mexico",013,93840,35
1121.0,"Rio Rancho CCD, Sandoval County, New Mexico",043,92655,35
430.0,"Jemez-Zia CCD, Sandoval County, New Mexico",043,91654,35
342.0,"Santo Domingo-San Felipe CCD, Sandoval County, New Mexico",043,92944,35
485.0,"Socorro CCD, Socorro County, New Mexico",053,93040,35
257.0,"Navajo Nation CCD, McKinley County, New Mexico",031,92170,35
