B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
1516.0,1205.0,311.0,"Richmond town, Chittenden County, Vermont",007,59275,50
1136.0,1067.0,69.0,"Underhill town, Chittenden County, Vermont",007,73975,50
3605.0,2799.0,806.0,"Williston town, Chittenden County, Vermont",007,84475,50
152.0,138.0,14.0,"Belvidere town, Lamoille County, Vermont",015,04375,50
2037.0,1305.0,732.0,"Stowe town, Lamoille County, Vermont",015,70525,50
2246.0,1572.0,674.0,"Morristown town, Lamoille County, Vermont",015,46675,50
287.0,236.0,51.0,"Waterville town, Lamoille County, Vermont",015,77425,50
1544.0,1046.0,498.0,"Cambridge town, Lamoille County, Vermont",015,11500,50
629.0,549.0,80.0,"Wolcott town, Lamoille County, Vermont",015,85375,50
468.0,389.0,79.0,"Eden town, Lamoille County, Vermont",015,23500,50
1202.0,628.0,574.0,"Johnson town, Lamoille County, Vermont",015,37075,50
339.0,307.0,32.0,"Elmore town, Lamoille County, Vermont",015,23725,50
1224.0,1067.0,157.0,"Hyde Park town, Lamoille County, Vermont",015,35050,50
898.0,629.0,269.0,"Ludlow town, Windsor County, Vermont",027,41275,50
564.0,440.0,124.0,"Cavendish town, Windsor County, Vermont",027,12250,50
1185.0,614.0,571.0,"Royalton town, Windsor County, Vermont",027,60850,50
242.0,188.0,54.0,"Weston town, Windsor County, Vermont",027,82000,50
1299.0,985.0,314.0,"Woodstock town, Windsor County, Vermont",027,85975,50
215.0,174.0,41.0,"Andover town, Windsor County, Vermont",027,01300,50
3733.0,2564.0,1169.0,"Springfield town, Windsor County, Vermont",027,69550,50
1116.0,1041.0,75.0,"Weathersfield town, Windsor County, Vermont",027,77500,50
325.0,287.0,38.0,"Stockbridge town, Windsor County, Vermont",027,70375,50
1241.0,985.0,256.0,"Norwich town, Windsor County, Vermont",027,52900,50
396.0,355.0,41.0,"Pomfret town, Windsor County, Vermont",027,56350,50
597.0,425.0,172.0,"Sharon town, Windsor County, Vermont",027,63775,50
432.0,361.0,71.0,"West Windsor town, Windsor County, Vermont",027,83050,50
93.0,84.0,9.0,"Baltimore town, Windsor County, Vermont",027,02575,50
321.0,294.0,27.0,"Barnard town, Windsor County, Vermont",027,02725,50
1441.0,1190.0,251.0,"Hartland town, Windsor County, Vermont",027,32425,50
4272.0,2836.0,1436.0,"Hartford town, Windsor County, Vermont",027,32275,50
271.0,235.0,36.0,"Reading town, Windsor County, Vermont",027,58375,50
1368.0,759.0,609.0,"Windsor town, Windsor County, Vermont",027,84925,50
226.0,187.0,39.0,"Plymouth town, Windsor County, Vermont",027,56050,50
412.0,302.0,110.0,"Bridgewater town, Windsor County, Vermont",027,08275,50
1251.0,961.0,290.0,"Chester town, Windsor County, Vermont",027,13675,50
490.0,384.0,106.0,"Rochester town, Windsor County, Vermont",027,60100,50
826.0,603.0,223.0,"Bethel town, Windsor County, Vermont",027,05800,50
553.0,524.0,29.0,"Fletcher town, Franklin County, Vermont",011,26500,50
474.0,422.0,52.0,"Bakersfield town, Franklin County, Vermont",011,02500,50
1628.0,1246.0,382.0,"Fairfax town, Franklin County, Vermont",011,24925,50
1477.0,1297.0,180.0,"Georgia town, Franklin County, Vermont",011,27700,50
2555.0,1898.0,657.0,"Swanton town, Franklin County, Vermont",011,71725,50
2293.0,1796.0,497.0,"St. Albans town, Franklin County, Vermont",011,61750,50
568.0,490.0,78.0,"Berkshire town, Franklin County, Vermont",011,05425,50
2648.0,1397.0,1251.0,"St. Albans city, Franklin County, Vermont",011,61675,50
561.0,483.0,78.0,"Franklin town, Franklin County, Vermont",011,27100,50
379.0,298.0,81.0,"Montgomery town, Franklin County, Vermont",011,45850,50
890.0,797.0,93.0,"Sheldon town, Franklin County, Vermont",011,64600,50
1188.0,868.0,320.0,"Highgate town, Franklin County, Vermont",011,33025,50
944.0,652.0,292.0,"Richford town, Franklin County, Vermont",011,59125,50
696.0,580.0,116.0,"Fairfield town, Franklin County, Vermont",011,25225,50
1054.0,782.0,272.0,"Hardwick town, Caledonia County, Vermont",005,31825,50
366.0,312.0,54.0,"Sutton town, Caledonia County, Vermont",005,71575,50
921.0,778.0,143.0,"Danville town, Caledonia County, Vermont",005,17125,50
411.0,363.0,48.0,"Ryegate town, Caledonia County, Vermont",005,61525,50
2919.0,1791.0,1128.0,"St. Johnsbury town, Caledonia County, Vermont",005,62200,50
515.0,477.0,38.0,"Waterford town, Caledonia County, Vermont",005,77125,50
260.0,244.0,16.0,"Peacham town, Caledonia County, Vermont",005,54400,50
377.0,345.0,32.0,"Walden town, Caledonia County, Vermont",005,75700,50
2137.0,1261.0,876.0,"Lyndon town, Caledonia County, Vermont",005,41725,50
230.0,203.0,27.0,"Newark town, Caledonia County, Vermont",005,47725,50
321.0,253.0,68.0,"Groton town, Caledonia County, Vermont",005,30550,50
206.0,183.0,23.0,"Kirby town, Caledonia County, Vermont",005,37900,50
92.0,75.0,17.0,"Stannard town, Caledonia County, Vermont",005,69925,50
346.0,301.0,45.0,"Wheelock town, Caledonia County, Vermont",005,83500,50
599.0,523.0,76.0,"Barnet town, Caledonia County, Vermont",005,02875,50
550.0,434.0,116.0,"Burke town, Caledonia County, Vermont",005,10450,50
242.0,206.0,36.0,"Sheffield town, Caledonia County, Vermont",005,64075,50
2004.0,1179.0,825.0,"Rockingham town, Windham County, Vermont",025,60250,50
797.0,652.0,145.0,"Vernon town, Windham County, Vermont",025,74800,50
371.0,299.0,72.0,"Jamaica town, Windham County, Vermont",025,36175,50
5055.0,2560.0,2495.0,"Brattleboro town, Windham County, Vermont",025,07900,50
898.0,702.0,196.0,"Guilford town, Windham County, Vermont",025,30925,50
303.0,276.0,27.0,"Halifax town, Windham County, Vermont",025,31150,50
374.0,341.0,33.0,"Marlboro town, Windham County, Vermont",025,43375,50
294.0,267.0,27.0,"Wardsboro town, Windham County, Vermont",025,76225,50
642.0,552.0,90.0,"Whitingham town, Windham County, Vermont",025,83950,50
577.0,403.0,174.0,"Dover town, Windham County, Vermont",025,17875,50
273.0,234.0,39.0,"Brookline town, Windham County, Vermont",025,09475,50
160.0,134.0,26.0,"Athens town, Windham County, Vermont",025,01900,50
170.0,152.0,18.0,"Windham town, Windham County, Vermont",025,84850,50
869.0,718.0,151.0,"Dummerston town, Windham County, Vermont",025,18325,50
293.0,246.0,47.0,"Grafton town, Windham County, Vermont",025,28900,50
713.0,498.0,215.0,"Londonderry town, Windham County, Vermont",025,40225,50
782.0,663.0,119.0,"Newfane town, Windham County, Vermont",025,48400,50
867.0,586.0,281.0,"Putney town, Windham County, Vermont",025,57700,50
1359.0,1068.0,291.0,"Westminster town, Windham County, Vermont",025,81400,50
427.0,336.0,91.0,"Townshend town, Windham County, Vermont",025,73300,50
106.0,85.0,21.0,"Stratton town, Windham County, Vermont",025,70750,50
778.0,566.0,212.0,"Wilmington town, Windham County, Vermont",025,84700,50
8.0,8.0,0.0,"Somerset town, Windham County, Vermont",025,65762,50
147.0,130.0,17.0,"Peru town, Bennington County, Vermont",003,55000,50
273.0,245.0,28.0,"Rupert town, Bennington County, Vermont",003,61000,50
3.0,2.0,1.0,"Glastenbury town, Bennington County, Vermont",003,27962,50
136.0,111.0,25.0,"Sandgate town, Bennington County, Vermont",003,62875,50
153.0,128.0,25.0,"Woodford town, Bennington County, Vermont",003,85675,50
304.0,267.0,37.0,"Winhall town, Bennington County, Vermont",003,85075,50
1084.0,801.0,283.0,"Arlington town, Bennington County, Vermont",003,01450,50
53.0,53.0,0.0,"Landgrove town, Bennington County, Vermont",003,39025,50
42.0,38.0,4.0,"Searsburg town, Bennington County, Vermont",003,63175,50
355.0,285.0,70.0,"Readsboro town, Bennington County, Vermont",003,58600,50
