B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
24.0,0.0,24.0,"Whittemore township, Kossuth County, Iowa",109,94731,19
0.0,0.0,0.0,"Burt township, Kossuth County, Iowa",109,90417,19
0.0,0.0,0.0,"Hardin township, Hardin County, Iowa",083,91833,19
0.0,0.0,0.0,"Sherman township, Hardin County, Iowa",083,93858,19
0.0,0.0,0.0,"Tipton township, Hardin County, Iowa",083,94125,19
0.0,0.0,0.0,"Grant township, Hardin County, Iowa",083,91662,19
0.0,0.0,0.0,"Union township, Hardin County, Iowa",083,94215,19
2.0,0.0,2.0,"Morning Sun township, Louisa County, Iowa",115,93018,19
0.0,0.0,0.0,"Marshall township, Louisa County, Iowa",115,92874,19
16.0,0.0,16.0,"Columbus City township, Louisa County, Iowa",115,90792,19
5.0,5.0,0.0,"Elm Grove township, Louisa County, Iowa",115,91218,19
0.0,0.0,0.0,"Jefferson township, Louisa County, Iowa",115,92235,19
9.0,0.0,9.0,"Grandview township, Louisa County, Iowa",115,91620,19
0.0,0.0,0.0,"Port Louisa township, Louisa County, Iowa",115,93465,19
14.0,0.0,14.0,"Wapello township, Louisa County, Iowa",115,94416,19
0.0,0.0,0.0,"Concord township, Louisa County, Iowa",115,90807,19
0.0,0.0,0.0,"Oakland township, Louisa County, Iowa",115,93159,19
0.0,0.0,0.0,"Eliot township, Louisa County, Iowa",115,91170,19
0.0,0.0,0.0,"Union township, Louisa County, Iowa",115,94230,19
0.0,0.0,0.0,"Benton township, Lucas County, Iowa",117,90216,19
0.0,0.0,0.0,"Cedar township, Lucas County, Iowa",117,90549,19
0.0,0.0,0.0,"Jackson township, Lucas County, Iowa",117,92145,19
0.0,0.0,0.0,"English township, Lucas County, Iowa",117,91230,19
0.0,0.0,0.0,"Lincoln township, Lucas County, Iowa",117,92568,19
0.0,0.0,0.0,"Whitebreast township, Lucas County, Iowa",117,94713,19
0.0,0.0,0.0,"Warren township, Lucas County, Iowa",117,94431,19
0.0,0.0,0.0,"Chariton city, Lucas County, Iowa",117,90643,19
0.0,0.0,0.0,"Otter Creek township, Lucas County, Iowa",117,93240,19
0.0,0.0,0.0,"Washington township, Lucas County, Iowa",117,94530,19
0.0,0.0,0.0,"Union township, Lucas County, Iowa",117,94233,19
0.0,0.0,0.0,"Pleasant township, Lucas County, Iowa",117,93366,19
0.0,0.0,0.0,"Liberty township, Lucas County, Iowa",117,92469,19
0.0,0.0,0.0,"Dale township, Lyon County, Iowa",119,90873,19
0.0,0.0,0.0,"Doon township, Lyon County, Iowa",119,91014,19
0.0,0.0,0.0,"Grant township, Lyon County, Iowa",119,91674,19
0.0,0.0,0.0,"Richland township, Lyon County, Iowa",119,93606,19
0.0,0.0,0.0,"Riverside township, Lyon County, Iowa",119,93642,19
0.0,0.0,0.0,"Sioux township, Lyon County, Iowa",119,93915,19
0.0,0.0,0.0,"Logan township, Lyon County, Iowa",119,92697,19
8.0,0.0,8.0,"Indian Creek township, Mills County, Iowa",129,92031,19
0.0,0.0,0.0,"Malvern city, Mills County, Iowa",129,92809,19
0.0,0.0,0.0,"Oak township, Mills County, Iowa",129,93147,19
0.0,0.0,0.0,"Silver Creek township, Mills County, Iowa",129,93897,19
0.0,0.0,0.0,"White Cloud township, Mills County, Iowa",129,94719,19
0.0,0.0,0.0,"Anderson township, Mills County, Iowa",129,90072,19
0.0,0.0,0.0,"Deer Creek township, Mills County, Iowa",129,90933,19
0.0,0.0,0.0,"Lyons township, Mills County, Iowa",129,92745,19
0.0,0.0,0.0,"Glenwood township, Mills County, Iowa",129,91575,19
0.0,0.0,0.0,"St. Marys township, Mills County, Iowa",129,93741,19
0.0,0.0,0.0,"Center township, Mills County, Iowa",129,90612,19
4.0,0.0,4.0,"Plattville township, Mills County, Iowa",129,93354,19
0.0,0.0,0.0,"Ingraham township, Mills County, Iowa",129,92043,19
0.0,0.0,0.0,"Rawles township, Mills County, Iowa",129,93540,19
0.0,0.0,0.0,"West Fork township, Monona County, Iowa",133,94671,19
0.0,0.0,0.0,"Ashton township, Monona County, Iowa",133,90084,19
0.0,0.0,0.0,"Lake township, Monona County, Iowa",133,92355,19
0.0,0.0,0.0,"Sherman township, Monona County, Iowa",133,93867,19
0.0,0.0,0.0,"Soldier township, Monona County, Iowa",133,93939,19
0.0,0.0,0.0,"Belvidere township, Monona County, Iowa",133,90192,19
