B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
338.0,13.0,10.0,6.0,20.0,32.0,30.0,19.0,22.0,9.0,38.0,47.0,55.0,26.0,11.0,0.0,0.0,"Montville town, Waldo County, Maine",027,46790,23
641.0,25.0,9.0,31.0,47.0,41.0,56.0,30.0,44.0,42.0,29.0,60.0,121.0,19.0,44.0,24.0,19.0,"Palermo town, Waldo County, Maine",027,56450,23
345.0,7.0,15.0,9.0,23.0,8.0,10.0,25.0,18.0,23.0,33.0,45.0,64.0,42.0,16.0,7.0,0.0,"Prospect town, Waldo County, Maine",027,61210,23
567.0,56.0,32.0,37.0,17.0,20.0,12.0,46.0,13.0,56.0,23.0,81.0,62.0,83.0,12.0,11.0,6.0,"Searsmont town, Waldo County, Maine",027,66565,23
672.0,53.0,27.0,39.0,38.0,43.0,50.0,35.0,25.0,13.0,46.0,106.0,93.0,48.0,13.0,18.0,25.0,"Stockton Springs town, Waldo County, Maine",027,74475,23
399.0,16.0,29.0,18.0,34.0,43.0,31.0,43.0,34.0,13.0,21.0,37.0,47.0,19.0,5.0,9.0,0.0,"Troy town, Waldo County, Maine",027,77625,23
784.0,37.0,29.0,26.0,27.0,13.0,54.0,44.0,24.0,52.0,75.0,118.0,97.0,55.0,46.0,50.0,37.0,"Northport town, Waldo County, Maine",027,52845,23
733.0,63.0,45.0,92.0,49.0,70.0,8.0,36.0,13.0,26.0,64.0,60.0,102.0,37.0,29.0,17.0,22.0,"Unity town, Waldo County, Maine",027,78255,23
281.0,19.0,14.0,13.0,20.0,6.0,13.0,3.0,24.0,17.0,48.0,46.0,26.0,22.0,3.0,2.0,5.0,"Freedom town, Waldo County, Maine",027,26420,23
345.0,20.0,10.0,19.0,19.0,15.0,13.0,16.0,14.0,12.0,41.0,19.0,55.0,18.0,13.0,11.0,50.0,"Islesboro town, Waldo County, Maine",027,35240,23
372.0,34.0,26.0,13.0,21.0,21.0,43.0,21.0,9.0,14.0,27.0,51.0,41.0,32.0,13.0,6.0,0.0,"Liberty town, Waldo County, Maine",027,39055,23
889.0,24.0,16.0,54.0,48.0,41.0,47.0,40.0,74.0,46.0,90.0,75.0,121.0,100.0,47.0,33.0,33.0,"Lincolnville town, Waldo County, Maine",027,39755,23
250.0,19.0,16.0,15.0,2.0,19.0,26.0,9.0,15.0,2.0,52.0,32.0,27.0,14.0,2.0,0.0,0.0,"Jackson town, Waldo County, Maine",027,35450,23
556.0,30.0,36.0,59.0,30.0,36.0,40.0,21.0,26.0,20.0,36.0,52.0,117.0,23.0,0.0,14.0,16.0,"Swanville town, Waldo County, Maine",027,75525,23
1579.0,89.0,71.0,53.0,56.0,70.0,34.0,51.0,82.0,46.0,216.0,193.0,269.0,119.0,149.0,42.0,39.0,"Winterport town, Waldo County, Maine",027,86760,23
404.0,18.0,16.0,22.0,21.0,16.0,19.0,22.0,11.0,39.0,50.0,63.0,46.0,33.0,11.0,10.0,7.0,"Morrill town, Waldo County, Maine",027,47245,23
512.0,55.0,41.0,40.0,52.0,18.0,37.0,17.0,48.0,23.0,26.0,33.0,59.0,39.0,6.0,15.0,3.0,"Burnham town, Waldo County, Maine",027,09270,23
134.0,14.0,15.0,7.0,9.0,12.0,13.0,0.0,16.0,4.0,9.0,10.0,12.0,7.0,0.0,0.0,6.0,"Burlington town, Penobscot County, Maine",019,09200,23
840.0,59.0,37.0,45.0,155.0,68.0,42.0,39.0,17.0,54.0,22.0,49.0,99.0,69.0,58.0,9.0,18.0,"Corinna town, Penobscot County, Maine",019,14310,23
1302.0,139.0,127.0,105.0,105.0,101.0,80.0,33.0,97.0,0.0,216.0,44.0,70.0,153.0,16.0,16.0,0.0,"Searsport town, Waldo County, Maine",027,66635,23
316.0,13.0,23.0,13.0,22.0,18.0,27.0,29.0,8.0,13.0,30.0,33.0,37.0,16.0,17.0,10.0,7.0,"Thorndike town, Waldo County, Maine",027,76610,23
3663.0,200.0,191.0,183.0,148.0,104.0,315.0,167.0,100.0,184.0,426.0,469.0,583.0,311.0,131.0,99.0,52.0,"Brewer city, Penobscot County, Maine",019,06925,23
1687.0,198.0,213.0,140.0,93.0,108.0,115.0,101.0,75.0,8.0,156.0,184.0,193.0,60.0,11.0,7.0,25.0,"Dexter town, Penobscot County, Maine",019,17530,23
336.0,7.0,15.0,45.0,27.0,23.0,14.0,25.0,17.0,7.0,30.0,41.0,38.0,17.0,14.0,8.0,8.0,"Lee town, Penobscot County, Maine",019,38530,23
601.0,38.0,23.0,18.0,29.0,56.0,30.0,23.0,29.0,11.0,78.0,66.0,91.0,43.0,33.0,14.0,19.0,"Hudson town, Penobscot County, Maine",019,34365,23
2714.0,16.0,29.0,136.0,48.0,71.0,78.0,139.0,159.0,124.0,213.0,259.0,287.0,404.0,283.0,208.0,260.0,"Hampden town, Penobscot County, Maine",019,30795,23
1960.0,59.0,156.0,204.0,111.0,111.0,178.0,140.0,65.0,103.0,158.0,190.0,287.0,64.0,28.0,29.0,77.0,"Lincoln town, Penobscot County, Maine",019,39475,23
1875.0,164.0,94.0,244.0,191.0,184.0,196.0,43.0,101.0,49.0,101.0,215.0,121.0,64.0,68.0,19.0,21.0,"Millinocket town, Penobscot County, Maine",019,45810,23
2875.0,299.0,329.0,180.0,151.0,54.0,193.0,132.0,77.0,171.0,232.0,152.0,263.0,312.0,89.0,111.0,130.0,"Orono town, Penobscot County, Maine",019,55565,23
