C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
2449.0,2347.0,62.0,12.0,2.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,"Georgetown CCD, Clear Creek County, Colorado",019,91463,08
985.0,843.0,50.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,"Mosca-Hooper CCD, Alamosa County, Colorado",003,92584,08
14251.0,9924.0,2645.0,1147.0,6.0,0.0,55.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,58.0,52.0,0.0,0.0,22.0,0.0,30.0,6.0,0.0,0.0,114.0,177.0,"Alamosa CCD, Alamosa County, Colorado",003,90076,08
13106.0,11189.0,955.0,643.0,6.0,0.0,48.0,0.0,67.0,4.0,10.0,49.0,0.0,5.0,0.0,55.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,35.0,0.0,"Delta CCD, Delta County, Colorado",029,90988,08
3413.0,3259.0,80.0,26.0,0.0,0.0,34.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Paonia CCD, Delta County, Colorado",029,92831,08
7596.0,7052.0,367.0,133.0,0.0,0.0,28.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"Cedaredge CCD, Delta County, Colorado",029,90532,08
4564.0,4241.0,147.0,89.0,0.0,0.0,10.0,0.0,10.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,"Hotchkiss CCD, Delta County, Colorado",029,91786,08
3425.0,3297.0,62.0,3.0,8.0,0.0,37.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cotopaxi CCD, Fremont County, Colorado",043,90836,08
3624.0,3523.0,83.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,"Penrose-Portland CCD, Fremont County, Colorado",043,92888,08
9312.0,7810.0,539.0,419.0,7.0,0.0,42.0,0.0,0.0,36.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,20.0,59.0,21.0,24.0,62.0,58.0,141.0,34.0,"Florence CCD, Fremont County, Colorado",043,91311,08
108055.0,90097.0,12408.0,3874.0,81.0,17.0,294.0,27.0,156.0,19.0,310.0,168.0,13.0,34.0,91.0,116.0,19.0,20.0,61.0,18.0,61.0,15.0,39.0,15.0,86.0,16.0,"Pueblo CCD, Pueblo County, Colorado",101,92983,08
4165.0,3922.0,162.0,8.0,0.0,0.0,27.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Colorado City-Rye CCD, Pueblo County, Colorado",101,90722,08
687.0,618.0,62.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Huerfano Valley CCD, Pueblo County, Colorado",101,91805,08
8338.0,7497.0,622.0,161.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"St. Charles Mesa CCD, Pueblo County, Colorado",101,93154,08
29382.0,27198.0,1341.0,223.0,38.0,0.0,138.0,36.0,171.0,30.0,55.0,14.0,0.0,10.0,5.0,0.0,0.0,0.0,27.0,15.0,81.0,0.0,0.0,0.0,0.0,0.0,"Pueblo West CCD, Pueblo County, Colorado",101,93002,08
2565.0,2148.0,355.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Avondale CCD, Pueblo County, Colorado",101,90209,08
483.0,437.0,33.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"Northeast Pueblo CCD, Pueblo County, Colorado",101,92660,08
29869.0,24862.0,2902.0,1576.0,39.0,0.0,125.0,0.0,0.0,0.0,83.0,14.0,34.0,4.0,0.0,10.0,9.0,101.0,11.0,7.0,72.0,0.0,0.0,0.0,20.0,0.0,"Montrose CCD, Montrose County, Colorado",085,92546,08
2151.0,2072.0,12.0,14.0,0.0,5.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,"Nucla CCD, Montrose County, Colorado",085,92698,08
6590.0,5389.0,513.0,552.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,8.0,0.0,"Olathe CCD, Montrose County, Colorado",085,92736,08
814.0,776.0,30.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Weldona CCD, Morgan County, Colorado",087,93781,08
7262.0,6082.0,774.0,298.0,0.0,0.0,16.0,14.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,"Brush CCD, Morgan County, Colorado",087,90418,08
15317.0,10003.0,2281.0,2325.0,0.0,0.0,45.0,2.0,18.0,30.0,6.0,8.0,0.0,0.0,0.0,72.0,5.0,7.0,0.0,0.0,0.0,0.0,31.0,0.0,174.0,310.0,"Fort Morgan CCD, Morgan County, Colorado",087,91368,08
