B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
1.0,1.0,0.0,0.0,0.0,0.0,"Chugwater CCD, Platte County, Wyoming",031,90880,56
0.0,0.0,0.0,0.0,0.0,0.0,"Glendo CCD, Platte County, Wyoming",031,91320,56
13.0,13.0,0.0,0.0,0.0,0.0,"Guernsey CCD, Platte County, Wyoming",031,91595,56
72.0,72.0,0.0,0.0,0.0,0.0,"Sheridan South CCD, Sheridan County, Wyoming",033,92970,56
0.0,0.0,0.0,0.0,0.0,0.0,"Sheridan West CCD, Sheridan County, Wyoming",033,93025,56
157.0,136.0,2.0,0.0,0.0,19.0,"Sheridan CCD, Sheridan County, Wyoming",033,92915,56
23.0,23.0,0.0,0.0,0.0,0.0,"Moorcroft CCD, Crook County, Wyoming",011,92200,56
0.0,0.0,0.0,0.0,0.0,0.0,"Sundance CCD, Crook County, Wyoming",011,93190,56
0.0,0.0,0.0,0.0,0.0,0.0,"Hulett CCD, Crook County, Wyoming",011,91760,56
83.0,57.0,0.0,0.0,26.0,0.0,"Cody CCD, Park County, Wyoming",029,90935,56
0.0,0.0,0.0,0.0,0.0,0.0,"Meeteetse CCD, Park County, Wyoming",029,92145,56
4.0,0.0,0.0,2.0,0.0,2.0,"Yellowstone National Park CCD, Park County, Wyoming",029,93850,56
66.0,38.0,24.0,0.0,0.0,4.0,"Powell CCD, Park County, Wyoming",029,92530,56
52.0,37.0,0.0,0.0,0.0,15.0,"South Albany CCD, Albany County, Wyoming",001,93135,56
0.0,0.0,0.0,0.0,0.0,0.0,"East Albany CCD, Albany County, Wyoming",001,91100,56
0.0,0.0,0.0,0.0,0.0,0.0,"Rock River CCD, Albany County, Wyoming",001,92695,56
1072.0,613.0,194.0,14.0,164.0,87.0,"Laramie CCD, Albany County, Wyoming",001,92090,56
0.0,0.0,0.0,0.0,0.0,0.0,"Hanna CCD, Carbon County, Wyoming",007,91650,56
112.0,80.0,32.0,0.0,0.0,0.0,"Rawlins CCD, Carbon County, Wyoming",007,92640,56
16.0,0.0,0.0,0.0,5.0,11.0,"Saratoga CCD, Carbon County, Wyoming",007,92860,56
0.0,0.0,0.0,0.0,0.0,0.0,"Jeffrey City CCD, Fremont County, Wyoming",013,91842,56
