B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
6.0,6.0,0.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
22.0,1.0,21.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
992.0,560.0,432.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
7.0,7.0,0.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
248.0,62.0,186.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
488.0,119.0,369.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
10.0,10.0,0.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
15.0,0.0,15.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
8.0,8.0,0.0,"Powers CCD, Coos County, Oregon",011,92567,41
129.0,50.0,79.0,"Bandon CCD, Coos County, Oregon",011,90221,41
24.0,24.0,0.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
599.0,264.0,335.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
17.0,0.0,17.0,"Eastside CCD, Coos County, Oregon",011,91003,41
29.0,0.0,29.0,"Coquille CCD, Coos County, Oregon",011,90646,41
55.0,55.0,0.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
51.0,10.0,41.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
0.0,0.0,0.0,"Agness CCD, Curry County, Oregon",015,90051,41
152.0,52.0,100.0,"Brookings CCD, Curry County, Oregon",015,90357,41
149.0,46.0,103.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
237.0,114.0,123.0,"Harbor CCD, Curry County, Oregon",015,91275,41
17.0,0.0,17.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
33.0,0.0,33.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
74.0,0.0,74.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
628.0,293.0,335.0,"Odell CCD, Hood River County, Oregon",027,92380,41
40.0,40.0,0.0,"Dee CCD, Hood River County, Oregon",027,90850,41
17.0,17.0,0.0,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
792.0,251.0,541.0,"Hood River CCD, Hood River County, Oregon",027,91343,41
19.0,19.0,0.0,"Silver Lake-Fort Rock CCD, Lake County, Oregon",037,92924,41
3.0,0.0,3.0,"Warner Valley CCD, Lake County, Oregon",037,93417,41
1.0,1.0,0.0,"Summer Lake CCD, Lake County, Oregon",037,93145,41
97.0,15.0,82.0,"Lakeview CCD, Lake County, Oregon",037,91632,41
