B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
12285.0,10989.0,411.0,568.0,254.0,63.0,"Central Pasco CCD, Pasco County, Florida",101,90481,12
16.0,16.0,0.0,0.0,0.0,0.0,"Bell CCD, Gilchrist County, Florida",041,90130,12
4165.0,3204.0,446.0,515.0,0.0,0.0,"Live Oak CCD, Suwannee County, Florida",121,91950,12
2762.0,2197.0,334.0,153.0,76.0,2.0,"Port Richey CCD, Pasco County, Florida",101,92860,12
3347.0,2646.0,504.0,136.0,5.0,56.0,"Sebring CCD, Highlands County, Florida",055,93120,12
822.0,645.0,116.0,38.0,6.0,17.0,"Lake Placid CCD, Highlands County, Florida",055,91846,12
5177.0,4210.0,551.0,198.0,140.0,78.0,"Avon Park CCD, Highlands County, Florida",055,90091,12
81.0,81.0,0.0,0.0,0.0,0.0,"Branford CCD, Suwannee County, Florida",121,90299,12
2365.0,2050.0,100.0,197.0,18.0,0.0,"Dade City CCD, Pasco County, Florida",101,90741,12
6966.0,6214.0,246.0,302.0,156.0,48.0,"New Port Richey CCD, Pasco County, Florida",101,92327,12
1014.0,525.0,109.0,379.0,1.0,0.0,"Trenton CCD, Gilchrist County, Florida",041,93432,12
757.0,667.0,11.0,79.0,0.0,0.0,"Dowling Park CCD, Suwannee County, Florida",121,90858,12
842.0,596.0,28.0,218.0,0.0,0.0,"McAlpin-Wellborn CCD, Suwannee County, Florida",121,92002,12
39677.0,31962.0,5214.0,1795.0,479.0,227.0,"Gainesville CCD, Alachua County, Florida",001,91248,12
1374.0,1349.0,25.0,0.0,0.0,0.0,"Hawthorne CCD, Alachua County, Florida",001,91469,12
2913.0,2788.0,73.0,50.0,2.0,0.0,"Newberry-Archer CCD, Alachua County, Florida",001,92314,12
451.0,410.0,31.0,10.0,0.0,0.0,"Micanopy CCD, Alachua County, Florida",001,92184,12
6329.0,4870.0,1129.0,243.0,70.0,17.0,"High Springs-Alachua CCD, Alachua County, Florida",001,91495,12
998.0,996.0,0.0,2.0,0.0,0.0,"Waldo CCD, Alachua County, Florida",001,93536,12
707.0,439.0,161.0,107.0,0.0,0.0,"Arcadia West CCD, DeSoto County, Florida",027,90078,12
