B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
368.0,328.0,40.0,"Elizabeth CCD, Elbert County, Colorado",039,91190,08
13.0,12.0,1.0,"Agate CCD, Elbert County, Colorado",039,90019,08
14.0,13.0,1.0,"Kim CCD, Las Animas County, Colorado",071,91976,08
16.0,16.0,0.0,"Simla CCD, Elbert County, Colorado",039,93325,08
0.0,0.0,0.0,"Model CCD, Las Animas County, Colorado",071,92508,08
20.0,20.0,0.0,"Branson CCD, Las Animas County, Colorado",071,90361,08
148.0,91.0,57.0,"Aguilar CCD, Las Animas County, Colorado",071,90038,08
141.0,117.0,24.0,"Weston CCD, Las Animas County, Colorado",071,93838,08
2025.0,1197.0,828.0,"Trinidad CCD, Las Animas County, Colorado",071,93648,08
502.0,142.0,360.0,"Yuma CCD, Yuma County, Colorado",125,93952,08
133.0,17.0,116.0,"Wray CCD, Yuma County, Colorado",125,93914,08
2.0,2.0,0.0,"Hugo CCD, Lincoln County, Colorado",073,91824,08
9.0,9.0,0.0,"Yampa CCD, Routt County, Colorado",107,93933,08
60.0,24.0,36.0,"Hayden CCD, Routt County, Colorado",107,91729,08
244.0,70.0,174.0,"Steamboat Springs CCD, Routt County, Colorado",107,93496,08
18.0,7.0,11.0,"Oak Creek CCD, Routt County, Colorado",107,92717,08
625.0,219.0,406.0,"Silverthorne CCD, Summit County, Colorado",117,93287,08
155.0,57.0,98.0,"Breckenridge CCD, Summit County, Colorado",117,90380,08
4.0,4.0,0.0,"Arriba CCD, Lincoln County, Colorado",073,90133,08
12.0,2.0,10.0,"Karval CCD, Lincoln County, Colorado",073,91919,08
71.0,27.0,44.0,"Limon CCD, Lincoln County, Colorado",073,92261,08
96.0,64.0,32.0,"Idaho Springs CCD, Clear Creek County, Colorado",019,91843,08
67.0,56.0,11.0,"Georgetown CCD, Clear Creek County, Colorado",019,91463,08
80.0,55.0,25.0,"Mosca-Hooper CCD, Alamosa County, Colorado",003,92584,08
2484.0,1341.0,1143.0,"Alamosa CCD, Alamosa County, Colorado",003,90076,08
688.0,423.0,265.0,"Delta CCD, Delta County, Colorado",029,90988,08
73.0,39.0,34.0,"Paonia CCD, Delta County, Colorado",029,92831,08
244.0,186.0,58.0,"Cedaredge CCD, Delta County, Colorado",029,90532,08
97.0,68.0,29.0,"Hotchkiss CCD, Delta County, Colorado",029,91786,08
86.0,72.0,14.0,"Cotopaxi CCD, Fremont County, Colorado",043,90836,08
58.0,34.0,24.0,"Penrose-Portland CCD, Fremont County, Colorado",043,92888,08
208.0,157.0,51.0,"Florence CCD, Fremont County, Colorado",043,91311,08
20483.0,9926.0,10557.0,"Pueblo CCD, Pueblo County, Colorado",101,92983,08
178.0,169.0,9.0,"Colorado City-Rye CCD, Pueblo County, Colorado",101,90722,08
60.0,60.0,0.0,"Huerfano Valley CCD, Pueblo County, Colorado",101,91805,08
914.0,789.0,125.0,"St. Charles Mesa CCD, Pueblo County, Colorado",101,93154,08
2171.0,1492.0,679.0,"Pueblo West CCD, Pueblo County, Colorado",101,93002,08
256.0,149.0,107.0,"Avondale CCD, Pueblo County, Colorado",101,90209,08
26.0,25.0,1.0,"Northeast Pueblo CCD, Pueblo County, Colorado",101,92660,08
1841.0,1224.0,617.0,"Montrose CCD, Montrose County, Colorado",085,92546,08
17.0,11.0,6.0,"Nucla CCD, Montrose County, Colorado",085,92698,08
555.0,281.0,274.0,"Olathe CCD, Montrose County, Colorado",085,92736,08
29.0,13.0,16.0,"Weldona CCD, Morgan County, Colorado",087,93781,08
686.0,380.0,306.0,"Brush CCD, Morgan County, Colorado",087,90418,08
1919.0,1117.0,802.0,"Fort Morgan CCD, Morgan County, Colorado",087,91368,08
138.0,50.0,88.0,"Wiggins CCD, Morgan County, Colorado",087,93876,08
356.0,339.0,17.0,"Fairplay CCD, Park County, Colorado",093,91254,08
55.0,11.0,44.0,"Lake George CCD, Park County, Colorado",093,92128,08
652.0,361.0,291.0,"Center CCD, Saguache County, Colorado",109,90551,08
0.0,0.0,0.0,"Cochetopa CCD, Saguache County, Colorado",109,90684,08
122.0,64.0,58.0,"Saguache CCD, Saguache County, Colorado",109,93135,08
924.0,567.0,357.0,"Fruita CCD, Mesa County, Colorado",077,91425,08
1338.0,728.0,610.0,"Clifton CCD, Mesa County, Colorado",077,90665,08
4603.0,2193.0,2410.0,"Grand Junction CCD, Mesa County, Colorado",077,91596,08
18.0,9.0,9.0,"De Beque CCD, Mesa County, Colorado",077,90950,08
30.0,12.0,18.0,"Collbran CCD, Mesa County, Colorado",077,90703,08
0.0,0.0,0.0,"Glade Park-Gateway CCD, Mesa County, Colorado",077,91501,08
150.0,94.0,56.0,"Granada CCD, Prowers County, Colorado",099,91558,08
1048.0,635.0,413.0,"Lamar CCD, Prowers County, Colorado",099,92147,08
0.0,0.0,0.0,"Two Butte Creek CCD, Prowers County, Colorado",099,93667,08
3729.0,2326.0,1403.0,"Fountain CCD, El Paso County, Colorado",041,91387,08
165.0,101.0,64.0,"Holly CCD, Prowers County, Colorado",099,91748,08
