B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
31.0,31.0,0.0,0.0,0.0,0.0,"Kanab CCD, Kane County, Utah",025,91591,49
21.0,21.0,0.0,0.0,0.0,0.0,"Enterprise CCD, Washington County, Utah",053,90817,49
883.0,746.0,34.0,18.0,25.0,60.0,"St. George CCD, Washington County, Utah",053,92924,49
0.0,0.0,0.0,0.0,0.0,0.0,"Orderville CCD, Kane County, Utah",025,92494,49
629.0,540.0,56.0,0.0,33.0,0.0,"Park City CCD, Summit County, Utah",043,92580,49
1.0,1.0,0.0,0.0,0.0,0.0,"Kamas CCD, Summit County, Utah",043,91548,49
4.0,4.0,0.0,0.0,0.0,0.0,"Coalville CCD, Summit County, Utah",043,90430,49
0.0,0.0,0.0,0.0,0.0,0.0,"Uintah and Ouray CCD, Grand County, Utah",019,93526,49
37.0,37.0,0.0,0.0,0.0,0.0,"Moab CCD, Grand County, Utah",019,91935,49
0.0,0.0,0.0,0.0,0.0,0.0,"Circleville CCD, Piute County, Utah",031,90387,49
0.0,0.0,0.0,0.0,0.0,0.0,"Marysvale CCD, Piute County, Utah",031,91849,49
0.0,0.0,0.0,0.0,0.0,0.0,"Randolph-Woodruff CCD, Rich County, Utah",033,92752,49
0.0,0.0,0.0,0.0,0.0,0.0,"Garden City-Laketown CCD, Rich County, Utah",033,91032,49
0.0,0.0,0.0,0.0,0.0,0.0,"Uintah and Ouray CCD, Wasatch County, Utah",051,93612,49
0.0,0.0,0.0,0.0,0.0,0.0,"Soldier Summit CCD, Wasatch County, Utah",051,93139,49
0.0,0.0,0.0,0.0,0.0,0.0,"Beaver CCD, Beaver County, Utah",001,90086,49
16.0,16.0,0.0,0.0,0.0,0.0,"Milford-Minersville CCD, Beaver County, Utah",001,91892,49
98.0,83.0,15.0,0.0,0.0,0.0,"Brigham City CCD, Box Elder County, Utah",003,90258,49
299.0,221.0,3.0,7.0,68.0,0.0,"Tremonton CCD, Box Elder County, Utah",003,93440,49
0.0,0.0,0.0,0.0,0.0,0.0,"West Box Elder CCD, Box Elder County, Utah",003,93827,49
20.0,12.0,7.0,1.0,0.0,0.0,"Howell-Snowville CCD, Box Elder County, Utah",003,91419,49
34.0,34.0,0.0,0.0,0.0,0.0,"Parowan CCD, Iron County, Utah",021,92623,49
17.0,17.0,0.0,0.0,0.0,0.0,"Beryl-Newcastle CCD, Iron County, Utah",021,90129,49
263.0,223.0,28.0,12.0,0.0,0.0,"Cedar City CCD, Iron County, Utah",021,90344,49
31.0,19.0,0.0,0.0,0.0,12.0,"Mount Pleasant-Moroni CCD, Sanpete County, Utah",039,92150,49
40.0,31.0,0.0,9.0,0.0,0.0,"Gunnison CCD, Sanpete County, Utah",039,91204,49
48.0,15.0,15.0,1.0,0.0,17.0,"Ephraim-Manti CCD, Sanpete County, Utah",039,90860,49
19.0,19.0,0.0,0.0,0.0,0.0,"Richfield CCD, Sevier County, Utah",041,92838,49
20.0,20.0,0.0,0.0,0.0,0.0,"Monroe CCD, Sevier County, Utah",041,91978,49
6.0,6.0,0.0,0.0,0.0,0.0,"Salina CCD, Sevier County, Utah",041,92967,49
6.0,0.0,6.0,0.0,0.0,0.0,"Goshen CCD, Utah County, Utah",049,91118,49
