B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
2658.0,1390.0,1390.0,1275.0,115.0,0.0,1268.0,"Wyandotte CCD, Ottawa County, Oklahoma",115,93913,40
15589.0,8739.0,8739.0,8184.0,555.0,0.0,6850.0,"Miami CCD, Ottawa County, Oklahoma",115,91846,40
3326.0,1957.0,1957.0,1762.0,195.0,0.0,1369.0,"Afton-Fairland CCD, Ottawa County, Oklahoma",115,90039,40
3977.0,2247.0,2247.0,2045.0,202.0,0.0,1730.0,"Chelsea CCD, Rogers County, Oklahoma",131,90533,40
35510.0,22141.0,22111.0,20985.0,1126.0,30.0,13369.0,"Claremore CCD, Rogers County, Oklahoma",131,90585,40
5209.0,3298.0,3298.0,3139.0,159.0,0.0,1911.0,"Inola CCD, Rogers County, Oklahoma",131,91482,40
20482.0,14175.0,14159.0,13524.0,635.0,16.0,6307.0,"Catoosa CCD, Rogers County, Oklahoma",131,90468,40
7652.0,4054.0,4054.0,3655.0,399.0,0.0,3598.0,"Roland CCD, Sequoyah County, Oklahoma",135,92678,40
8224.0,4338.0,4309.0,4045.0,264.0,29.0,3886.0,"Muldrow CCD, Sequoyah County, Oklahoma",135,91911,40
3806.0,1918.0,1908.0,1744.0,164.0,10.0,1888.0,"Sallisaw North CCD, Sequoyah County, Oklahoma",135,92730,40
6551.0,3123.0,3123.0,2722.0,401.0,0.0,3428.0,"Vian CCD, Sequoyah County, Oklahoma",135,93445,40
6664.0,3719.0,3702.0,3445.0,257.0,17.0,2945.0,"Sallisaw CCD, Sequoyah County, Oklahoma",135,92717,40
43266.0,29528.0,29499.0,27939.0,1560.0,29.0,13738.0,"Coweta CCD, Wagoner County, Oklahoma",145,90676,40
13821.0,7271.0,7271.0,6521.0,750.0,0.0,6550.0,"Wagoner CCD, Wagoner County, Oklahoma",145,93497,40
2669.0,1506.0,1506.0,1379.0,127.0,0.0,1163.0,"South Wagoner CCD, Wagoner County, Oklahoma",145,93120,40
627.0,414.0,414.0,392.0,22.0,0.0,213.0,"Carmen CCD, Alfalfa County, Oklahoma",003,90429,40
627.0,363.0,363.0,352.0,11.0,0.0,264.0,"North Alfalfa CCD, Alfalfa County, Oklahoma",003,92015,40
1760.0,1101.0,1101.0,1034.0,67.0,0.0,659.0,"Cherokee CCD, Alfalfa County, Oklahoma",003,90546,40
1829.0,466.0,466.0,460.0,6.0,0.0,1363.0,"Helena CCD, Alfalfa County, Oklahoma",003,91313,40
1533.0,900.0,900.0,865.0,35.0,0.0,633.0,"South Woods CCD, Woods County, Oklahoma",151,93198,40
5679.0,3726.0,3726.0,3548.0,178.0,0.0,1953.0,"Alva CCD, Woods County, Oklahoma",151,90091,40
351.0,235.0,235.0,225.0,10.0,0.0,116.0,"West Woods CCD, Woods County, Oklahoma",151,93809,40
2201.0,1120.0,1120.0,1063.0,57.0,0.0,1081.0,"Cyril-Cement CCD, Caddo County, Oklahoma",015,90728,40
1369.0,785.0,785.0,765.0,20.0,0.0,584.0,"Hydro CCD, Caddo County, Oklahoma",015,91456,40
5228.0,2737.0,2737.0,2619.0,118.0,0.0,2491.0,"Binger-Hinton CCD, Caddo County, Oklahoma",015,90247,40
1215.0,602.0,602.0,574.0,28.0,0.0,613.0,"Fort Cobb CCD, Caddo County, Oklahoma",015,91131,40
8111.0,4387.0,4383.0,3920.0,463.0,4.0,3724.0,"Anadarko CCD, Caddo County, Oklahoma",015,90117,40
2098.0,1044.0,1044.0,969.0,75.0,0.0,1054.0,"Apache CCD, Caddo County, Oklahoma",015,90143,40
2638.0,1455.0,1455.0,1297.0,158.0,0.0,1183.0,"Carnegie CCD, Caddo County, Oklahoma",015,90442,40
2270.0,1219.0,1219.0,1147.0,72.0,0.0,1051.0,"Lexington CCD, Cleveland County, Oklahoma",027,91677,40
18427.0,9257.0,9223.0,8724.0,499.0,34.0,9170.0,"East Cleveland CCD, Cleveland County, Oklahoma",027,90858,40
92544.0,60357.0,60103.0,56934.0,3169.0,254.0,32187.0,"Norman CCD, Cleveland County, Oklahoma",027,91989,40
101420.0,71911.0,70995.0,68033.0,2962.0,916.0,29509.0,"North Cleveland CCD, Cleveland County, Oklahoma",027,92093,40
