B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
605.0,65.0,540.0,"East Lansing city, Ingham County, Michigan",065,24120,26
14.0,9.0,5.0,"Leslie township, Ingham County, Michigan",065,47200,26
99.0,26.0,73.0,"Mason city, Ingham County, Michigan",065,52180,26
457.0,285.0,172.0,"Lansing charter township, Ingham County, Michigan",065,46020,26
14.0,14.0,0.0,"Leslie city, Ingham County, Michigan",065,47180,26
24.0,13.0,11.0,"Locke township, Ingham County, Michigan",065,49040,26
620.0,285.0,335.0,"Meridian charter township, Ingham County, Michigan",065,53140,26
8.0,8.0,0.0,"Onondaga township, Ingham County, Michigan",065,60800,26
17.0,3.0,14.0,"Leroy township, Ingham County, Michigan",065,47080,26
28.0,28.0,0.0,"Aurelius township, Ingham County, Michigan",065,04240,26
42.0,16.0,26.0,"Alaiedon township, Ingham County, Michigan",065,00800,26
100.0,41.0,59.0,"Williamston city, Ingham County, Michigan",065,87420,26
28.0,28.0,0.0,"Wheatfield township, Ingham County, Michigan",065,86520,26
10.0,5.0,5.0,"Ingham township, Ingham County, Michigan",065,40640,26
0.0,0.0,0.0,"White Oak township, Ingham County, Michigan",065,86900,26
2.0,0.0,2.0,"Beaverton township, Gladwin County, Michigan",051,06680,26
6.0,6.0,0.0,"Bentley township, Gladwin County, Michigan",051,07360,26
22.0,22.0,0.0,"Billings township, Gladwin County, Michigan",051,08360,26
4.0,0.0,4.0,"Sherman township, Gladwin County, Michigan",051,73140,26
7.0,7.0,0.0,"Butman township, Gladwin County, Michigan",051,12180,26
5.0,5.0,0.0,"Sage township, Gladwin County, Michigan",051,70500,26
4.0,4.0,0.0,"Hay township, Gladwin County, Michigan",051,37300,26
19.0,7.0,12.0,"Gladwin city, Gladwin County, Michigan",051,32320,26
5.0,5.0,0.0,"Gladwin township, Gladwin County, Michigan",051,32340,26
2.0,2.0,0.0,"Bourret township, Gladwin County, Michigan",051,09720,26
7.0,7.0,0.0,"Buckeye township, Gladwin County, Michigan",051,11440,26
4.0,4.0,0.0,"Clement township, Gladwin County, Michigan",051,16360,26
21.0,5.0,16.0,"Tobacco township, Gladwin County, Michigan",051,79860,26
3.0,0.0,3.0,"Grout township, Gladwin County, Michigan",051,35620,26
11.0,11.0,0.0,"Secord township, Gladwin County, Michigan",051,72240,26
15.0,0.0,15.0,"Beaverton city, Gladwin County, Michigan",051,06660,26
0.0,0.0,0.0,"Grim township, Gladwin County, Michigan",051,35340,26
11.0,7.0,4.0,"Wakeshma township, Kalamazoo County, Michigan",077,82840,26
1467.0,526.0,941.0,"Kalamazoo city, Kalamazoo County, Michigan",077,42160,26
29.0,13.0,16.0,"Pavilion township, Kalamazoo County, Michigan",077,62960,26
430.0,259.0,171.0,"Portage city, Kalamazoo County, Michigan",077,65560,26
10.0,10.0,0.0,"Prairie Ronde township, Kalamazoo County, Michigan",077,66200,26
17.0,17.0,0.0,"Ross township, Kalamazoo County, Michigan",077,69820,26
15.0,0.0,15.0,"Parchment city, Kalamazoo County, Michigan",077,62340,26
25.0,8.0,17.0,"Galesburg city, Kalamazoo County, Michigan",077,31260,26
20.0,20.0,0.0,"Richland township, Kalamazoo County, Michigan",077,68260,26
25.0,0.0,25.0,"Brady township, Kalamazoo County, Michigan",077,09920,26
23.0,23.0,0.0,"Charleston township, Kalamazoo County, Michigan",077,14720,26
