B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
70825.0,49758.0,21067.0,"Southwest Arapahoe CCD, Arapahoe County, Colorado",005,93458,08
85812.0,60578.0,25234.0,"South Aurora CCD, Arapahoe County, Colorado",005,93382,08
524.0,353.0,171.0,"Fowler CCD, Otero County, Colorado",089,91406,08
995.0,799.0,196.0,"Rocky Ford CCD, Otero County, Colorado",089,93116,08
253.0,192.0,61.0,"Manzanola CCD, Otero County, Colorado",089,92413,08
611.0,515.0,96.0,"Cheraw CCD, Otero County, Colorado",089,90608,08
129.0,121.0,8.0,"West Conejos CCD, Conejos County, Colorado",021,93825,08
99.0,90.0,9.0,"West San Miguel CCD, San Miguel County, Colorado",113,93844,08
2087.0,1370.0,717.0,"La Junta CCD, Otero County, Colorado",089,92090,08
47.0,36.0,11.0,"Timpas CCD, Otero County, Colorado",089,93629,08
10014.0,7384.0,2630.0,"Cañon City CCD, Fremont County, Colorado",043,90494,08
2069.0,1377.0,692.0,"West Garfield CCD, Garfield County, Colorado",045,93832,08
151.0,130.0,21.0,"South Sedgwick CCD, Sedgwick County, Colorado",115,93450,08
202.0,128.0,74.0,"Woodlin CCD, Washington County, Colorado",121,93905,08
85.0,76.0,9.0,"South Bent CCD, Bent County, Colorado",011,93388,08
284.0,216.0,68.0,"Idalia-Joes CCD, Yuma County, Colorado",125,91850,08
1107.0,970.0,137.0,"Whitewater-Kannah Creek CCD, Mesa County, Colorado",077,93857,08
21346.0,14512.0,6834.0,"Broomfield CCD, Broomfield County, Colorado",014,90408,08
824.0,643.0,181.0,"Rangely CCD, Rio Blanco County, Colorado",103,93040,08
673.0,465.0,208.0,"Julesburg CCD, Sedgwick County, Colorado",115,91900,08
2069.0,1450.0,619.0,"Ouray CCD, Ouray County, Colorado",091,92793,08
1350.0,928.0,422.0,"Meeker CCD, Rio Blanco County, Colorado",103,92451,08
2464.0,1869.0,595.0,"Fort Lupton CCD, Weld County, Colorado",123,91349,08
9415.0,8788.0,627.0,"Johnstown-Milliken CCD, Weld County, Colorado",123,91881,08
30048.0,19714.0,10334.0,"Greeley CCD, Weld County, Colorado",123,91634,08
2370.0,1912.0,458.0,"Ault CCD, Weld County, Colorado",123,90190,08
13342.0,11519.0,1823.0,"Erie-Frederick CCD, Weld County, Colorado",123,91216,08
254.0,189.0,65.0,"Grover CCD, Weld County, Colorado",123,91653,08
264.0,193.0,71.0,"Raymer CCD, Weld County, Colorado",123,93059,08
3738.0,3101.0,637.0,"Keenesburg-Hudson CCD, Weld County, Colorado",123,91938,08
1948.0,1508.0,440.0,"Kersey-Gill CCD, Weld County, Colorado",123,91957,08
1307.0,1065.0,242.0,"La Salle-Gilcrest CCD, Weld County, Colorado",123,92166,08
1095.0,847.0,248.0,"Platteville CCD, Weld County, Colorado",123,92926,08
741.0,624.0,117.0,"La Jara CCD, Conejos County, Colorado",021,92071,08
7803.0,6471.0,1332.0,"Windsor CCD, Weld County, Colorado",123,93895,08
324.0,277.0,47.0,"Manassa CCD, Conejos County, Colorado",021,92375,08
71.0,58.0,13.0,"Antonito CCD, Conejos County, Colorado",021,90095,08
1976.0,1627.0,349.0,"Westcliffe CCD, Custer County, Colorado",027,93819,08
190.0,156.0,34.0,"San Luis CCD, Costilla County, Colorado",023,93192,08
356.0,316.0,40.0,"Blanca CCD, Costilla County, Colorado",023,90323,08
5103.0,2976.0,2127.0,"North Aurora CCD, Adams County, Colorado",001,92622,08
20568.0,17250.0,3318.0,"Brighton CCD, Adams County, Colorado",001,90399,08
2941.0,2598.0,343.0,"East Adams CCD, Adams County, Colorado",001,91159,08
3492.0,2109.0,1383.0,"Commerce City CCD, Adams County, Colorado",001,90760,08
65865.0,46555.0,19310.0,"West Adams CCD, Adams County, Colorado",001,93800,08
15196.0,12381.0,2815.0,"Castle Rock CCD, Douglas County, Colorado",035,90513,08
47468.0,38376.0,9092.0,"Sedalia CCD, Douglas County, Colorado",035,93249,08
36198.0,29489.0,6709.0,"Parker CCD, Douglas County, Colorado",035,92850,08
156.0,120.0,36.0,"Leadville North CCD, Lake County, Colorado",065,92242,08
6663.0,4636.0,2027.0,"Minturn-Red Cliff CCD, Eagle County, Colorado",037,92489,08
2400.0,1972.0,428.0,"Basalt CCD, Eagle County, Colorado",037,90247,08
4462.0,3910.0,552.0,"Eagle-Gypsum CCD, Eagle County, Colorado",037,91140,08
2325.0,1363.0,962.0,"Leadville CCD, Lake County, Colorado",065,92223,08
1351.0,1013.0,338.0,"Ignacio CCD, La Plata County, Colorado",067,91862,08
3483.0,2780.0,703.0,"Bayfield CCD, La Plata County, Colorado",067,90266,08
11617.0,7692.0,3925.0,"Durango CCD, La Plata County, Colorado",067,91083,08
128.0,107.0,21.0,"Dinosaur CCD, Moffat County, Colorado",081,91017,08
