B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
14.0,0.0,14.0,"Aliceville CCD, Pickens County, Alabama",107,90072,01
1004.0,233.0,771.0,"Tanner Williams CCD, Mobile County, Alabama",097,93105,01
0.0,0.0,0.0,"Northeast Fayette CCD, Fayette County, Alabama",057,92380,01
0.0,0.0,0.0,"Winfield-Glen Allen CCD, Fayette County, Alabama",057,93495,01
110.0,0.0,110.0,"Valley CCD, Chambers County, Alabama",017,93272,01
0.0,0.0,0.0,"Jackson CCD, Clarke County, Alabama",025,91726,01
0.0,0.0,0.0,"Walker Springs CCD, Clarke County, Alabama",025,93362,01
320.0,243.0,77.0,"Smiths Station CCD, Lee County, Alabama",081,92962,01
0.0,0.0,0.0,"Mosses CCD, Lowndes County, Alabama",085,92245,01
0.0,0.0,0.0,"Greensboro Northeast CCD, Hale County, Alabama",065,91414,01
0.0,0.0,0.0,"Warriorstand-Creek Stand CCD, Macon County, Alabama",087,93376,01
9.0,6.0,3.0,"Newbern CCD, Hale County, Alabama",065,92345,01
0.0,0.0,0.0,"Greensboro South CCD, Hale County, Alabama",065,91415,01
65.0,46.0,19.0,"Tuskegee CCD, Macon County, Alabama",087,93230,01
0.0,0.0,0.0,"Renfroe-Laniers CCD, Talladega County, Alabama",121,92709,01
0.0,0.0,0.0,"Quinton-Wegra CCD, Walker County, Alabama",127,92642,01
0.0,0.0,0.0,"Rose Hill-Gantt CCD, Covington County, Alabama",039,92781,01
0.0,0.0,0.0,"Alexandria-Webster Chapel CCD, Calhoun County, Alabama",015,90066,01
0.0,0.0,0.0,"Spring Garden CCD, Cherokee County, Alabama",019,92983,01
12.0,12.0,0.0,"Concord-Rock Creek CCD, Jefferson County, Alabama",073,90722,01
15.0,0.0,15.0,"Redstone Arsenal CCD, Madison County, Alabama",089,92695,01
148.0,135.0,13.0,"Triana CCD, Madison County, Alabama",089,93176,01
16.0,0.0,16.0,"Selmont-Tyler CCD, Dallas County, Alabama",047,92883,01
92.0,29.0,63.0,"Haleyville CCD, Winston County, Alabama",133,91494,01
23.0,23.0,0.0,"Addison CCD, Winston County, Alabama",133,90027,01
11.0,0.0,11.0,"Lynn CCD, Winston County, Alabama",133,92025,01
19.0,19.0,0.0,"Double Springs CCD, Winston County, Alabama",133,90909,01
243.0,124.0,119.0,"Springville CCD, St. Clair County, Alabama",115,92988,01
62.0,19.0,43.0,"Pell City CCD, St. Clair County, Alabama",115,92511,01
450.0,230.0,220.0,"Robertsdale CCD, Baldwin County, Alabama",003,92754,01
0.0,0.0,0.0,"Stockton CCD, Baldwin County, Alabama",003,93024,01
436.0,177.0,259.0,"Daphne CCD, Baldwin County, Alabama",003,90846,01
176.0,119.0,57.0,"Fairhope CCD, Baldwin County, Alabama",003,91053,01
100.0,37.0,63.0,"Bay Minette CCD, Baldwin County, Alabama",003,90207,01
954.0,404.0,550.0,"Foley CCD, Baldwin County, Alabama",003,91152,01
169.0,150.0,19.0,"Elberta CCD, Baldwin County, Alabama",003,90963,01
45.0,45.0,0.0,"Summerdale CCD, Baldwin County, Alabama",003,93042,01
43.0,9.0,34.0,"Logan CCD, Cullman County, Alabama",043,91962,01
0.0,0.0,0.0,"Jones Chapel CCD, Cullman County, Alabama",043,91773,01
22.0,18.0,4.0,"Baileyton-Joppa CCD, Cullman County, Alabama",043,90180,01
0.0,0.0,0.0,"Bremen CCD, Cullman County, Alabama",043,90369,01
15.0,15.0,0.0,"Crane Hill CCD, Cullman County, Alabama",043,90774,01
59.0,59.0,0.0,"Hanceville CCD, Cullman County, Alabama",043,91521,01
45.0,41.0,4.0,"Simcoe CCD, Cullman County, Alabama",043,92934,01
40.0,40.0,0.0,"Holly Pond CCD, Cullman County, Alabama",043,91647,01
4.0,4.0,0.0,"Welti CCD, Cullman County, Alabama",043,93420,01
439.0,131.0,308.0,"Cullman CCD, Cullman County, Alabama",043,90810,01
101.0,76.0,25.0,"Vinemont CCD, Cullman County, Alabama",043,93330,01
91.0,68.0,23.0,"Wetumpka CCD, Elmore County, Alabama",051,93456,01
57.0,0.0,57.0,"Tallassee CCD, Elmore County, Alabama",051,93087,01
403.0,204.0,199.0,"Elmore CCD, Elmore County, Alabama",051,90972,01
0.0,0.0,0.0,"Titus CCD, Elmore County, Alabama",051,93141,01
7.0,7.0,0.0,"Deatsville CCD, Elmore County, Alabama",051,90855,01
11.0,0.0,11.0,"Eclectic CCD, Elmore County, Alabama",051,90945,01
6.0,3.0,3.0,"Cottonwood CCD, Houston County, Alabama",069,90747,01
19.0,8.0,11.0,"Madrid CCD, Houston County, Alabama",069,92070,01
3.0,0.0,3.0,"Gordon CCD, Houston County, Alabama",069,91368,01
7.0,7.0,0.0,"Columbia CCD, Houston County, Alabama",069,90702,01
831.0,302.0,529.0,"Dothan CCD, Houston County, Alabama",069,90900,01
69.0,69.0,0.0,"Beulah CCD, Lee County, Alabama",081,90288,01
1114.0,289.0,825.0,"Auburn-Opelika CCD, Lee County, Alabama",081,90162,01
12.0,12.0,0.0,"Paint Rock CCD, Jackson County, Alabama",071,92475,01
58.0,44.0,14.0,"Stevenson CCD, Jackson County, Alabama",071,93006,01
11.0,11.0,0.0,"Pisgah CCD, Jackson County, Alabama",071,92610,01
26.0,26.0,0.0,"Bridgeport CCD, Jackson County, Alabama",071,90387,01
0.0,0.0,0.0,"Long Island CCD, Jackson County, Alabama",071,91971,01
27.0,19.0,8.0,"Princeton CCD, Jackson County, Alabama",071,92637,01
178.0,117.0,61.0,"Scottsboro CCD, Jackson County, Alabama",071,92862,01
13.0,13.0,0.0,"Section CCD, Jackson County, Alabama",071,92871,01
70.0,57.0,13.0,"Munford CCD, Talladega County, Alabama",121,92322,01
153.0,78.0,75.0,"Sylacauga CCD, Talladega County, Alabama",121,93069,01
0.0,0.0,0.0,"Sycamore-Winterboro CCD, Talladega County, Alabama",121,93060,01
180.0,69.0,111.0,"Talladega CCD, Talladega County, Alabama",121,93078,01
24.0,24.0,0.0,"Lincoln CCD, Talladega County, Alabama",121,91879,01
27.0,0.0,27.0,"Childersburg CCD, Talladega County, Alabama",121,90576,01
61.0,43.0,18.0,"Coker CCD, Tuscaloosa County, Alabama",125,90684,01
0.0,0.0,0.0,"Elrod-Moores Bridge-Echola CCD, Tuscaloosa County, Alabama",125,90981,01
281.0,60.0,221.0,"Northport CCD, Tuscaloosa County, Alabama",125,92389,01
9.0,9.0,0.0,"Windham Springs CCD, Tuscaloosa County, Alabama",125,93483,01
989.0,440.0,549.0,"Tuscaloosa CCD, Tuscaloosa County, Alabama",125,93222,01
60.0,27.0,33.0,"Coaling-Vance CCD, Tuscaloosa County, Alabama",125,90666,01
0.0,0.0,0.0,"Fosters CCD, Tuscaloosa County, Alabama",125,91224,01
3.0,3.0,0.0,"Abernant CCD, Tuscaloosa County, Alabama",125,90018,01
33.0,33.0,0.0,"Brookwood CCD, Tuscaloosa County, Alabama",125,90423,01
31.0,31.0,0.0,"Big Sandy-Duncanville CCD, Tuscaloosa County, Alabama",125,90306,01
