B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
2372.0,149.0,141.0,204.0,230.0,134.0,128.0,132.0,155.0,140.0,172.0,301.0,270.0,78.0,83.0,34.0,21.0,"Florence CCD, Fremont County, Colorado",043,91311,08
23326.0,2277.0,1671.0,1790.0,1376.0,1637.0,1714.0,1329.0,1387.0,861.0,1458.0,2092.0,2315.0,1352.0,687.0,815.0,565.0,"Pueblo CCD, Pueblo County, Colorado",101,92983,08
1500.0,82.0,23.0,56.0,83.0,107.0,48.0,99.0,88.0,29.0,170.0,100.0,298.0,121.0,102.0,29.0,65.0,"Colorado City-Rye CCD, Pueblo County, Colorado",101,90722,08
259.0,25.0,0.0,26.0,10.0,14.0,22.0,0.0,48.0,5.0,13.0,19.0,34.0,17.0,17.0,9.0,0.0,"Huerfano Valley CCD, Pueblo County, Colorado",101,91805,08
2249.0,156.0,102.0,71.0,72.0,102.0,78.0,83.0,117.0,93.0,154.0,268.0,321.0,317.0,131.0,76.0,108.0,"St. Charles Mesa CCD, Pueblo County, Colorado",101,93154,08
8657.0,368.0,204.0,209.0,368.0,358.0,324.0,373.0,438.0,312.0,841.0,1133.0,1446.0,1112.0,468.0,510.0,193.0,"Pueblo West CCD, Pueblo County, Colorado",101,93002,08
659.0,51.0,34.0,60.0,0.0,8.0,19.0,0.0,47.0,8.0,82.0,102.0,88.0,92.0,43.0,18.0,7.0,"Avondale CCD, Pueblo County, Colorado",101,90209,08
174.0,6.0,13.0,15.0,17.0,9.0,14.0,1.0,3.0,16.0,8.0,28.0,11.0,17.0,2.0,10.0,4.0,"Northeast Pueblo CCD, Pueblo County, Colorado",101,92660,08
10955.0,692.0,686.0,715.0,889.0,599.0,523.0,568.0,722.0,295.0,905.0,980.0,1634.0,984.0,304.0,278.0,181.0,"Montrose CCD, Montrose County, Colorado",085,92546,08
1035.0,60.0,74.0,83.0,80.0,38.0,68.0,59.0,42.0,85.0,109.0,103.0,95.0,67.0,38.0,15.0,19.0,"Nucla CCD, Montrose County, Colorado",085,92698,08
2038.0,138.0,111.0,185.0,107.0,96.0,158.0,88.0,120.0,73.0,166.0,196.0,289.0,193.0,58.0,34.0,26.0,"Olathe CCD, Montrose County, Colorado",085,92736,08
336.0,6.0,25.0,18.0,12.0,34.0,26.0,11.0,22.0,6.0,28.0,42.0,47.0,22.0,24.0,3.0,10.0,"Weldona CCD, Morgan County, Colorado",087,93781,08
2374.0,167.0,130.0,49.0,173.0,133.0,112.0,69.0,134.0,56.0,241.0,349.0,365.0,164.0,83.0,79.0,70.0,"Brush CCD, Morgan County, Colorado",087,90418,08
3683.0,124.0,198.0,121.0,249.0,145.0,291.0,178.0,149.0,210.0,352.0,412.0,580.0,291.0,195.0,111.0,77.0,"Fort Morgan CCD, Morgan County, Colorado",087,91368,08
978.0,45.0,31.0,25.0,79.0,56.0,46.0,61.0,44.0,34.0,158.0,80.0,131.0,85.0,61.0,13.0,29.0,"Wiggins CCD, Morgan County, Colorado",087,93876,08
5676.0,141.0,203.0,353.0,168.0,231.0,274.0,117.0,498.0,281.0,453.0,616.0,596.0,799.0,551.0,267.0,128.0,"Fairplay CCD, Park County, Colorado",093,91254,08
