B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
22.0,22.0,0.0,0.0,0.0,0.0,"Little Compton town, Newport County, Rhode Island",005,42400,44
456.0,339.0,35.0,0.0,34.0,48.0,"Middletown town, Newport County, Rhode Island",005,45460,44
401.0,184.0,0.0,0.0,217.0,0.0,"Newport city, Newport County, Rhode Island",005,49960,44
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
365.0,365.0,0.0,0.0,0.0,0.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
317.0,314.0,0.0,0.0,0.0,3.0,"Portsmouth town, Newport County, Rhode Island",005,57880,44
76.0,63.0,0.0,13.0,0.0,0.0,"Tiverton town, Newport County, Rhode Island",005,70880,44
2192.0,1857.0,92.0,142.0,86.0,15.0,"Warwick city, Kent County, Rhode Island",003,74300,44
290.0,268.0,0.0,0.0,0.0,22.0,"Coventry town, Kent County, Rhode Island",003,18640,44
722.0,693.0,9.0,0.0,13.0,7.0,"West Warwick town, Kent County, Rhode Island",003,78440,44
336.0,212.0,0.0,2.0,71.0,51.0,"West Greenwich town, Kent County, Rhode Island",003,77720,44
470.0,463.0,0.0,0.0,0.0,7.0,"East Greenwich town, Kent County, Rhode Island",003,22240,44
853.0,648.0,26.0,0.0,119.0,60.0,"Cumberland town, Providence County, Rhode Island",007,20080,44
2996.0,2610.0,142.0,5.0,217.0,22.0,"Woonsocket city, Providence County, Rhode Island",007,80780,44
1225.0,944.0,64.0,0.0,107.0,110.0,"North Providence town, Providence County, Rhode Island",007,51760,44
733.0,667.0,25.0,0.0,0.0,41.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
1465.0,934.0,440.0,0.0,0.0,91.0,"East Providence city, Providence County, Rhode Island",007,22960,44
44.0,44.0,0.0,0.0,0.0,0.0,"Glocester town, Providence County, Rhode Island",007,30340,44
81.0,70.0,11.0,0.0,0.0,0.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
86.0,78.0,0.0,0.0,0.0,8.0,"Central Falls city, Providence County, Rhode Island",007,14140,44
598.0,456.0,33.0,0.0,67.0,42.0,"Smithfield town, Providence County, Rhode Island",007,66200,44
1252.0,1070.0,78.0,1.0,91.0,12.0,"Pawtucket city, Providence County, Rhode Island",007,54640,44
11115.0,7577.0,1394.0,203.0,954.0,987.0,"Providence city, Providence County, Rhode Island",007,59000,44
22.0,22.0,0.0,0.0,0.0,0.0,"Foster town, Providence County, Rhode Island",007,27460,44
712.0,654.0,32.0,4.0,22.0,0.0,"Johnston town, Providence County, Rhode Island",007,37720,44
40.0,7.0,33.0,0.0,0.0,0.0,"Scituate town, Providence County, Rhode Island",007,64220,44
170.0,160.0,0.0,5.0,0.0,5.0,"Burrillville town, Providence County, Rhode Island",007,11800,44
4664.0,4164.0,343.0,69.0,40.0,48.0,"Cranston city, Providence County, Rhode Island",007,19180,44
586.0,508.0,0.0,30.0,30.0,18.0,"Barrington town, Bristol County, Rhode Island",001,05140,44
59.0,25.0,34.0,0.0,0.0,0.0,"Warren town, Bristol County, Rhode Island",001,73760,44
365.0,274.0,17.0,0.0,64.0,10.0,"Bristol town, Bristol County, Rhode Island",001,09280,44
635.0,540.0,0.0,30.0,0.0,65.0,"Westerly town, Washington County, Rhode Island",009,77000,44
567.0,483.0,13.0,37.0,34.0,0.0,"North Kingstown town, Washington County, Rhode Island",009,51580,44
490.0,361.0,87.0,6.0,36.0,0.0,"South Kingstown town, Washington County, Rhode Island",009,67460,44
52.0,52.0,0.0,0.0,0.0,0.0,"Hopkinton town, Washington County, Rhode Island",009,35380,44
138.0,138.0,0.0,0.0,0.0,0.0,"Richmond town, Washington County, Rhode Island",009,61160,44
130.0,75.0,27.0,0.0,22.0,6.0,"Exeter town, Washington County, Rhode Island",009,25300,44
280.0,280.0,0.0,0.0,0.0,0.0,"Narragansett town, Washington County, Rhode Island",009,48340,44
20.0,16.0,0.0,0.0,0.0,4.0,"New Shoreham town, Washington County, Rhode Island",009,50500,44
115.0,115.0,0.0,0.0,0.0,0.0,"Charlestown town, Washington County, Rhode Island",009,14500,44
