B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
79851.0,36588.0,43263.0,63887.0,29244.0,34643.0,10411.0,4837.0,5574.0,2823.0,1317.0,1506.0,2213.0,1041.0,1172.0,517.0,149.0,368.0,"Pike township, Marion County, Indiana",097,59742,18
146580.0,73833.0,72747.0,117948.0,58116.0,59832.0,19692.0,10898.0,8794.0,5100.0,2479.0,2621.0,3326.0,1991.0,1335.0,514.0,349.0,165.0,"Center township, Marion County, Indiana",097,11512,18
33511.0,16968.0,16543.0,28184.0,14267.0,13917.0,3419.0,1677.0,1742.0,1166.0,643.0,523.0,624.0,297.0,327.0,118.0,84.0,34.0,"Decatur township, Marion County, Indiana",097,17092,18
2666.0,1380.0,1286.0,2562.0,1320.0,1242.0,65.0,49.0,16.0,39.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jackson township, Clay County, Indiana",021,36864,18
140066.0,68608.0,71458.0,115897.0,56859.0,59038.0,16396.0,7879.0,8517.0,4064.0,1969.0,2095.0,2466.0,1199.0,1267.0,1243.0,702.0,541.0,"Wayne township, Marion County, Indiana",097,81800,18
102461.0,49192.0,53269.0,89964.0,43073.0,46891.0,10001.0,4819.0,5182.0,1036.0,551.0,485.0,899.0,440.0,459.0,561.0,309.0,252.0,"Warren township, Marion County, Indiana",097,80144,18
676.0,330.0,346.0,514.0,242.0,272.0,18.0,0.0,18.0,144.0,88.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,"Carrollton township, Carroll County, Indiana",015,10540,18
1083.0,566.0,517.0,930.0,489.0,441.0,117.0,70.0,47.0,36.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,"Clay township, Carroll County, Indiana",015,12988,18
2447.0,1205.0,1242.0,2397.0,1181.0,1216.0,24.0,24.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,"Johnson township, Scott County, Indiana",143,38772,18
1717.0,804.0,913.0,1673.0,791.0,882.0,22.0,0.0,22.0,9.0,0.0,9.0,13.0,13.0,0.0,0.0,0.0,0.0,"Spencer township, Harrison County, Indiana",061,71936,18
12374.0,5928.0,6446.0,10487.0,5122.0,5365.0,1056.0,487.0,569.0,596.0,164.0,432.0,217.0,137.0,80.0,18.0,18.0,0.0,"Harrison township, Harrison County, Indiana",061,31810,18
5979.0,3150.0,2829.0,5808.0,3047.0,2761.0,81.0,44.0,37.0,17.0,17.0,0.0,46.0,42.0,4.0,27.0,0.0,27.0,"Jackson township, Harrison County, Indiana",061,37080,18
4057.0,2245.0,1812.0,3835.0,2105.0,1730.0,63.0,42.0,21.0,132.0,76.0,56.0,27.0,22.0,5.0,0.0,0.0,0.0,"Morgan township, Harrison County, Indiana",061,51030,18
3316.0,1715.0,1601.0,2940.0,1486.0,1454.0,223.0,135.0,88.0,120.0,76.0,44.0,31.0,16.0,15.0,2.0,2.0,0.0,"Jefferson township, Wayne County, Indiana",177,38286,18
374.0,210.0,164.0,347.0,193.0,154.0,19.0,9.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dalton township, Wayne County, Indiana",177,16714,18
673.0,347.0,326.0,673.0,347.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Perry township, Clay County, Indiana",021,58986,18
1340.0,631.0,709.0,1311.0,624.0,687.0,6.0,4.0,2.0,23.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sugar Ridge township, Clay County, Indiana",021,73988,18
506.0,264.0,242.0,448.0,247.0,201.0,45.0,17.0,28.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,"Washington township, Clay County, Indiana",021,80468,18
3326.0,1721.0,1605.0,2933.0,1526.0,1407.0,188.0,85.0,103.0,185.0,98.0,87.0,20.0,12.0,8.0,0.0,0.0,0.0,"Van Buren township, Clay County, Indiana",021,78416,18
2194.0,1072.0,1122.0,1956.0,937.0,1019.0,126.0,46.0,80.0,81.0,60.0,21.0,31.0,29.0,2.0,0.0,0.0,0.0,"Harrison township, Clay County, Indiana",021,31684,18
12812.0,6368.0,6444.0,10504.0,5286.0,5218.0,1519.0,788.0,731.0,373.0,137.0,236.0,354.0,129.0,225.0,62.0,28.0,34.0,"Center township, Hendricks County, Indiana",063,11386,18
2158.0,990.0,1168.0,1972.0,870.0,1102.0,82.0,44.0,38.0,74.0,55.0,19.0,11.0,8.0,3.0,19.0,13.0,6.0,"Union township, Hendricks County, Indiana",063,77318,18
12279.0,6304.0,5975.0,11173.0,5620.0,5553.0,429.0,202.0,227.0,323.0,228.0,95.0,354.0,254.0,100.0,0.0,0.0,0.0,"Brown township, Hendricks County, Indiana",063,08308,18
48747.0,23912.0,24835.0,41979.0,20658.0,21321.0,3149.0,1357.0,1792.0,2495.0,1416.0,1079.0,882.0,393.0,489.0,242.0,88.0,154.0,"Washington township, Hendricks County, Indiana",063,80702,18
5932.0,3011.0,2921.0,5329.0,2757.0,2572.0,255.0,83.0,172.0,306.0,150.0,156.0,23.0,21.0,2.0,19.0,0.0,19.0,"Liberty township, Hendricks County, Indiana",063,43290,18
1226.0,636.0,590.0,1074.0,559.0,515.0,109.0,43.0,66.0,21.0,12.0,9.0,22.0,22.0,0.0,0.0,0.0,0.0,"Marion township, Hendricks County, Indiana",063,46926,18
1234.0,579.0,655.0,1174.0,555.0,619.0,58.0,24.0,34.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"Franklin township, Hendricks County, Indiana",063,25414,18
30605.0,15720.0,14885.0,24543.0,12088.0,12455.0,2227.0,1087.0,1140.0,3120.0,2105.0,1015.0,687.0,436.0,251.0,28.0,4.0,24.0,"Guilford township, Hendricks County, Indiana",063,30204,18
1648.0,898.0,750.0,1488.0,823.0,665.0,6.0,3.0,3.0,150.0,70.0,80.0,4.0,2.0,2.0,0.0,0.0,0.0,"Eel River township, Hendricks County, Indiana",063,20530,18
2911.0,1615.0,1296.0,2800.0,1565.0,1235.0,58.0,34.0,24.0,2.0,2.0,0.0,51.0,14.0,37.0,0.0,0.0,0.0,"Posey township, Harrison County, Indiana",061,61344,18
586.0,288.0,298.0,586.0,288.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Taylor township, Harrison County, Indiana",061,75014,18
1378.0,627.0,751.0,1369.0,624.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0,0.0,"Heth township, Harrison County, Indiana",061,33268,18
499.0,292.0,207.0,476.0,269.0,207.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Washington township, Harrison County, Indiana",061,80684,18
1422.0,785.0,637.0,1367.0,730.0,637.0,39.0,39.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,"Boone township, Harrison County, Indiana",061,06544,18
2150.0,1094.0,1056.0,1874.0,936.0,938.0,141.0,90.0,51.0,121.0,60.0,61.0,11.0,5.0,6.0,3.0,3.0,0.0,"Dallas township, Huntington County, Indiana",069,16678,18
707.0,395.0,312.0,692.0,380.0,312.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Warren township, Huntington County, Indiana",069,80126,18
20050.0,9540.0,10510.0,16588.0,7817.0,8771.0,2284.0,1145.0,1139.0,675.0,340.0,335.0,458.0,193.0,265.0,45.0,45.0,0.0,"Huntington township, Huntington County, Indiana",069,35311,18
1848.0,911.0,937.0,1603.0,827.0,776.0,169.0,67.0,102.0,22.0,5.0,17.0,46.0,4.0,42.0,8.0,8.0,0.0,"Salamonie township, Huntington County, Indiana",069,67320,18
655.0,367.0,288.0,565.0,319.0,246.0,90.0,48.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jefferson township, Huntington County, Indiana",069,38016,18
1822.0,922.0,900.0,1733.0,876.0,857.0,65.0,34.0,31.0,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"Clear Creek township, Huntington County, Indiana",069,13384,18
1084.0,630.0,454.0,915.0,513.0,402.0,152.0,109.0,43.0,17.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lancaster township, Huntington County, Indiana",069,41904,18
1421.0,706.0,715.0,1235.0,611.0,624.0,151.0,76.0,75.0,35.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rock Creek township, Huntington County, Indiana",069,65304,18
3951.0,1983.0,1968.0,3222.0,1544.0,1678.0,268.0,142.0,126.0,284.0,162.0,122.0,177.0,135.0,42.0,0.0,0.0,0.0,"Jackson township, Huntington County, Indiana",069,37116,18
1815.0,932.0,883.0,1718.0,893.0,825.0,24.0,13.0,11.0,63.0,19.0,44.0,10.0,7.0,3.0,0.0,0.0,0.0,"Cass township, LaPorte County, Indiana",091,10720,18
493.0,237.0,256.0,467.0,225.0,242.0,26.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Polk township, Huntington County, Indiana",069,60948,18
1029.0,506.0,523.0,945.0,470.0,475.0,43.0,27.0,16.0,41.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,"Union township, Huntington County, Indiana",069,77354,18
719.0,352.0,367.0,667.0,322.0,345.0,22.0,22.0,0.0,0.0,0.0,0.0,30.0,8.0,22.0,0.0,0.0,0.0,"Wayne township, Huntington County, Indiana",069,81746,18
500.0,159.0,341.0,500.0,159.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Johnson township, LaPorte County, Indiana",091,38736,18
3233.0,1512.0,1721.0,2419.0,1199.0,1220.0,735.0,296.0,439.0,0.0,0.0,0.0,79.0,17.0,62.0,0.0,0.0,0.0,"Pleasant township, LaPorte County, Indiana",091,60408,18
297.0,141.0,156.0,268.0,120.0,148.0,0.0,0.0,0.0,29.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,"Prairie township, LaPorte County, Indiana",091,61596,18
4530.0,2249.0,2281.0,3879.0,1927.0,1952.0,231.0,112.0,119.0,309.0,146.0,163.0,111.0,64.0,47.0,0.0,0.0,0.0,"Scipio township, LaPorte County, Indiana",091,68346,18
1066.0,561.0,505.0,961.0,523.0,438.0,103.0,36.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,"Washington township, LaPorte County, Indiana",091,80774,18
3991.0,1920.0,2071.0,3628.0,1747.0,1881.0,220.0,110.0,110.0,136.0,56.0,80.0,6.0,6.0,0.0,1.0,1.0,0.0,"Springfield township, LaPorte County, Indiana",091,72170,18
14552.0,7023.0,7529.0,12068.0,5720.0,6348.0,1561.0,787.0,774.0,379.0,191.0,188.0,510.0,299.0,211.0,34.0,26.0,8.0,"Coolspring township, LaPorte County, Indiana",091,15040,18
1332.0,625.0,707.0,1253.0,558.0,695.0,46.0,34.0,12.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Noble township, LaPorte County, Indiana",091,54090,18
1940.0,969.0,971.0,1776.0,877.0,899.0,111.0,64.0,47.0,53.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wills township, LaPorte County, Indiana",091,84554,18
1791.0,914.0,877.0,1599.0,823.0,776.0,17.0,0.0,17.0,127.0,68.0,59.0,48.0,23.0,25.0,0.0,0.0,0.0,"Galena township, LaPorte County, Indiana",091,26224,18
