B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
12.0,5.0,3.0,0.0,4.0,0.0,"Darby CCD, Ravalli County, Montana",081,90819,30
57.0,57.0,0.0,0.0,0.0,0.0,"Victor CCD, Ravalli County, Montana",081,93696,30
339.0,321.0,0.0,0.0,18.0,0.0,"Stevensville CCD, Ravalli County, Montana",081,93339,30
955.0,907.0,46.0,1.0,1.0,0.0,"Hamilton CCD, Ravalli County, Montana",081,91575,30
137.0,18.0,119.0,0.0,0.0,0.0,"Glasgow CCD, Valley County, Montana",105,91470,30
5.0,3.0,0.0,2.0,0.0,0.0,"Hinsdale CCD, Valley County, Montana",105,91764,30
7.0,7.0,0.0,0.0,0.0,0.0,"South Valley CCD, Valley County, Montana",105,93276,30
0.0,0.0,0.0,0.0,0.0,0.0,"Opheim CCD, Valley County, Montana",105,92562,30
36.0,34.0,1.0,0.0,0.0,1.0,"Fort Peck Reservation CCD, Valley County, Montana",105,91281,30
0.0,0.0,0.0,0.0,0.0,0.0,"Great Falls North CCD, Cascade County, Montana",013,91554,30
33.0,25.0,0.0,0.0,0.0,8.0,"Belt CCD, Cascade County, Montana",013,90231,30
32.0,27.0,5.0,0.0,0.0,0.0,"Sun River Valley CCD, Cascade County, Montana",013,93423,30
17.0,17.0,0.0,0.0,0.0,0.0,"Cascade CCD, Cascade County, Montana",013,90525,30
0.0,0.0,0.0,0.0,0.0,0.0,"Monarch-Neihart CCD, Cascade County, Montana",013,92373,30
3281.0,2073.0,789.0,72.0,316.0,31.0,"Great Falls CCD, Cascade County, Montana",013,91533,30
0.0,0.0,0.0,0.0,0.0,0.0,"Eden-Stockett CCD, Cascade County, Montana",013,91029,30
10.0,10.0,0.0,0.0,0.0,0.0,"Sula CCD, Ravalli County, Montana",081,93380,30
17.0,6.0,7.0,0.0,4.0,0.0,"Richey CCD, Dawson County, Montana",021,92782,30
0.0,0.0,0.0,0.0,0.0,0.0,"Flathead Reservation CCD, Flathead County, Montana",029,91118,30
63.0,61.0,0.0,0.0,2.0,0.0,"Lakeside-Somers CCD, Flathead County, Montana",029,91964,30
47.0,47.0,0.0,0.0,0.0,0.0,"Scobey CCD, Daniels County, Montana",019,92992,30
0.0,0.0,0.0,0.0,0.0,0.0,"Blackfeet Reservation East CCD, Pondera County, Montana",073,90357,30
33.0,23.0,0.0,6.0,4.0,0.0,"Blackfeet Reservation West CCD, Pondera County, Montana",073,90378,30
347.0,277.0,67.0,1.0,2.0,0.0,"Livingston CCD, Park County, Montana",067,92131,30
0.0,0.0,0.0,0.0,0.0,0.0,"Yellowstone National Park CCD, Park County, Montana",067,94019,30
78.0,78.0,0.0,0.0,0.0,0.0,"Flathead Reservation CCD, Sanders County, Montana",089,91134,30
228.0,221.0,0.0,0.0,7.0,0.0,"Blackfeet Reservation CCD, Glacier County, Montana",035,90336,30
16.0,16.0,0.0,0.0,0.0,0.0,"Northeast Yellowstone CCD, Yellowstone County, Montana",111,92426,30
1.0,1.0,0.0,0.0,0.0,0.0,"Fort Belknap Reservation CCD, Phillips County, Montana",071,91186,30
2.0,2.0,0.0,0.0,0.0,0.0,"South Phillips CCD, Phillips County, Montana",071,93223,30
0.0,0.0,0.0,0.0,0.0,0.0,"Alzada-Boyes CCD, Carter County, Montana",011,90052,30
7.0,2.0,0.0,0.0,5.0,0.0,"Butte-Silver Bow Northwest CCD, Silver Bow County, Montana",093,90485,30
4.0,4.0,0.0,0.0,0.0,0.0,"Butte-Silver Bow South CCD, Silver Bow County, Montana",093,90487,30
17.0,17.0,0.0,0.0,0.0,0.0,"Flathead Reservation CCD, Missoula County, Montana",063,91128,30
0.0,0.0,0.0,0.0,0.0,0.0,"Hanover CCD, Fergus County, Montana",027,91596,30
22.0,22.0,0.0,0.0,0.0,0.0,"Denton CCD, Fergus County, Montana",027,90903,30
