B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
87.0,49.0,38.0,"Rockingham CCD, Bacon County, Georgia",005,92562,13
20.0,20.0,0.0,"Altamaha River CCD, Appling County, Georgia",001,90078,13
362.0,184.0,178.0,"Baxley CCD, Appling County, Georgia",001,90240,13
117.0,99.0,18.0,"Alma CCD, Bacon County, Georgia",005,90072,13
0.0,0.0,0.0,"Hoboken CCD, Brantley County, Georgia",025,91500,13
43.0,43.0,0.0,"Waynesville CCD, Brantley County, Georgia",025,93306,13
3.0,0.0,3.0,"Nahunta CCD, Brantley County, Georgia",025,92124,13
41.0,15.0,26.0,"Southeast Banks CCD, Banks County, Georgia",011,92803,13
542.0,539.0,3.0,"North Paulding CCD, Paulding County, Georgia",223,92210,13
0.0,0.0,0.0,"LaFayette CCD, Walker County, Georgia",295,91668,13
0.0,0.0,0.0,"Queensland CCD, Ben Hill County, Georgia",017,92433,13
202.0,27.0,175.0,"Redbud CCD, Gordon County, Georgia",129,92460,13
78.0,47.0,31.0,"Washington CCD, Wilkes County, Georgia",317,93275,13
10.0,10.0,0.0,"Southeast Grady CCD, Grady County, Georgia",131,92804,13
0.0,0.0,0.0,"Northwest Grady CCD, Grady County, Georgia",131,92216,13
0.0,0.0,0.0,"West Johnson CCD, Johnson County, Georgia",167,93332,13
0.0,0.0,0.0,"Carsonville CCD, Taylor County, Georgia",269,90557,13
149.0,16.0,133.0,"Blacks Mill CCD, Dawson County, Georgia",085,90284,13
10.0,10.0,0.0,"North Twiggs CCD, Twiggs County, Georgia",289,92215,13
0.0,0.0,0.0,"South Twiggs CCD, Twiggs County, Georgia",289,92821,13
0.0,0.0,0.0,"Mount Pleasant CCD, Decatur County, Georgia",087,92104,13
151.0,112.0,39.0,"Three Sisters Mountain CCD, Lumpkin County, Georgia",187,93024,13
110.0,32.0,78.0,"Millen CCD, Jenkins County, Georgia",165,92019,13
69.0,12.0,57.0,"South Jenkins CCD, Jenkins County, Georgia",165,92806,13
11.0,11.0,0.0,"Salem CCD, Upson County, Georgia",293,92671,13
32.0,32.0,0.0,"Cedar Crossing CCD, Toombs County, Georgia",279,90591,13
16.0,16.0,0.0,"South Lincoln CCD, Lincoln County, Georgia",181,92807,13
147.0,78.0,69.0,"Crawford CCD, Oglethorpe County, Georgia",221,90814,13
66.0,17.0,49.0,"Macon East CCD, Bibb County, Georgia",021,91891,13
60.0,38.0,22.0,"Vaughn CCD, Spalding County, Georgia",255,93180,13
841.0,233.0,608.0,"Macon West CCD, Bibb County, Georgia",021,91892,13
44.0,44.0,0.0,"Towalaga CCD, Spalding County, Georgia",255,93071,13
11.0,11.0,0.0,"Digbey CCD, Spalding County, Georgia",255,90942,13
223.0,223.0,0.0,"Gray-Macon East CCD, Jones County, Georgia",169,91351,13
73.0,73.0,0.0,"Worthville CCD, Butts County, Georgia",035,93438,13
85.0,85.0,0.0,"Southwest Butts CCD, Butts County, Georgia",035,92822,13
