B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
17.0,17.0,0.0,"Bow CCD, Skagit County, Washington",057,90272,53
8.0,6.0,2.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
377.0,264.0,113.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
148.0,72.0,76.0,"Burlington CCD, Skagit County, Washington",057,90384,53
10.0,10.0,0.0,"Conway CCD, Skagit County, Washington",057,90768,53
0.0,0.0,0.0,"La Conner CCD, Skagit County, Washington",057,91536,53
0.0,0.0,0.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
38.0,38.0,0.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
0.0,0.0,0.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
157.0,91.0,66.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
0.0,0.0,0.0,"Springdale CCD, Stevens County, Washington",065,93232,53
25.0,6.0,19.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
45.0,17.0,28.0,"Colville CCD, Stevens County, Washington",065,90688,53
0.0,0.0,0.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
50.0,50.0,0.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
6.0,2.0,4.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
2980.0,1432.0,1548.0,"Spokane CCD, Spokane County, Washington",063,93200,53
112.0,87.0,25.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
8.0,3.0,5.0,"Rockford CCD, Spokane County, Washington",063,92816,53
0.0,0.0,0.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
87.0,60.0,27.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
0.0,0.0,0.0,"Colbert CCD, Spokane County, Washington",063,90640,53
137.0,106.0,31.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
15.0,15.0,0.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
10.0,0.0,10.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
2.0,2.0,0.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
17.0,17.0,0.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
63.0,63.0,0.0,"Wenatchee CCD, Chelan County, Washington",007,93712,53
108.0,90.0,18.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
4.0,4.0,0.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
0.0,0.0,0.0,"Stehekin CCD, Chelan County, Washington",007,93280,53
147.0,68.0,79.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
12.0,0.0,12.0,"Forks CCD, Clallam County, Washington",009,91168,53
19.0,19.0,0.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
0.0,0.0,0.0,"Crescent CCD, Clallam County, Washington",009,90816,53
355.0,228.0,127.0,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
19.0,19.0,0.0,"Kalama CCD, Cowlitz County, Washington",015,91440,53
0.0,0.0,0.0,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
0.0,0.0,0.0,"Woodland CCD, Cowlitz County, Washington",015,93856,53
45.0,0.0,45.0,"Castle Rock CCD, Cowlitz County, Washington",015,90464,53
0.0,0.0,0.0,"Curlew CCD, Ferry County, Washington",019,90832,53
0.0,0.0,0.0,"Colville Reservation CCD, Ferry County, Washington",019,90704,53
0.0,0.0,0.0,"Republic CCD, Ferry County, Washington",019,92752,53
3.0,0.0,3.0,"Entiat CCD, Chelan County, Washington",007,91040,53
0.0,0.0,0.0,"Malaga CCD, Chelan County, Washington",007,91840,53
0.0,0.0,0.0,"Manson CCD, Chelan County, Washington",007,91904,53
0.0,0.0,0.0,"Chelan CCD, Chelan County, Washington",007,90544,53
